warehouse_id,source_id,destination_id,time=0,time=1,time=2,time=3,time=4,time=5,time=6,time=7,time=8,time=9,time=10,time=11,time=12,time=13,time=14,time=15,time=16,time=17,time=18,time=19,time=20,time=21,time=22,time=23,time=24,time=25,time=26,time=27,time=28,time=29,time=30,time=31,time=32,time=33,time=34,time=35,time=36,time=37,time=38,time=39,time=40,time=41,time=42,time=43,time=44,time=45,time=46,time=47,time=48,time=49,time=50,time=51,time=52,time=53,time=54,time=55,time=56,time=57,time=58,time=59,time=60,time=61,time=62,time=63
3,14,13,"(39, 14)","(38, 14)","(38, 15)","(38, 16)","(37, 16)","(36, 16)","(35, 16)","(35, 15)","(35, 14)","(35, 13)","(35, 12)","(34, 12)","(33, 12)","(32, 12)","(31, 12)","(30, 12)","(30, 11)","(30, 10)","(30, 9)","(29, 9)","(28, 9)","(27, 9)","(26, 9)","(25, 9)","(24, 9)","(24, 10)","(24, 11)","(23, 11)","(22, 11)","(21, 11)","(21, 10)","(21, 9)","(20, 9)","(19, 9)","(18, 9)","(17, 9)","(16, 9)","(15, 9)","(14, 9)","(13, 9)","(12, 9)","(11, 9)","(10, 9)","(9, 9)","(8, 9)","(8, 8)","(8, 9)","(7, 9)","(6, 9)","(5, 9)","(4, 9)","(4, 10)","(3, 10)","(2, 10)","(1, 10)","(1, 11)","(1, 12)","(1, 13)","(0, 13)",,,,,
3,14,13,"(39, 14)","(38, 14)","(37, 14)","(37, 15)","(37, 16)","(37, 17)","(37, 18)","(37, 19)","(37, 20)","(37, 21)","(36, 21)","(35, 21)","(34, 21)","(33, 21)","(32, 21)","(31, 21)","(30, 21)","(30, 22)","(30, 23)","(30, 22)","(30, 21)","(30, 20)","(30, 19)","(29, 19)","(29, 18)","(28, 18)","(27, 18)","(26, 18)","(25, 18)","(25, 17)","(25, 16)","(25, 15)","(25, 14)","(24, 14)","(23, 14)","(22, 14)","(21, 14)","(20, 14)","(19, 14)","(18, 14)","(17, 14)","(16, 14)","(15, 14)","(14, 14)","(13, 14)","(12, 14)","(11, 14)","(10, 14)","(9, 14)","(8, 14)","(7, 14)","(6, 14)","(5, 14)","(4, 14)","(4, 13)","(3, 13)","(2, 13)","(1, 13)","(0, 13)",,,,,
3,14,13,"(39, 14)","(38, 14)","(38, 15)","(38, 16)","(38, 17)","(38, 18)","(38, 19)","(37, 19)","(36, 19)","(35, 19)","(34, 19)","(33, 19)","(32, 19)","(31, 19)","(30, 19)","(29, 19)","(28, 19)","(27, 19)","(26, 19)","(25, 19)","(25, 18)","(25, 17)","(25, 16)","(25, 15)","(25, 14)","(24, 14)","(23, 14)","(22, 14)","(21, 14)","(20, 14)","(19, 14)","(18, 14)","(17, 14)","(17, 15)","(17, 16)","(17, 17)","(17, 18)","(16, 18)","(15, 18)","(15, 17)","(15, 16)","(15, 15)","(15, 14)","(14, 14)","(13, 14)","(12, 14)","(11, 14)","(10, 14)","(9, 14)","(8, 14)","(7, 14)","(6, 14)","(5, 14)","(4, 14)","(3, 14)","(3, 13)","(2, 13)","(1, 13)","(0, 13)",,,,,
3,14,13,"(39, 14)","(38, 14)","(38, 13)","(38, 12)","(38, 11)","(38, 10)","(38, 9)","(38, 8)","(38, 7)","(37, 7)","(37, 6)","(37, 5)","(37, 4)","(36, 4)","(35, 4)","(34, 4)","(33, 4)","(32, 4)","(31, 4)","(30, 4)","(29, 4)","(28, 4)","(27, 4)","(26, 4)","(25, 4)","(25, 5)","(25, 6)","(25, 7)","(25, 8)","(25, 9)","(24, 9)","(23, 9)","(22, 9)","(21, 9)","(20, 9)","(19, 9)","(18, 9)","(17, 9)","(16, 9)","(15, 9)","(14, 9)","(13, 9)","(12, 9)","(11, 9)","(10, 9)","(9, 9)","(8, 9)","(7, 9)","(6, 9)","(5, 9)","(4, 9)","(4, 10)","(3, 10)","(2, 10)","(2, 11)","(1, 11)","(1, 12)","(1, 13)","(0, 13)",,,,,
3,14,13,"(39, 14)","(38, 14)","(38, 15)","(38, 16)","(38, 17)","(38, 18)","(38, 19)","(38, 20)","(38, 21)","(38, 22)","(38, 23)","(38, 22)","(38, 21)","(38, 20)","(38, 19)","(37, 19)","(37, 18)","(37, 17)","(37, 16)","(36, 16)","(35, 16)","(35, 15)","(35, 14)","(34, 14)","(33, 14)","(32, 14)","(31, 14)","(30, 14)","(29, 14)","(28, 14)","(27, 14)","(26, 14)","(25, 14)","(24, 14)","(23, 14)","(22, 14)","(21, 14)","(20, 14)","(19, 14)","(18, 14)","(17, 14)","(16, 14)","(15, 14)","(14, 14)","(13, 14)","(12, 14)","(11, 14)","(10, 14)","(9, 14)","(8, 14)","(7, 14)","(6, 14)","(5, 14)","(4, 14)","(3, 14)","(3, 13)","(2, 13)","(1, 13)","(0, 13)",,,,,
3,14,13,"(39, 14)","(38, 14)","(37, 14)","(37, 13)","(37, 12)","(37, 11)","(37, 10)","(36, 10)","(35, 10)","(35, 11)","(34, 11)","(33, 11)","(33, 10)","(33, 9)","(32, 9)","(32, 10)","(32, 11)","(32, 12)","(32, 13)","(32, 14)","(31, 14)","(30, 14)","(30, 13)","(30, 12)","(30, 11)","(30, 12)","(30, 13)","(30, 14)","(29, 14)","(28, 14)","(27, 14)","(26, 14)","(25, 14)","(24, 14)","(23, 14)","(22, 14)","(21, 14)","(20, 14)","(19, 14)","(18, 14)","(17, 14)","(16, 14)","(15, 14)","(14, 14)","(13, 14)","(12, 14)","(11, 14)","(10, 14)","(9, 14)","(8, 14)","(7, 14)","(6, 14)","(5, 14)","(4, 14)","(3, 14)","(3, 13)","(2, 13)","(1, 13)","(0, 13)",,,,,
3,14,13,"(39, 14)","(38, 14)","(37, 14)","(37, 13)","(37, 12)","(36, 12)","(35, 12)","(34, 12)","(34, 13)","(33, 13)","(32, 13)","(31, 13)","(30, 13)","(30, 12)","(30, 11)","(30, 10)","(30, 9)","(29, 9)","(28, 9)","(27, 9)","(26, 9)","(25, 9)","(24, 9)","(23, 9)","(23, 10)","(23, 11)","(23, 12)","(23, 13)","(23, 14)","(22, 14)","(22, 13)","(22, 12)","(21, 12)","(20, 12)","(20, 13)","(20, 14)","(19, 14)","(18, 14)","(18, 15)","(18, 14)","(17, 14)","(16, 14)","(15, 14)","(14, 14)","(13, 14)","(12, 14)","(11, 14)","(10, 14)","(9, 14)","(8, 14)","(7, 14)","(6, 14)","(5, 14)","(4, 14)","(4, 13)","(3, 13)","(2, 13)","(1, 13)","(0, 13)",,,,,
3,14,13,"(39, 14)","(38, 14)","(38, 15)","(38, 16)","(38, 17)","(37, 17)","(36, 17)","(35, 17)","(35, 18)","(35, 19)","(35, 20)","(34, 20)","(33, 20)","(33, 21)","(33, 22)","(33, 23)","(33, 22)","(33, 21)","(32, 21)","(31, 21)","(30, 21)","(30, 20)","(30, 19)","(29, 19)","(29, 18)","(28, 18)","(28, 17)","(28, 16)","(27, 16)","(27, 15)","(26, 15)","(25, 15)","(25, 14)","(24, 14)","(23, 14)","(22, 14)","(21, 14)","(20, 14)","(19, 14)","(18, 14)","(17, 14)","(16, 14)","(15, 14)","(14, 14)","(13, 14)","(12, 14)","(11, 14)","(10, 14)","(9, 14)","(8, 14)","(7, 14)","(6, 14)","(5, 14)","(4, 14)","(3, 14)","(3, 13)","(2, 13)","(1, 13)","(0, 13)",,,,,
3,14,13,"(39, 14)","(38, 14)","(37, 14)","(37, 13)","(36, 13)","(35, 13)","(34, 13)","(33, 13)","(33, 12)","(33, 11)","(32, 11)","(32, 12)","(32, 13)","(31, 13)","(30, 13)","(30, 12)","(30, 11)","(30, 10)","(30, 9)","(29, 9)","(28, 9)","(27, 9)","(26, 9)","(25, 9)","(24, 9)","(24, 10)","(23, 10)","(22, 10)","(21, 10)","(21, 9)","(20, 9)","(19, 9)","(18, 9)","(17, 9)","(16, 9)","(15, 9)","(15, 8)","(15, 7)","(15, 8)","(15, 9)","(14, 9)","(13, 9)","(12, 9)","(11, 9)","(10, 9)","(9, 9)","(8, 9)","(7, 9)","(6, 9)","(5, 9)","(4, 9)","(3, 9)","(3, 10)","(3, 11)","(2, 11)","(1, 11)","(1, 12)","(1, 13)","(0, 13)",,,,,
3,14,13,"(39, 14)","(38, 14)","(38, 15)","(38, 16)","(38, 17)","(38, 18)","(38, 19)","(38, 20)","(37, 20)","(36, 20)","(35, 20)","(34, 20)","(33, 20)","(32, 20)","(31, 20)","(30, 20)","(30, 19)","(29, 19)","(28, 19)","(27, 19)","(27, 18)","(27, 17)","(27, 16)","(27, 15)","(26, 15)","(26, 16)","(26, 17)","(25, 17)","(25, 16)","(25, 15)","(25, 14)","(24, 14)","(23, 14)","(22, 14)","(21, 14)","(20, 14)","(19, 14)","(19, 15)","(19, 14)","(18, 14)","(17, 14)","(16, 14)","(15, 14)","(14, 14)","(13, 14)","(12, 14)","(11, 14)","(10, 14)","(9, 14)","(8, 14)","(7, 14)","(6, 14)","(5, 14)","(4, 14)","(4, 13)","(3, 13)","(2, 13)","(1, 13)","(0, 13)",,,,,
