deviation_factor,midpoint
1.0,"(5, 24)"
1.0,"(6, 24)"
1.0,"(7, 24)"
1.0,"(8, 24)"
1.0,"(9, 24)"
1.0,"(10, 24)"
1.0,"(11, 24)"
1.0,"(12, 24)"
1.0,"(13, 24)"
1.0,"(14, 24)"
1.0,"(15, 24)"
1.0,"(16, 24)"
1.0,"(17, 24)"
1.0,"(18, 24)"
1.0,"(19, 24)"
1.0,"(20, 24)"
1.0,"(21, 24)"
1.0,"(22, 24)"
1.0,"(23, 24)"
1.0,"(24, 24)"
1.0,"(25, 24)"
1.0,"(26, 24)"
1.0,"(27, 24)"
1.0,"(28, 24)"
1.0,"(29, 24)"
1.0,"(30, 24)"
1.0,"(31, 24)"
1.0,"(32, 24)"
1.0,"(33, 24)"
1.0,"(34, 24)"
1.0,"(35, 24)"
1.0,"(35, 25)"
1.0,"(35, 26)"
1.0,"(35, 27)"
1.0,"(35, 28)"
1.05,"(5, 25)"
1.05,"(5, 26)"
1.05,"(5, 27)"
1.05,"(5, 28)"
1.05,"(5, 29)"
1.05,"(6, 25)"
1.05,"(6, 26)"
1.05,"(6, 27)"
1.05,"(6, 28)"
1.05,"(6, 29)"
1.05,"(7, 25)"
1.05,"(7, 26)"
1.05,"(7, 27)"
1.05,"(7, 28)"
1.05,"(7, 29)"
1.05,"(8, 25)"
1.05,"(8, 26)"
1.05,"(8, 27)"
1.05,"(8, 28)"
1.05,"(8, 29)"
1.05,"(9, 25)"
1.05,"(9, 26)"
1.05,"(9, 27)"
1.05,"(9, 28)"
1.05,"(9, 29)"
1.05,"(10, 23)"
1.05,"(10, 29)"
1.05,"(11, 23)"
1.05,"(11, 29)"
1.05,"(12, 23)"
1.05,"(12, 29)"
1.05,"(13, 23)"
1.05,"(13, 29)"
1.05,"(14, 23)"
1.05,"(14, 29)"
1.05,"(15, 25)"
1.05,"(15, 26)"
1.05,"(15, 27)"
1.05,"(15, 28)"
1.05,"(15, 29)"
1.05,"(16, 25)"
1.05,"(16, 26)"
1.05,"(16, 27)"
1.05,"(16, 28)"
1.05,"(16, 29)"
1.05,"(17, 25)"
1.05,"(17, 26)"
1.05,"(17, 27)"
1.05,"(17, 28)"
1.05,"(17, 29)"
1.05,"(18, 25)"
1.05,"(18, 26)"
1.05,"(18, 27)"
1.05,"(18, 28)"
1.05,"(18, 29)"
1.05,"(19, 25)"
1.05,"(19, 26)"
1.05,"(19, 27)"
1.05,"(19, 28)"
1.05,"(19, 29)"
1.05,"(20, 23)"
1.05,"(20, 29)"
1.05,"(21, 23)"
1.05,"(21, 29)"
1.05,"(22, 23)"
1.05,"(22, 29)"
1.05,"(23, 23)"
1.05,"(23, 29)"
1.05,"(24, 23)"
1.05,"(24, 29)"
1.05,"(25, 25)"
1.05,"(25, 26)"
1.05,"(25, 27)"
1.05,"(25, 28)"
1.05,"(25, 29)"
1.05,"(26, 25)"
1.05,"(26, 26)"
1.05,"(26, 27)"
1.05,"(26, 28)"
1.05,"(26, 29)"
1.05,"(27, 25)"
1.05,"(27, 26)"
1.05,"(27, 27)"
1.05,"(27, 28)"
1.05,"(27, 29)"
1.05,"(28, 25)"
1.05,"(28, 26)"
1.05,"(28, 27)"
1.05,"(28, 28)"
1.05,"(28, 29)"
1.05,"(29, 25)"
1.05,"(29, 26)"
1.05,"(29, 27)"
1.05,"(29, 28)"
1.05,"(29, 29)"
1.05,"(30, 23)"
1.05,"(30, 29)"
1.05,"(31, 23)"
1.05,"(31, 29)"
1.05,"(32, 23)"
1.05,"(32, 29)"
1.05,"(33, 23)"
1.05,"(33, 29)"
1.05,"(34, 23)"
1.05,"(34, 29)"
1.05,"(35, 23)"
1.05,"(35, 29)"
1.09,"(10, 22)"
1.09,"(10, 30)"
1.09,"(11, 22)"
1.09,"(11, 30)"
1.09,"(12, 22)"
1.09,"(12, 30)"
1.09,"(13, 22)"
1.09,"(13, 30)"
1.09,"(14, 22)"
1.09,"(14, 30)"
1.09,"(20, 22)"
1.09,"(20, 30)"
1.09,"(21, 22)"
1.09,"(21, 30)"
1.09,"(22, 22)"
1.09,"(22, 30)"
1.09,"(23, 22)"
1.09,"(23, 30)"
1.09,"(24, 22)"
1.09,"(24, 30)"
1.09,"(30, 22)"
1.09,"(30, 30)"
1.09,"(31, 22)"
1.09,"(31, 30)"
1.09,"(32, 22)"
1.09,"(32, 30)"
1.09,"(33, 22)"
1.09,"(33, 30)"
1.09,"(34, 22)"
1.09,"(34, 30)"
1.09,"(35, 22)"
1.09,"(35, 30)"
1.14,"(10, 21)"
1.14,"(10, 31)"
1.14,"(11, 21)"
1.14,"(11, 31)"
1.14,"(12, 21)"
1.14,"(12, 31)"
1.14,"(13, 21)"
1.14,"(13, 31)"
1.14,"(14, 21)"
1.14,"(14, 31)"
1.14,"(20, 21)"
1.14,"(20, 31)"
1.14,"(21, 21)"
1.14,"(21, 31)"
1.14,"(22, 21)"
1.14,"(22, 31)"
1.14,"(23, 21)"
1.14,"(23, 31)"
1.14,"(24, 21)"
1.14,"(24, 31)"
1.14,"(30, 21)"
1.14,"(30, 31)"
1.14,"(31, 21)"
1.14,"(31, 31)"
1.14,"(32, 21)"
1.14,"(32, 31)"
1.14,"(33, 21)"
1.14,"(33, 31)"
1.14,"(34, 21)"
1.14,"(34, 31)"
1.14,"(35, 21)"
1.14,"(35, 31)"
1.18,"(5, 19)"
1.18,"(6, 19)"
1.18,"(7, 19)"
1.18,"(8, 19)"
1.18,"(9, 19)"
1.18,"(10, 19)"
1.18,"(10, 20)"
1.18,"(10, 32)"
1.18,"(11, 19)"
1.18,"(11, 20)"
1.18,"(11, 32)"
1.18,"(12, 19)"
1.18,"(12, 20)"
1.18,"(12, 32)"
1.18,"(13, 19)"
1.18,"(13, 20)"
1.18,"(13, 32)"
1.18,"(14, 19)"
1.18,"(14, 20)"
1.18,"(14, 32)"
1.18,"(15, 19)"
1.18,"(16, 19)"
1.18,"(17, 19)"
1.18,"(18, 19)"
1.18,"(19, 19)"
1.18,"(20, 19)"
1.18,"(20, 20)"
1.18,"(20, 32)"
1.18,"(21, 19)"
1.18,"(21, 20)"
1.18,"(21, 32)"
1.18,"(22, 19)"
1.18,"(22, 20)"
1.18,"(22, 32)"
1.18,"(23, 19)"
1.18,"(23, 20)"
1.18,"(23, 32)"
1.18,"(24, 19)"
1.18,"(24, 20)"
1.18,"(24, 32)"
1.18,"(25, 19)"
1.18,"(26, 19)"
1.18,"(27, 19)"
1.18,"(28, 19)"
1.18,"(29, 19)"
1.18,"(30, 19)"
1.18,"(30, 20)"
1.18,"(30, 32)"
1.18,"(31, 19)"
1.18,"(31, 20)"
1.18,"(31, 32)"
1.18,"(32, 19)"
1.18,"(32, 20)"
1.18,"(32, 32)"
1.18,"(33, 19)"
1.18,"(33, 20)"
1.18,"(33, 32)"
1.18,"(34, 19)"
1.18,"(34, 20)"
1.18,"(34, 32)"
1.18,"(35, 19)"
1.18,"(35, 20)"
1.18,"(35, 32)"
1.23,"(5, 18)"
1.23,"(6, 18)"
1.23,"(7, 18)"
1.23,"(8, 18)"
1.23,"(9, 18)"
1.23,"(10, 33)"
1.23,"(11, 33)"
1.23,"(12, 33)"
1.23,"(13, 33)"
1.23,"(14, 33)"
1.23,"(15, 18)"
1.23,"(16, 18)"
1.23,"(17, 18)"
1.23,"(18, 18)"
1.23,"(19, 18)"
1.23,"(20, 33)"
1.23,"(21, 33)"
1.23,"(22, 33)"
1.23,"(23, 33)"
1.23,"(24, 33)"
1.23,"(25, 18)"
1.23,"(26, 18)"
1.23,"(27, 18)"
1.23,"(28, 18)"
1.23,"(29, 18)"
1.23,"(30, 33)"
1.23,"(31, 33)"
1.23,"(32, 33)"
1.23,"(33, 33)"
1.23,"(34, 33)"
1.23,"(35, 18)"
1.23,"(35, 33)"
1.27,"(5, 17)"
1.27,"(5, 34)"
1.27,"(6, 17)"
1.27,"(6, 34)"
1.27,"(7, 17)"
1.27,"(7, 34)"
1.27,"(8, 17)"
1.27,"(8, 34)"
1.27,"(9, 17)"
1.27,"(9, 34)"
1.27,"(10, 34)"
1.27,"(11, 34)"
1.27,"(12, 34)"
1.27,"(13, 34)"
1.27,"(14, 34)"
1.27,"(15, 17)"
1.27,"(15, 34)"
1.27,"(16, 17)"
1.27,"(16, 34)"
1.27,"(17, 17)"
1.27,"(17, 34)"
1.27,"(18, 17)"
1.27,"(18, 34)"
1.27,"(19, 17)"
1.27,"(19, 34)"
1.27,"(20, 34)"
1.27,"(21, 34)"
1.27,"(22, 34)"
1.27,"(23, 34)"
1.27,"(24, 34)"
1.27,"(25, 17)"
1.27,"(25, 34)"
1.27,"(26, 17)"
1.27,"(26, 34)"
1.27,"(27, 17)"
1.27,"(27, 34)"
1.27,"(28, 17)"
1.27,"(28, 34)"
1.27,"(29, 17)"
1.27,"(29, 34)"
1.27,"(30, 34)"
1.27,"(31, 34)"
1.27,"(32, 34)"
1.27,"(33, 34)"
1.27,"(34, 34)"
1.27,"(35, 17)"
1.27,"(35, 34)"
1.32,"(5, 16)"
1.32,"(5, 35)"
1.32,"(6, 16)"
1.32,"(6, 35)"
1.32,"(7, 16)"
1.32,"(7, 35)"
1.32,"(8, 16)"
1.32,"(8, 35)"
1.32,"(9, 16)"
1.32,"(9, 35)"
1.32,"(15, 16)"
1.32,"(15, 35)"
1.32,"(16, 16)"
1.32,"(16, 35)"
1.32,"(17, 16)"
1.32,"(17, 35)"
1.32,"(18, 16)"
1.32,"(18, 35)"
1.32,"(19, 16)"
1.32,"(19, 35)"
1.32,"(25, 16)"
1.32,"(25, 35)"
1.32,"(26, 16)"
1.32,"(26, 35)"
1.32,"(27, 16)"
1.32,"(27, 35)"
1.32,"(28, 16)"
1.32,"(28, 35)"
1.32,"(29, 16)"
1.32,"(29, 35)"
1.32,"(35, 16)"
1.32,"(35, 35)"
1.36,"(5, 15)"
1.36,"(5, 36)"
1.36,"(6, 15)"
1.36,"(6, 36)"
1.36,"(7, 15)"
1.36,"(7, 36)"
1.36,"(8, 15)"
1.36,"(8, 36)"
1.36,"(9, 15)"
1.36,"(9, 36)"
1.36,"(15, 15)"
1.36,"(15, 36)"
1.36,"(16, 15)"
1.36,"(16, 36)"
1.36,"(17, 15)"
1.36,"(17, 36)"
1.36,"(18, 15)"
1.36,"(18, 36)"
