deviation_factor,midpoint
1.0,"(5, 4)"
1.0,"(6, 4)"
1.0,"(7, 4)"
1.0,"(8, 4)"
1.0,"(9, 4)"
1.0,"(10, 4)"
1.0,"(11, 4)"
1.0,"(12, 4)"
1.0,"(13, 4)"
1.0,"(14, 4)"
1.0,"(15, 4)"
1.0,"(16, 4)"
1.0,"(17, 4)"
1.0,"(18, 4)"
1.0,"(19, 4)"
1.0,"(20, 4)"
1.0,"(21, 4)"
1.0,"(22, 4)"
1.0,"(23, 4)"
1.0,"(24, 4)"
1.0,"(25, 4)"
1.0,"(26, 4)"
1.0,"(27, 4)"
1.0,"(28, 4)"
1.0,"(29, 4)"
1.0,"(30, 4)"
1.0,"(31, 4)"
1.0,"(32, 4)"
1.0,"(33, 4)"
1.0,"(34, 4)"
1.0,"(35, 4)"
1.0,"(35, 5)"
1.0,"(35, 6)"
1.04,"(5, 5)"
1.04,"(6, 5)"
1.04,"(7, 5)"
1.04,"(8, 5)"
1.04,"(9, 5)"
1.04,"(10, 3)"
1.04,"(11, 3)"
1.04,"(12, 3)"
1.04,"(13, 3)"
1.04,"(14, 3)"
1.04,"(15, 5)"
1.04,"(16, 5)"
1.04,"(17, 5)"
1.04,"(18, 5)"
1.04,"(19, 5)"
1.04,"(20, 3)"
1.04,"(21, 3)"
1.04,"(22, 3)"
1.04,"(23, 3)"
1.04,"(24, 3)"
1.04,"(25, 5)"
1.04,"(26, 5)"
1.04,"(27, 5)"
1.04,"(28, 5)"
1.04,"(29, 5)"
1.04,"(30, 3)"
1.04,"(31, 3)"
1.04,"(32, 3)"
1.04,"(33, 3)"
1.04,"(34, 3)"
1.04,"(35, 3)"
1.04,"(35, 7)"
1.09,"(5, 6)"
1.09,"(6, 6)"
1.09,"(7, 6)"
1.09,"(8, 6)"
1.09,"(9, 6)"
1.09,"(10, 2)"
1.09,"(11, 2)"
1.09,"(12, 2)"
1.09,"(13, 2)"
1.09,"(14, 2)"
1.09,"(15, 6)"
1.09,"(16, 6)"
1.09,"(17, 6)"
1.09,"(18, 6)"
1.09,"(19, 6)"
1.09,"(20, 2)"
1.09,"(21, 2)"
1.09,"(22, 2)"
1.09,"(23, 2)"
1.09,"(24, 2)"
1.09,"(25, 6)"
1.09,"(26, 6)"
1.09,"(27, 6)"
1.09,"(28, 6)"
1.09,"(29, 6)"
1.09,"(30, 2)"
1.09,"(31, 2)"
1.09,"(32, 2)"
1.09,"(33, 2)"
1.09,"(34, 2)"
1.09,"(35, 2)"
1.09,"(35, 8)"
1.13,"(5, 7)"
1.13,"(5, 8)"
1.13,"(5, 9)"
1.13,"(6, 7)"
1.13,"(6, 8)"
1.13,"(6, 9)"
1.13,"(7, 7)"
1.13,"(7, 8)"
1.13,"(7, 9)"
1.13,"(8, 7)"
1.13,"(8, 8)"
1.13,"(8, 9)"
1.13,"(9, 7)"
1.13,"(9, 8)"
1.13,"(9, 9)"
1.13,"(10, 1)"
1.13,"(10, 9)"
1.13,"(11, 1)"
1.13,"(11, 9)"
1.13,"(12, 1)"
1.13,"(12, 9)"
1.13,"(13, 1)"
1.13,"(13, 9)"
1.13,"(14, 1)"
1.13,"(14, 9)"
1.13,"(15, 7)"
1.13,"(15, 8)"
1.13,"(15, 9)"
1.13,"(16, 7)"
1.13,"(16, 8)"
1.13,"(16, 9)"
1.13,"(17, 7)"
1.13,"(17, 8)"
1.13,"(17, 9)"
1.13,"(18, 7)"
1.13,"(18, 8)"
1.13,"(18, 9)"
1.13,"(19, 7)"
1.13,"(19, 8)"
1.13,"(19, 9)"
1.13,"(20, 1)"
1.13,"(20, 9)"
1.13,"(21, 1)"
1.13,"(21, 9)"
1.13,"(22, 1)"
1.13,"(22, 9)"
1.13,"(23, 1)"
1.13,"(23, 9)"
1.13,"(24, 1)"
1.13,"(24, 9)"
1.13,"(25, 7)"
1.13,"(25, 8)"
1.13,"(25, 9)"
1.13,"(26, 7)"
1.13,"(26, 8)"
1.13,"(26, 9)"
1.13,"(27, 7)"
1.13,"(27, 8)"
1.13,"(27, 9)"
1.13,"(28, 7)"
1.13,"(28, 8)"
1.13,"(28, 9)"
1.13,"(29, 7)"
1.13,"(29, 8)"
1.13,"(29, 9)"
1.13,"(30, 1)"
1.13,"(30, 9)"
1.13,"(31, 1)"
1.13,"(31, 9)"
1.13,"(32, 1)"
1.13,"(32, 9)"
1.13,"(33, 1)"
1.13,"(33, 9)"
1.13,"(34, 1)"
1.13,"(34, 9)"
1.13,"(35, 1)"
1.13,"(35, 9)"
1.18,"(10, 0)"
1.18,"(10, 10)"
1.18,"(11, 0)"
1.18,"(11, 10)"
1.18,"(12, 0)"
1.18,"(12, 10)"
1.18,"(13, 0)"
1.18,"(13, 10)"
1.18,"(14, 0)"
1.18,"(14, 10)"
1.18,"(20, 0)"
1.18,"(20, 10)"
1.18,"(21, 0)"
1.18,"(21, 10)"
1.18,"(22, 0)"
1.18,"(22, 10)"
1.18,"(23, 0)"
1.18,"(23, 10)"
1.18,"(24, 0)"
1.18,"(24, 10)"
1.18,"(30, 0)"
1.18,"(30, 10)"
1.18,"(31, 0)"
1.18,"(31, 10)"
1.18,"(32, 0)"
1.18,"(32, 10)"
1.18,"(33, 0)"
1.18,"(33, 10)"
1.18,"(34, 0)"
1.18,"(34, 10)"
1.18,"(35, 0)"
1.18,"(35, 10)"
1.22,"(10, 11)"
1.22,"(11, 11)"
1.22,"(12, 11)"
1.22,"(13, 11)"
1.22,"(14, 11)"
1.22,"(20, 11)"
1.22,"(21, 11)"
1.22,"(22, 11)"
1.22,"(23, 11)"
1.22,"(24, 11)"
1.22,"(30, 11)"
1.22,"(31, 11)"
1.22,"(32, 11)"
1.22,"(33, 11)"
1.22,"(34, 11)"
1.22,"(35, 11)"
1.27,"(10, 12)"
1.27,"(11, 12)"
1.27,"(12, 12)"
1.27,"(13, 12)"
1.27,"(14, 12)"
1.27,"(20, 12)"
1.27,"(21, 12)"
