deviation_factor,midpoint
1.0,"(5, 4)"
1.0,"(6, 4)"
1.0,"(7, 4)"
1.0,"(8, 4)"
1.0,"(9, 4)"
1.0,"(10, 4)"
1.0,"(11, 4)"
1.0,"(12, 4)"
1.0,"(13, 4)"
1.0,"(14, 4)"
1.0,"(15, 4)"
1.0,"(16, 4)"
1.0,"(17, 4)"
1.0,"(18, 4)"
1.0,"(19, 4)"
1.0,"(20, 4)"
1.0,"(21, 4)"
1.0,"(22, 4)"
1.0,"(23, 4)"
1.0,"(24, 4)"
1.0,"(25, 4)"
1.0,"(26, 4)"
1.0,"(27, 4)"
1.0,"(28, 4)"
1.0,"(29, 4)"
1.0,"(30, 2)"
1.0,"(30, 3)"
1.0,"(30, 4)"
1.0,"(31, 2)"
1.0,"(31, 3)"
1.0,"(31, 4)"
1.0,"(32, 2)"
1.0,"(32, 3)"
1.0,"(32, 4)"
1.0,"(33, 2)"
1.0,"(33, 3)"
1.0,"(33, 4)"
1.0,"(34, 2)"
1.0,"(34, 3)"
1.0,"(34, 4)"
1.0,"(35, 2)"
1.0,"(35, 3)"
1.0,"(35, 4)"
1.05,"(5, 5)"
1.05,"(6, 5)"
1.05,"(7, 5)"
1.05,"(8, 5)"
1.05,"(9, 5)"
1.05,"(10, 3)"
1.05,"(11, 3)"
1.05,"(12, 3)"
1.05,"(13, 3)"
1.05,"(14, 3)"
1.05,"(15, 5)"
1.05,"(16, 5)"
1.05,"(17, 5)"
1.05,"(18, 5)"
1.05,"(19, 5)"
1.05,"(20, 3)"
1.05,"(21, 3)"
1.05,"(22, 3)"
1.05,"(23, 3)"
1.05,"(24, 3)"
1.05,"(25, 5)"
1.05,"(26, 5)"
1.05,"(27, 5)"
1.05,"(28, 5)"
1.05,"(29, 5)"
1.05,"(30, 1)"
1.05,"(31, 1)"
1.05,"(32, 1)"
1.05,"(33, 1)"
1.05,"(34, 1)"
1.05,"(35, 1)"
1.05,"(35, 5)"
1.1,"(5, 6)"
1.1,"(6, 6)"
1.1,"(7, 6)"
1.1,"(8, 6)"
1.1,"(9, 6)"
1.1,"(10, 2)"
1.1,"(11, 2)"
1.1,"(12, 2)"
1.1,"(13, 2)"
1.1,"(14, 2)"
1.1,"(15, 6)"
1.1,"(16, 6)"
1.1,"(17, 6)"
1.1,"(18, 6)"
1.1,"(19, 6)"
1.1,"(20, 2)"
1.1,"(21, 2)"
1.1,"(22, 2)"
1.1,"(23, 2)"
1.1,"(24, 2)"
1.1,"(25, 6)"
1.1,"(26, 6)"
1.1,"(27, 6)"
1.1,"(28, 6)"
1.1,"(29, 6)"
1.1,"(30, 0)"
1.1,"(31, 0)"
1.1,"(32, 0)"
1.1,"(33, 0)"
1.1,"(34, 0)"
1.1,"(35, 0)"
1.1,"(35, 6)"
1.15,"(5, 7)"
1.15,"(6, 7)"
1.15,"(7, 7)"
1.15,"(8, 7)"
1.15,"(9, 7)"
1.15,"(10, 1)"
1.15,"(11, 1)"
1.15,"(12, 1)"
1.15,"(13, 1)"
1.15,"(14, 1)"
1.15,"(15, 7)"
1.15,"(16, 7)"
1.15,"(17, 7)"
1.15,"(18, 7)"
1.15,"(19, 7)"
1.15,"(20, 1)"
1.15,"(21, 1)"
1.15,"(22, 1)"
1.15,"(23, 1)"
1.15,"(24, 1)"
1.15,"(25, 7)"
1.15,"(26, 7)"
1.15,"(27, 7)"
1.15,"(28, 7)"
1.15,"(29, 7)"
1.15,"(35, 7)"
1.2,"(5, 8)"
1.2,"(6, 8)"
1.2,"(7, 8)"
1.2,"(8, 8)"
1.2,"(9, 8)"
1.2,"(10, 0)"
1.2,"(11, 0)"
1.2,"(12, 0)"
1.2,"(13, 0)"
1.2,"(14, 0)"
1.2,"(15, 8)"
1.2,"(16, 8)"
1.2,"(17, 8)"
1.2,"(18, 8)"
1.2,"(19, 8)"
1.2,"(20, 0)"
1.2,"(21, 0)"
1.2,"(22, 0)"
1.2,"(23, 0)"
1.2,"(24, 0)"
1.2,"(25, 8)"
1.2,"(26, 8)"
1.2,"(27, 8)"
1.2,"(28, 8)"
1.2,"(29, 8)"
1.2,"(35, 8)"
1.24,"(5, 9)"
1.24,"(6, 9)"
1.24,"(7, 9)"
1.24,"(8, 9)"
1.24,"(9, 9)"
1.24,"(10, 9)"
1.24,"(11, 9)"
1.24,"(12, 9)"
1.24,"(13, 9)"
1.24,"(14, 9)"
1.24,"(15, 9)"
1.24,"(16, 9)"
1.24,"(17, 9)"
1.24,"(18, 9)"
1.24,"(19, 9)"
1.24,"(20, 9)"
1.24,"(21, 9)"
1.24,"(22, 9)"
1.24,"(23, 9)"
1.24,"(24, 9)"
1.24,"(25, 9)"
1.24,"(26, 9)"
1.24,"(27, 9)"
1.24,"(28, 9)"
1.24,"(29, 9)"
1.24,"(30, 9)"
1.24,"(31, 9)"
1.24,"(32, 9)"
1.24,"(33, 9)"
1.24,"(34, 9)"
1.24,"(35, 9)"
1.29,"(10, 10)"
1.29,"(11, 10)"
1.29,"(12, 10)"
1.29,"(13, 10)"
1.29,"(14, 10)"
1.29,"(20, 10)"
1.29,"(21, 10)"
1.29,"(22, 10)"
1.29,"(23, 10)"
1.29,"(24, 10)"
1.29,"(30, 10)"
1.29,"(31, 10)"
1.29,"(32, 10)"
1.29,"(33, 10)"
1.29,"(34, 10)"
1.29,"(35, 10)"
1.34,"(10, 11)"
1.34,"(11, 11)"
1.34,"(12, 11)"
1.34,"(13, 11)"
1.34,"(14, 11)"
1.34,"(20, 11)"
1.34,"(21, 11)"
1.34,"(22, 11)"
1.34,"(23, 11)"
1.34,"(24, 11)"
1.34,"(30, 11)"
1.34,"(31, 11)"
1.34,"(32, 11)"
1.34,"(33, 11)"
1.34,"(34, 11)"
1.34,"(35, 11)"
1.39,"(10, 12)"
1.39,"(11, 12)"
1.39,"(12, 12)"
1.39,"(13, 12)"
1.39,"(14, 12)"
1.39,"(20, 12)"
1.39,"(21, 12)"
