deviation_factor,midpoint
1.0,"(5, 19)"
1.0,"(6, 19)"
1.0,"(7, 19)"
1.0,"(8, 19)"
1.0,"(9, 19)"
1.0,"(10, 19)"
1.0,"(11, 19)"
1.0,"(12, 19)"
1.0,"(13, 19)"
1.0,"(14, 19)"
1.0,"(15, 19)"
1.0,"(16, 19)"
1.0,"(17, 19)"
1.0,"(18, 19)"
1.0,"(19, 19)"
1.0,"(20, 19)"
1.0,"(21, 19)"
1.0,"(22, 19)"
1.0,"(23, 19)"
1.0,"(24, 19)"
1.0,"(25, 19)"
1.0,"(26, 19)"
1.0,"(27, 19)"
1.0,"(28, 19)"
1.0,"(29, 19)"
1.0,"(30, 19)"
1.0,"(31, 19)"
1.0,"(32, 19)"
1.0,"(33, 19)"
1.0,"(34, 19)"
1.0,"(35, 16)"
1.0,"(35, 17)"
1.0,"(35, 18)"
1.0,"(35, 19)"
1.04,"(5, 18)"
1.04,"(5, 24)"
1.04,"(6, 18)"
1.04,"(6, 24)"
1.04,"(7, 18)"
1.04,"(7, 24)"
1.04,"(8, 18)"
1.04,"(8, 24)"
1.04,"(9, 18)"
1.04,"(9, 24)"
1.04,"(10, 20)"
1.04,"(10, 21)"
1.04,"(10, 22)"
1.04,"(10, 23)"
1.04,"(10, 24)"
1.04,"(11, 20)"
1.04,"(11, 21)"
1.04,"(11, 22)"
1.04,"(11, 23)"
1.04,"(11, 24)"
1.04,"(12, 20)"
1.04,"(12, 21)"
1.04,"(12, 22)"
1.04,"(12, 23)"
1.04,"(12, 24)"
1.04,"(13, 20)"
1.04,"(13, 21)"
1.04,"(13, 22)"
1.04,"(13, 23)"
1.04,"(13, 24)"
1.04,"(14, 20)"
1.04,"(14, 21)"
1.04,"(14, 22)"
1.04,"(14, 23)"
1.04,"(14, 24)"
1.04,"(15, 18)"
1.04,"(15, 24)"
1.04,"(16, 18)"
1.04,"(16, 24)"
1.04,"(17, 18)"
1.04,"(17, 24)"
1.04,"(18, 18)"
1.04,"(18, 24)"
1.04,"(19, 18)"
1.04,"(19, 24)"
1.04,"(20, 20)"
1.04,"(20, 21)"
1.04,"(20, 22)"
1.04,"(20, 23)"
1.04,"(20, 24)"
1.04,"(21, 20)"
1.04,"(21, 21)"
