deviation_factor,midpoint
1.0,"(5, 36)"
1.0,"(5, 37)"
1.0,"(5, 38)"
1.0,"(5, 39)"
1.0,"(6, 36)"
1.0,"(6, 37)"
1.0,"(6, 38)"
1.0,"(6, 39)"
1.0,"(7, 36)"
1.0,"(7, 37)"
1.0,"(7, 38)"
1.0,"(7, 39)"
1.0,"(8, 36)"
1.0,"(8, 37)"
1.0,"(8, 38)"
1.0,"(8, 39)"
1.0,"(9, 36)"
1.0,"(9, 37)"
1.0,"(9, 38)"
1.0,"(9, 39)"
1.0,"(10, 39)"
1.0,"(11, 39)"
1.0,"(12, 39)"
1.0,"(13, 39)"
1.0,"(14, 39)"
1.0,"(15, 39)"
1.0,"(16, 39)"
1.0,"(17, 39)"
1.0,"(18, 39)"
1.0,"(19, 39)"
1.0,"(20, 39)"
1.0,"(21, 39)"
1.0,"(22, 39)"
1.0,"(23, 39)"
1.0,"(24, 39)"
1.0,"(25, 39)"
1.0,"(26, 39)"
1.0,"(27, 39)"
1.0,"(28, 39)"
1.0,"(29, 39)"
1.0,"(30, 39)"
1.0,"(31, 39)"
1.0,"(32, 39)"
1.0,"(33, 39)"
1.0,"(34, 39)"
1.0,"(35, 39)"
1.05,"(5, 35)"
1.05,"(6, 35)"
1.05,"(7, 35)"
1.05,"(8, 35)"
1.05,"(9, 35)"
1.05,"(15, 38)"
1.05,"(16, 38)"
1.05,"(17, 38)"
1.05,"(18, 38)"
1.05,"(19, 38)"
1.05,"(25, 38)"
1.05,"(26, 38)"
1.05,"(27, 38)"
1.05,"(28, 38)"
1.05,"(29, 38)"
1.05,"(35, 38)"
1.1,"(5, 34)"
1.1,"(6, 34)"
1.1,"(7, 34)"
1.1,"(8, 34)"
1.1,"(9, 34)"
1.1,"(10, 34)"
1.1,"(11, 34)"
1.1,"(12, 34)"
1.1,"(13, 34)"
1.1,"(14, 34)"
1.1,"(15, 34)"
1.1,"(15, 35)"
1.1,"(15, 36)"
1.1,"(15, 37)"
1.1,"(16, 34)"
1.1,"(16, 35)"
1.1,"(16, 36)"
1.1,"(16, 37)"
1.1,"(17, 34)"
1.1,"(17, 35)"
1.1,"(17, 36)"
1.1,"(17, 37)"
1.1,"(18, 34)"
1.1,"(18, 35)"
1.1,"(18, 36)"
1.1,"(18, 37)"
1.1,"(19, 34)"
1.1,"(19, 35)"
1.1,"(19, 36)"
1.1,"(19, 37)"
1.1,"(20, 34)"
1.1,"(21, 34)"
1.1,"(22, 34)"
1.1,"(23, 34)"
1.1,"(24, 34)"
1.1,"(25, 34)"
1.1,"(25, 35)"
1.1,"(25, 36)"
1.1,"(25, 37)"
1.1,"(26, 34)"
1.1,"(26, 35)"
1.1,"(26, 36)"
1.1,"(26, 37)"
1.1,"(27, 34)"
1.1,"(27, 35)"
1.1,"(27, 36)"
1.1,"(27, 37)"
1.1,"(28, 34)"
1.1,"(28, 35)"
1.1,"(28, 36)"
1.1,"(28, 37)"
1.1,"(29, 34)"
1.1,"(29, 35)"
1.1,"(29, 36)"
1.1,"(29, 37)"
1.1,"(30, 34)"
1.1,"(31, 34)"
1.1,"(32, 34)"
1.1,"(33, 34)"
1.1,"(34, 34)"
1.1,"(35, 34)"
1.1,"(35, 35)"
1.1,"(35, 36)"
1.1,"(35, 37)"
1.14,"(10, 33)"
1.14,"(11, 33)"
1.14,"(12, 33)"
1.14,"(13, 33)"
1.14,"(14, 33)"
1.14,"(20, 33)"
1.14,"(21, 33)"
1.14,"(22, 33)"
1.14,"(23, 33)"
1.14,"(24, 33)"
1.14,"(30, 33)"
1.14,"(31, 33)"
1.14,"(32, 33)"
1.14,"(33, 33)"
1.14,"(34, 33)"
1.14,"(35, 33)"
1.19,"(10, 32)"
1.19,"(11, 32)"
1.19,"(12, 32)"
1.19,"(13, 32)"
1.19,"(14, 32)"
1.19,"(20, 32)"
1.19,"(21, 32)"
1.19,"(22, 32)"
1.19,"(23, 32)"
1.19,"(24, 32)"
1.19,"(30, 32)"
1.19,"(31, 32)"
1.19,"(32, 32)"
1.19,"(33, 32)"
1.19,"(34, 32)"
1.19,"(35, 32)"
1.24,"(10, 31)"
1.24,"(11, 31)"
1.24,"(12, 31)"
1.24,"(13, 31)"
1.24,"(14, 31)"
1.24,"(20, 31)"
1.24,"(21, 31)"
1.24,"(22, 31)"
1.24,"(23, 31)"
1.24,"(24, 31)"
1.24,"(30, 31)"
1.24,"(31, 31)"
1.24,"(32, 31)"
1.24,"(33, 31)"
1.24,"(34, 31)"
1.24,"(35, 31)"
1.29,"(10, 30)"
1.29,"(11, 30)"
1.29,"(12, 30)"
1.29,"(13, 30)"
1.29,"(14, 30)"
1.29,"(20, 30)"
1.29,"(21, 30)"
1.29,"(22, 30)"
1.29,"(23, 30)"
1.29,"(24, 30)"
1.29,"(30, 30)"
1.29,"(31, 30)"
1.29,"(32, 30)"
1.29,"(33, 30)"
1.29,"(34, 30)"
1.29,"(35, 30)"
1.33,"(5, 29)"
1.33,"(6, 29)"
1.33,"(7, 29)"
1.33,"(8, 29)"
1.33,"(9, 29)"
1.33,"(10, 29)"
1.33,"(11, 29)"
1.33,"(12, 29)"
1.33,"(13, 29)"
1.33,"(14, 29)"
1.33,"(15, 29)"
1.33,"(16, 29)"
1.33,"(17, 29)"
1.33,"(18, 29)"
1.33,"(19, 29)"
1.33,"(20, 29)"
1.33,"(21, 29)"
1.33,"(22, 29)"
1.33,"(23, 29)"
1.33,"(24, 29)"
1.33,"(25, 29)"
1.33,"(26, 29)"
1.33,"(27, 29)"
1.33,"(28, 29)"
1.33,"(29, 29)"
1.33,"(30, 29)"
1.33,"(31, 29)"
1.33,"(32, 29)"
1.33,"(33, 29)"
1.33,"(34, 29)"
1.33,"(35, 29)"
1.38,"(5, 28)"
1.38,"(6, 28)"
1.38,"(7, 28)"
1.38,"(8, 28)"
1.38,"(9, 28)"
1.38,"(15, 28)"
1.38,"(16, 28)"
1.38,"(17, 28)"
1.38,"(18, 28)"
1.38,"(19, 28)"
1.38,"(25, 28)"
1.38,"(26, 28)"
1.38,"(27, 28)"
1.38,"(28, 28)"
1.38,"(29, 28)"
1.38,"(35, 28)"
1.43,"(5, 27)"
1.43,"(6, 27)"
1.43,"(7, 27)"
1.43,"(8, 27)"
1.43,"(9, 27)"
1.43,"(15, 27)"
1.43,"(16, 27)"
1.43,"(17, 27)"
1.43,"(18, 27)"
1.43,"(19, 27)"
1.43,"(25, 27)"
1.43,"(26, 27)"
1.43,"(27, 27)"
1.43,"(28, 27)"
1.43,"(29, 27)"
1.43,"(35, 27)"
1.48,"(5, 26)"
1.48,"(6, 26)"
1.48,"(7, 26)"
1.48,"(8, 26)"
1.48,"(9, 26)"
1.48,"(15, 26)"
1.48,"(16, 26)"
1.48,"(17, 26)"
1.48,"(18, 26)"
