deviation_factor,midpoint
1.0,"(5, 35)"
1.0,"(5, 36)"
1.0,"(5, 37)"
1.0,"(5, 38)"
1.0,"(5, 39)"
1.0,"(6, 35)"
1.0,"(6, 36)"
1.0,"(6, 37)"
1.0,"(6, 38)"
1.0,"(6, 39)"
1.0,"(7, 35)"
1.0,"(7, 36)"
1.0,"(7, 37)"
1.0,"(7, 38)"
1.0,"(7, 39)"
1.0,"(8, 35)"
1.0,"(8, 36)"
1.0,"(8, 37)"
1.0,"(8, 38)"
1.0,"(8, 39)"
1.0,"(9, 35)"
1.0,"(9, 36)"
1.0,"(9, 37)"
1.0,"(9, 38)"
1.0,"(9, 39)"
1.0,"(10, 39)"
1.0,"(11, 39)"
1.0,"(12, 39)"
1.0,"(13, 39)"
1.0,"(14, 39)"
1.0,"(15, 39)"
1.0,"(16, 39)"
1.0,"(17, 39)"
1.0,"(18, 39)"
1.0,"(19, 39)"
1.0,"(20, 39)"
1.0,"(21, 39)"
1.0,"(22, 39)"
1.0,"(23, 39)"
1.0,"(24, 39)"
1.0,"(25, 39)"
1.0,"(26, 39)"
1.0,"(27, 39)"
1.0,"(28, 39)"
1.0,"(29, 39)"
1.0,"(30, 39)"
1.0,"(31, 39)"
1.0,"(32, 39)"
1.0,"(33, 39)"
1.0,"(34, 39)"
1.0,"(35, 39)"
1.05,"(5, 34)"
1.05,"(6, 34)"
1.05,"(7, 34)"
1.05,"(8, 34)"
1.05,"(9, 34)"
1.05,"(10, 34)"
1.05,"(11, 34)"
1.05,"(12, 34)"
1.05,"(13, 34)"
1.05,"(14, 34)"
1.05,"(15, 34)"
1.05,"(15, 35)"
1.05,"(15, 36)"
1.05,"(15, 37)"
1.05,"(15, 38)"
1.05,"(16, 34)"
1.05,"(16, 35)"
1.05,"(16, 36)"
1.05,"(16, 37)"
1.05,"(16, 38)"
1.05,"(17, 34)"
1.05,"(17, 35)"
1.05,"(17, 36)"
1.05,"(17, 37)"
1.05,"(17, 38)"
1.05,"(18, 34)"
1.05,"(18, 35)"
1.05,"(18, 36)"
1.05,"(18, 37)"
1.05,"(18, 38)"
1.05,"(19, 34)"
1.05,"(19, 35)"
1.05,"(19, 36)"
1.05,"(19, 37)"
1.05,"(19, 38)"
1.05,"(20, 34)"
1.05,"(21, 34)"
1.05,"(22, 34)"
1.05,"(23, 34)"
1.05,"(24, 34)"
1.05,"(25, 34)"
1.05,"(25, 35)"
1.05,"(25, 36)"
1.05,"(25, 37)"
1.05,"(25, 38)"
1.05,"(26, 34)"
1.05,"(26, 35)"
1.05,"(26, 36)"
1.05,"(26, 37)"
1.05,"(26, 38)"
1.05,"(27, 34)"
1.05,"(27, 35)"
1.05,"(27, 36)"
1.05,"(27, 37)"
1.05,"(27, 38)"
1.05,"(28, 34)"
1.05,"(28, 35)"
1.05,"(28, 36)"
1.05,"(28, 37)"
1.05,"(28, 38)"
1.05,"(29, 34)"
1.05,"(29, 35)"
1.05,"(29, 36)"
1.05,"(29, 37)"
1.05,"(29, 38)"
1.05,"(30, 34)"
1.05,"(31, 34)"
1.05,"(32, 34)"
1.05,"(33, 34)"
1.05,"(34, 34)"
1.05,"(35, 34)"
1.05,"(35, 35)"
1.05,"(35, 36)"
1.05,"(35, 37)"
1.05,"(35, 38)"
1.09,"(10, 33)"
1.09,"(11, 33)"
1.09,"(12, 33)"
1.09,"(13, 33)"
1.09,"(14, 33)"
1.09,"(20, 33)"
1.09,"(21, 33)"
1.09,"(22, 33)"
1.09,"(23, 33)"
1.09,"(24, 33)"
1.09,"(30, 33)"
1.09,"(31, 33)"
1.09,"(32, 33)"
1.09,"(33, 33)"
1.09,"(34, 33)"
1.09,"(35, 33)"
1.14,"(10, 32)"
1.14,"(11, 32)"
1.14,"(12, 32)"
1.14,"(13, 32)"
1.14,"(14, 32)"
1.14,"(20, 32)"
1.14,"(21, 32)"
1.14,"(22, 32)"
1.14,"(23, 32)"
1.14,"(24, 32)"
1.14,"(30, 32)"
1.14,"(31, 32)"
1.14,"(32, 32)"
1.14,"(33, 32)"
1.14,"(34, 32)"
1.14,"(35, 32)"
1.19,"(10, 31)"
1.19,"(11, 31)"
1.19,"(12, 31)"
1.19,"(13, 31)"
1.19,"(14, 31)"
1.19,"(20, 31)"
1.19,"(21, 31)"
1.19,"(22, 31)"
1.19,"(23, 31)"
1.19,"(24, 31)"
1.19,"(30, 31)"
1.19,"(31, 31)"
1.19,"(32, 31)"
1.19,"(33, 31)"
1.19,"(34, 31)"
1.19,"(35, 31)"
