deviation_factor,midpoint
1.0,"(5, 7)"
1.0,"(5, 8)"
1.0,"(5, 9)"
1.0,"(6, 7)"
1.0,"(6, 8)"
1.0,"(6, 9)"
1.0,"(7, 7)"
1.0,"(7, 8)"
1.0,"(7, 9)"
1.0,"(8, 7)"
1.0,"(8, 8)"
1.0,"(8, 9)"
1.0,"(9, 7)"
1.0,"(9, 8)"
1.0,"(9, 9)"
1.0,"(10, 9)"
1.0,"(11, 9)"
1.0,"(12, 9)"
1.0,"(13, 9)"
1.0,"(14, 9)"
1.0,"(15, 9)"
1.0,"(16, 9)"
1.0,"(17, 9)"
1.0,"(18, 9)"
1.0,"(19, 9)"
1.0,"(20, 9)"
1.0,"(21, 9)"
1.0,"(22, 9)"
1.0,"(23, 9)"
1.0,"(24, 9)"
1.0,"(25, 9)"
1.0,"(26, 9)"
1.0,"(27, 9)"
1.0,"(28, 9)"
1.0,"(29, 9)"
1.0,"(30, 9)"
1.0,"(30, 10)"
1.0,"(30, 11)"
1.0,"(30, 12)"
1.0,"(31, 9)"
1.0,"(31, 10)"
1.0,"(31, 11)"
1.0,"(31, 12)"
1.0,"(32, 9)"
1.0,"(32, 10)"
1.0,"(32, 11)"
1.0,"(32, 12)"
1.0,"(33, 9)"
1.0,"(33, 10)"
1.0,"(33, 11)"
1.0,"(33, 12)"
1.0,"(34, 9)"
1.0,"(34, 10)"
1.0,"(34, 11)"
1.0,"(34, 12)"
1.0,"(35, 9)"
1.0,"(35, 10)"
1.0,"(35, 11)"
1.0,"(35, 12)"
1.05,"(5, 6)"
1.05,"(6, 6)"
1.05,"(7, 6)"
1.05,"(8, 6)"
1.05,"(9, 6)"
1.05,"(10, 10)"
1.05,"(11, 10)"
1.05,"(12, 10)"
1.05,"(13, 10)"
1.05,"(14, 10)"
1.05,"(15, 8)"
1.05,"(16, 8)"
1.05,"(17, 8)"
1.05,"(18, 8)"
1.05,"(19, 8)"
1.05,"(20, 10)"
1.05,"(21, 10)"
1.05,"(22, 10)"
1.05,"(23, 10)"
1.05,"(24, 10)"
1.05,"(25, 8)"
1.05,"(26, 8)"
1.05,"(27, 8)"
1.05,"(28, 8)"
1.05,"(29, 8)"
1.05,"(30, 13)"
1.05,"(31, 13)"
1.05,"(32, 13)"
1.05,"(33, 13)"
1.05,"(34, 13)"
1.05,"(35, 8)"
1.05,"(35, 13)"
1.09,"(5, 5)"
1.09,"(5, 14)"
1.09,"(6, 5)"
1.09,"(6, 14)"
1.09,"(7, 5)"
1.09,"(7, 14)"
1.09,"(8, 5)"
1.09,"(8, 14)"
1.09,"(9, 5)"
1.09,"(9, 14)"
1.09,"(10, 11)"
1.09,"(10, 12)"
1.09,"(10, 13)"
1.09,"(10, 14)"
1.09,"(11, 11)"
1.09,"(11, 12)"
1.09,"(11, 13)"
1.09,"(11, 14)"
1.09,"(12, 11)"
1.09,"(12, 12)"
1.09,"(12, 13)"
1.09,"(12, 14)"
1.09,"(13, 11)"
1.09,"(13, 12)"
1.09,"(13, 13)"
1.09,"(13, 14)"
1.09,"(14, 11)"
1.09,"(14, 12)"
1.09,"(14, 13)"
1.09,"(14, 14)"
1.09,"(15, 7)"
1.09,"(15, 14)"
1.09,"(16, 7)"
1.09,"(16, 14)"
1.09,"(17, 7)"
1.09,"(17, 14)"
1.09,"(18, 7)"
1.09,"(18, 14)"
1.09,"(19, 7)"
1.09,"(19, 14)"
1.09,"(20, 11)"
1.09,"(20, 12)"
1.09,"(20, 13)"
1.09,"(20, 14)"
1.09,"(21, 11)"
1.09,"(21, 12)"
1.09,"(21, 13)"
1.09,"(21, 14)"
1.09,"(22, 11)"
1.09,"(22, 12)"
1.09,"(22, 13)"
1.09,"(22, 14)"
1.09,"(23, 11)"
1.09,"(23, 12)"
1.09,"(23, 13)"
1.09,"(23, 14)"
1.09,"(24, 11)"
1.09,"(24, 12)"
1.09,"(24, 13)"
1.09,"(24, 14)"
1.09,"(25, 7)"
1.09,"(25, 14)"
1.09,"(26, 7)"
1.09,"(26, 14)"
1.09,"(27, 7)"
1.09,"(27, 14)"
1.09,"(28, 7)"
1.09,"(28, 14)"
1.09,"(29, 7)"
1.09,"(29, 14)"
1.09,"(30, 14)"
1.09,"(31, 14)"
1.09,"(32, 14)"
1.09,"(33, 14)"
1.09,"(34, 14)"
1.09,"(35, 7)"
1.09,"(35, 14)"
1.14,"(5, 4)"
1.14,"(5, 15)"
1.14,"(6, 4)"
1.14,"(6, 15)"
1.14,"(7, 4)"
1.14,"(7, 15)"
1.14,"(8, 4)"
1.14,"(8, 15)"
1.14,"(9, 4)"
1.14,"(9, 15)"
1.14,"(10, 4)"
1.14,"(11, 4)"
1.14,"(12, 4)"
1.14,"(13, 4)"
1.14,"(14, 4)"
1.14,"(15, 4)"
1.14,"(15, 5)"
1.14,"(15, 6)"
1.14,"(15, 15)"
1.14,"(16, 4)"
1.14,"(16, 5)"
1.14,"(16, 6)"
1.14,"(16, 15)"
1.14,"(17, 4)"
1.14,"(17, 5)"
1.14,"(17, 6)"
1.14,"(17, 15)"
1.14,"(18, 4)"
1.14,"(18, 5)"
1.14,"(18, 6)"
1.14,"(18, 15)"
1.14,"(19, 4)"
1.14,"(19, 5)"
1.14,"(19, 6)"
1.14,"(19, 15)"
1.14,"(20, 4)"
1.14,"(21, 4)"
1.14,"(22, 4)"
1.14,"(23, 4)"
1.14,"(24, 4)"
1.14,"(25, 4)"
1.14,"(25, 5)"
1.14,"(25, 6)"
1.14,"(25, 15)"
1.14,"(26, 4)"
1.14,"(26, 5)"
1.14,"(26, 6)"
1.14,"(26, 15)"
1.14,"(27, 4)"
1.14,"(27, 5)"
1.14,"(27, 6)"
1.14,"(27, 15)"
1.14,"(28, 4)"
1.14,"(28, 5)"
1.14,"(28, 6)"
1.14,"(28, 15)"
1.14,"(29, 4)"
1.14,"(29, 5)"
1.14,"(29, 6)"
1.14,"(29, 15)"
1.14,"(30, 4)"
1.14,"(31, 4)"
1.14,"(32, 4)"
1.14,"(33, 4)"
1.14,"(34, 4)"
1.14,"(35, 4)"
1.14,"(35, 5)"
1.14,"(35, 6)"
1.14,"(35, 15)"
1.18,"(5, 16)"
1.18,"(6, 16)"
1.18,"(7, 16)"
1.18,"(8, 16)"
1.18,"(9, 16)"
1.18,"(10, 3)"
1.18,"(11, 3)"
1.18,"(12, 3)"
1.18,"(13, 3)"
1.18,"(14, 3)"
1.18,"(15, 16)"
1.18,"(16, 16)"
1.18,"(17, 16)"
1.18,"(18, 16)"
1.18,"(19, 16)"
1.18,"(20, 3)"
1.18,"(21, 3)"
1.18,"(22, 3)"
1.18,"(23, 3)"
1.18,"(24, 3)"
1.18,"(25, 16)"
1.18,"(26, 16)"
1.18,"(27, 16)"
1.18,"(28, 16)"
1.18,"(29, 16)"
1.18,"(30, 3)"
1.18,"(31, 3)"
1.18,"(32, 3)"
1.18,"(33, 3)"
1.18,"(34, 3)"
1.18,"(35, 3)"
1.18,"(35, 16)"
1.23,"(5, 17)"
1.23,"(6, 17)"
1.23,"(7, 17)"
1.23,"(8, 17)"
1.23,"(9, 17)"
1.23,"(10, 2)"
1.23,"(11, 2)"
1.23,"(12, 2)"
1.23,"(13, 2)"
1.23,"(14, 2)"
1.23,"(15, 17)"
1.23,"(16, 17)"
1.23,"(17, 17)"
1.23,"(18, 17)"
1.23,"(19, 17)"
1.23,"(20, 2)"
1.23,"(21, 2)"
1.23,"(22, 2)"
1.23,"(23, 2)"
1.23,"(24, 2)"
1.23,"(25, 17)"
1.23,"(26, 17)"
1.23,"(27, 17)"
1.23,"(28, 17)"
1.23,"(29, 17)"
1.23,"(30, 2)"
