deviation_factor,midpoint
1.0,"(5, 24)"
1.0,"(5, 25)"
1.0,"(5, 26)"
1.0,"(5, 27)"
1.0,"(5, 28)"
1.0,"(5, 29)"
1.0,"(6, 24)"
1.0,"(6, 25)"
1.0,"(6, 26)"
1.0,"(6, 27)"
1.0,"(6, 28)"
1.0,"(6, 29)"
1.0,"(7, 24)"
1.0,"(7, 25)"
1.0,"(7, 26)"
1.0,"(7, 27)"
1.0,"(7, 28)"
1.0,"(7, 29)"
1.0,"(8, 24)"
1.0,"(8, 25)"
1.0,"(8, 26)"
1.0,"(8, 27)"
1.0,"(8, 28)"
1.0,"(8, 29)"
1.0,"(9, 24)"
1.0,"(9, 25)"
1.0,"(9, 26)"
1.0,"(9, 27)"
1.0,"(9, 28)"
1.0,"(9, 29)"
1.0,"(10, 24)"
1.0,"(10, 29)"
1.0,"(11, 24)"
1.0,"(11, 29)"
1.0,"(12, 24)"
1.0,"(12, 29)"
1.0,"(13, 24)"
1.0,"(13, 29)"
1.0,"(14, 24)"
1.0,"(14, 29)"
1.0,"(15, 24)"
1.0,"(15, 25)"
1.0,"(15, 26)"
1.0,"(15, 27)"
1.0,"(15, 28)"
1.0,"(15, 29)"
1.0,"(16, 24)"
1.0,"(16, 25)"
1.0,"(16, 26)"
1.0,"(16, 27)"
1.0,"(16, 28)"
1.0,"(16, 29)"
1.0,"(17, 24)"
1.0,"(17, 25)"
1.0,"(17, 26)"
1.0,"(17, 27)"
1.0,"(17, 28)"
1.0,"(17, 29)"
1.0,"(18, 24)"
1.0,"(18, 25)"
1.0,"(18, 26)"
1.0,"(18, 27)"
1.0,"(18, 28)"
1.0,"(18, 29)"
1.0,"(19, 24)"
1.0,"(19, 25)"
1.0,"(19, 26)"
1.0,"(19, 27)"
1.0,"(19, 28)"
1.0,"(19, 29)"
1.0,"(20, 24)"
1.0,"(20, 29)"
1.0,"(21, 24)"
1.0,"(21, 29)"
1.0,"(22, 24)"
1.0,"(22, 29)"
1.0,"(23, 24)"
1.0,"(23, 29)"
1.0,"(24, 24)"
1.0,"(24, 29)"
1.0,"(25, 24)"
1.0,"(25, 25)"
1.0,"(25, 26)"
1.0,"(25, 27)"
1.0,"(25, 28)"
1.0,"(25, 29)"
1.0,"(26, 24)"
1.0,"(26, 25)"
1.0,"(26, 26)"
1.0,"(26, 27)"
1.0,"(26, 28)"
1.0,"(26, 29)"
1.0,"(27, 24)"
1.0,"(27, 25)"
1.0,"(27, 26)"
1.0,"(27, 27)"
1.0,"(27, 28)"
1.0,"(27, 29)"
1.0,"(28, 24)"
1.0,"(28, 25)"
1.0,"(28, 26)"
1.0,"(28, 27)"
1.0,"(28, 28)"
1.0,"(28, 29)"
1.0,"(29, 24)"
1.0,"(29, 25)"
1.0,"(29, 26)"
1.0,"(29, 27)"
1.0,"(29, 28)"
1.0,"(29, 29)"
1.0,"(30, 22)"
1.0,"(30, 23)"
1.0,"(30, 24)"
1.0,"(30, 29)"
1.0,"(31, 22)"
1.0,"(31, 23)"
1.0,"(31, 24)"
1.0,"(31, 29)"
1.0,"(32, 22)"
1.0,"(32, 23)"
1.0,"(32, 24)"
1.0,"(32, 29)"
1.0,"(33, 22)"
1.0,"(33, 23)"
1.0,"(33, 24)"
1.0,"(33, 29)"
1.0,"(34, 22)"
1.0,"(34, 23)"
1.0,"(34, 24)"
1.0,"(34, 29)"
1.0,"(35, 22)"
1.0,"(35, 23)"
1.0,"(35, 24)"
1.0,"(35, 25)"
1.0,"(35, 26)"
1.0,"(35, 27)"
1.0,"(35, 28)"
1.0,"(35, 29)"
1.04,"(10, 23)"
1.04,"(10, 30)"
1.04,"(11, 23)"
1.04,"(11, 30)"
1.04,"(12, 23)"
1.04,"(12, 30)"
1.04,"(13, 23)"
1.04,"(13, 30)"
1.04,"(14, 23)"
1.04,"(14, 30)"
1.04,"(20, 23)"
1.04,"(20, 30)"
1.04,"(21, 23)"
1.04,"(21, 30)"
1.04,"(22, 23)"
1.04,"(22, 30)"
1.04,"(23, 23)"
1.04,"(23, 30)"
1.04,"(24, 23)"
1.04,"(24, 30)"
1.04,"(30, 21)"
1.04,"(30, 30)"
1.04,"(31, 21)"
1.04,"(31, 30)"
1.04,"(32, 21)"
1.04,"(32, 30)"
1.04,"(33, 21)"
1.04,"(33, 30)"
1.04,"(34, 21)"
1.04,"(34, 30)"
1.04,"(35, 21)"
1.04,"(35, 30)"
1.08,"(5, 34)"
1.08,"(6, 34)"
1.08,"(7, 34)"
1.08,"(8, 34)"
1.08,"(9, 34)"
1.08,"(10, 22)"
1.08,"(10, 31)"
1.08,"(10, 32)"
1.08,"(10, 33)"
1.08,"(10, 34)"
1.08,"(11, 22)"
1.08,"(11, 31)"
1.08,"(11, 32)"
1.08,"(11, 33)"
1.08,"(11, 34)"
1.08,"(12, 22)"
1.08,"(12, 31)"
1.08,"(12, 32)"
1.08,"(12, 33)"
1.08,"(12, 34)"
1.08,"(13, 22)"
1.08,"(13, 31)"
1.08,"(13, 32)"
1.08,"(13, 33)"
1.08,"(13, 34)"
1.08,"(14, 22)"
1.08,"(14, 31)"
1.08,"(14, 32)"
1.08,"(14, 33)"
1.08,"(14, 34)"
1.08,"(15, 34)"
1.08,"(16, 34)"
1.08,"(17, 34)"
1.08,"(18, 34)"
1.08,"(19, 34)"
1.08,"(20, 22)"
1.08,"(20, 31)"
1.08,"(20, 32)"
1.08,"(20, 33)"
1.08,"(20, 34)"
1.08,"(21, 22)"
1.08,"(21, 31)"
1.08,"(21, 32)"
1.08,"(21, 33)"
1.08,"(21, 34)"
1.08,"(22, 22)"
1.08,"(22, 31)"
1.08,"(22, 32)"
1.08,"(22, 33)"
1.08,"(22, 34)"
1.08,"(23, 22)"
1.08,"(23, 31)"
1.08,"(23, 32)"
1.08,"(23, 33)"
1.08,"(23, 34)"
1.08,"(24, 22)"
1.08,"(24, 31)"
1.08,"(24, 32)"
1.08,"(24, 33)"
1.08,"(24, 34)"
1.08,"(25, 34)"
1.08,"(26, 34)"
1.08,"(27, 34)"
1.08,"(28, 34)"
1.08,"(29, 34)"
1.08,"(30, 20)"
1.08,"(30, 31)"
1.08,"(30, 32)"
1.08,"(30, 33)"
1.08,"(30, 34)"
1.08,"(31, 20)"
1.08,"(31, 31)"
1.08,"(31, 32)"
1.08,"(31, 33)"
1.08,"(31, 34)"
1.08,"(32, 20)"
1.08,"(32, 31)"
1.08,"(32, 32)"
1.08,"(32, 33)"
1.08,"(32, 34)"
1.08,"(33, 20)"
1.08,"(33, 31)"
1.08,"(33, 32)"
1.08,"(33, 33)"
1.08,"(33, 34)"
1.08,"(34, 20)"
1.08,"(34, 31)"
1.08,"(34, 32)"
1.08,"(34, 33)"
1.08,"(34, 34)"
1.08,"(35, 20)"
1.08,"(35, 31)"
1.08,"(35, 32)"
1.08,"(35, 33)"
1.08,"(35, 34)"
1.12,"(5, 19)"
1.12,"(5, 35)"
1.12,"(6, 19)"
1.12,"(6, 35)"
1.12,"(7, 19)"
1.12,"(7, 35)"
1.12,"(8, 19)"
1.12,"(8, 35)"
1.12,"(9, 19)"
1.12,"(9, 35)"
1.12,"(10, 19)"
1.12,"(10, 20)"
1.12,"(10, 21)"
1.12,"(11, 19)"
1.12,"(11, 20)"
1.12,"(11, 21)"
1.12,"(12, 19)"
1.12,"(12, 20)"
1.12,"(12, 21)"
1.12,"(13, 19)"
1.12,"(13, 20)"
1.12,"(13, 21)"
1.12,"(14, 19)"
1.12,"(14, 20)"
1.12,"(14, 21)"
1.12,"(15, 19)"
1.12,"(15, 35)"
1.12,"(16, 19)"
1.12,"(16, 35)"
1.12,"(17, 19)"
1.12,"(17, 35)"
1.12,"(18, 19)"
1.12,"(18, 35)"
1.12,"(19, 19)"
1.12,"(19, 35)"
1.12,"(20, 19)"
1.12,"(20, 20)"
1.12,"(20, 21)"
1.12,"(21, 19)"
1.12,"(21, 20)"
1.12,"(21, 21)"
1.12,"(22, 19)"
1.12,"(22, 20)"
1.12,"(22, 21)"
1.12,"(23, 19)"
1.12,"(23, 20)"
1.12,"(23, 21)"
1.12,"(24, 19)"
1.12,"(24, 20)"
1.12,"(24, 21)"
1.12,"(25, 19)"
1.12,"(25, 35)"
1.12,"(26, 19)"
1.12,"(26, 35)"
1.12,"(27, 19)"
1.12,"(27, 35)"
1.12,"(28, 19)"
1.12,"(28, 35)"
1.12,"(29, 19)"
1.12,"(29, 35)"
1.12,"(30, 19)"
1.12,"(31, 19)"
1.12,"(32, 19)"
1.12,"(33, 19)"
1.12,"(34, 19)"
1.12,"(35, 19)"
1.12,"(35, 35)"
1.16,"(5, 18)"
1.16,"(5, 36)"
1.16,"(6, 18)"
1.16,"(6, 36)"
1.16,"(7, 18)"
1.16,"(7, 36)"
1.16,"(8, 18)"
1.16,"(8, 36)"
1.16,"(9, 18)"
1.16,"(9, 36)"
1.16,"(15, 18)"
1.16,"(15, 36)"
1.16,"(16, 18)"
1.16,"(16, 36)"
1.16,"(17, 18)"
1.16,"(17, 36)"
1.16,"(18, 18)"
1.16,"(18, 36)"
