deviation_factor,midpoint
1.0,"(5, 34)"
1.0,"(6, 34)"
1.0,"(7, 34)"
1.0,"(8, 34)"
1.0,"(9, 34)"
1.0,"(10, 34)"
1.0,"(11, 34)"
1.0,"(12, 34)"
1.0,"(13, 34)"
1.0,"(14, 34)"
1.0,"(15, 34)"
1.0,"(16, 34)"
1.0,"(17, 34)"
1.0,"(18, 34)"
1.0,"(19, 34)"
1.0,"(20, 34)"
1.0,"(21, 34)"
1.0,"(22, 34)"
1.0,"(23, 34)"
1.0,"(24, 34)"
1.0,"(25, 34)"
1.0,"(26, 34)"
1.0,"(27, 34)"
1.0,"(28, 34)"
1.0,"(29, 34)"
1.0,"(30, 34)"
1.0,"(31, 34)"
1.0,"(32, 34)"
1.0,"(33, 34)"
1.0,"(34, 34)"
1.0,"(35, 34)"
1.05,"(5, 35)"
1.05,"(6, 35)"
1.05,"(7, 35)"
1.05,"(8, 35)"
1.05,"(9, 35)"
1.05,"(10, 33)"
1.05,"(11, 33)"
1.05,"(12, 33)"
1.05,"(13, 33)"
1.05,"(14, 33)"
1.05,"(15, 35)"
1.05,"(16, 35)"
1.05,"(17, 35)"
1.05,"(18, 35)"
1.05,"(19, 35)"
1.05,"(20, 33)"
1.05,"(21, 33)"
1.05,"(22, 33)"
1.05,"(23, 33)"
1.05,"(24, 33)"
1.05,"(25, 35)"
1.05,"(26, 35)"
1.05,"(27, 35)"
1.05,"(28, 35)"
1.05,"(29, 35)"
1.05,"(30, 33)"
1.05,"(31, 33)"
1.05,"(32, 33)"
1.05,"(33, 33)"
1.05,"(34, 33)"
1.05,"(35, 33)"
1.05,"(35, 35)"
1.1,"(5, 29)"
1.1,"(5, 36)"
1.1,"(6, 29)"
1.1,"(6, 36)"
1.1,"(7, 29)"
1.1,"(7, 36)"
1.1,"(8, 29)"
1.1,"(8, 36)"
1.1,"(9, 29)"
1.1,"(9, 36)"
1.1,"(10, 29)"
1.1,"(10, 30)"
1.1,"(10, 31)"
1.1,"(10, 32)"
1.1,"(11, 29)"
1.1,"(11, 30)"
1.1,"(11, 31)"
1.1,"(11, 32)"
1.1,"(12, 29)"
1.1,"(12, 30)"
1.1,"(12, 31)"
1.1,"(12, 32)"
1.1,"(13, 29)"
1.1,"(13, 30)"
1.1,"(13, 31)"
1.1,"(13, 32)"
1.1,"(14, 29)"
1.1,"(14, 30)"
1.1,"(14, 31)"
1.1,"(14, 32)"
1.1,"(15, 29)"
1.1,"(15, 36)"
1.1,"(16, 29)"
1.1,"(16, 36)"
1.1,"(17, 29)"
1.1,"(17, 36)"
1.1,"(18, 29)"
1.1,"(18, 36)"
1.1,"(19, 29)"
1.1,"(19, 36)"
1.1,"(20, 29)"
1.1,"(20, 30)"
1.1,"(20, 31)"
1.1,"(20, 32)"
1.1,"(21, 29)"
1.1,"(21, 30)"
1.1,"(21, 31)"
1.1,"(21, 32)"
1.1,"(22, 29)"
1.1,"(22, 30)"
1.1,"(22, 31)"
1.1,"(22, 32)"
1.1,"(23, 29)"
1.1,"(23, 30)"
1.1,"(23, 31)"
1.1,"(23, 32)"
1.1,"(24, 29)"
1.1,"(24, 30)"
1.1,"(24, 31)"
1.1,"(24, 32)"
1.1,"(25, 29)"
1.1,"(25, 36)"
1.1,"(26, 29)"
1.1,"(26, 36)"
1.1,"(27, 29)"
1.1,"(27, 36)"
1.1,"(28, 29)"
1.1,"(28, 36)"
1.1,"(29, 29)"
1.1,"(29, 36)"
1.1,"(30, 29)"
1.1,"(30, 30)"
1.1,"(30, 31)"
1.1,"(30, 32)"
1.1,"(31, 29)"
1.1,"(31, 30)"
1.1,"(31, 31)"
1.1,"(31, 32)"
1.1,"(32, 29)"
1.1,"(32, 30)"
1.1,"(32, 31)"
1.1,"(32, 32)"
1.1,"(33, 29)"
1.1,"(33, 30)"
1.1,"(33, 31)"
1.1,"(33, 32)"
1.1,"(34, 29)"
1.1,"(34, 30)"
1.1,"(34, 31)"
1.1,"(34, 32)"
1.1,"(35, 29)"
1.1,"(35, 30)"
1.1,"(35, 31)"
1.1,"(35, 32)"
1.1,"(35, 36)"
1.14,"(5, 28)"
1.14,"(5, 37)"
1.14,"(6, 28)"
1.14,"(6, 37)"
1.14,"(7, 28)"
1.14,"(7, 37)"
1.14,"(8, 28)"
1.14,"(8, 37)"
1.14,"(9, 28)"
1.14,"(9, 37)"
1.14,"(15, 28)"
1.14,"(15, 37)"
1.14,"(16, 28)"
1.14,"(16, 37)"
1.14,"(17, 28)"
1.14,"(17, 37)"
1.14,"(18, 28)"
1.14,"(18, 37)"
1.14,"(19, 28)"
1.14,"(19, 37)"
1.14,"(25, 28)"
1.14,"(25, 37)"
1.14,"(26, 28)"
1.14,"(26, 37)"
1.14,"(27, 28)"
1.14,"(27, 37)"
1.14,"(28, 28)"
1.14,"(28, 37)"
1.14,"(29, 28)"
1.14,"(29, 37)"
1.14,"(35, 28)"
1.14,"(35, 37)"
1.19,"(5, 27)"
1.19,"(5, 38)"
1.19,"(6, 27)"
1.19,"(6, 38)"
1.19,"(7, 27)"
1.19,"(7, 38)"
1.19,"(8, 27)"
1.19,"(8, 38)"
1.19,"(9, 27)"
1.19,"(9, 38)"
1.19,"(15, 27)"
1.19,"(15, 38)"
1.19,"(16, 27)"
1.19,"(16, 38)"
1.19,"(17, 27)"
1.19,"(17, 38)"
1.19,"(18, 27)"
1.19,"(18, 38)"
1.19,"(19, 27)"
1.19,"(19, 38)"
1.19,"(25, 27)"
1.19,"(25, 38)"
1.19,"(26, 27)"
1.19,"(26, 38)"
1.19,"(27, 27)"
1.19,"(27, 38)"
1.19,"(28, 27)"
1.19,"(28, 38)"
1.19,"(29, 27)"
1.19,"(29, 38)"
1.19,"(35, 27)"
1.19,"(35, 38)"
1.24,"(5, 26)"
1.24,"(5, 39)"
1.24,"(6, 26)"
1.24,"(6, 39)"
1.24,"(7, 26)"
1.24,"(7, 39)"
1.24,"(8, 26)"
1.24,"(8, 39)"
1.24,"(9, 26)"
1.24,"(9, 39)"
1.24,"(10, 39)"
1.24,"(11, 39)"
1.24,"(12, 39)"
1.24,"(13, 39)"
1.24,"(14, 39)"
1.24,"(15, 26)"
1.24,"(15, 39)"
1.24,"(16, 26)"
1.24,"(16, 39)"
1.24,"(17, 26)"
1.24,"(17, 39)"
1.24,"(18, 26)"
1.24,"(18, 39)"
1.24,"(19, 26)"
1.24,"(19, 39)"
1.24,"(20, 39)"
1.24,"(21, 39)"
1.24,"(22, 39)"
1.24,"(23, 39)"
1.24,"(24, 39)"
1.24,"(25, 26)"
1.24,"(25, 39)"
1.24,"(26, 26)"
1.24,"(26, 39)"
1.24,"(27, 26)"
1.24,"(27, 39)"
1.24,"(28, 26)"
1.24,"(28, 39)"
1.24,"(29, 26)"
1.24,"(29, 39)"
1.24,"(30, 39)"
1.24,"(31, 39)"
1.24,"(32, 39)"
1.24,"(33, 39)"
1.24,"(34, 39)"
1.24,"(35, 26)"
1.24,"(35, 39)"
1.29,"(5, 25)"
1.29,"(6, 25)"
1.29,"(7, 25)"
1.29,"(8, 25)"
1.29,"(9, 25)"
1.29,"(15, 25)"
1.29,"(16, 25)"
1.29,"(17, 25)"
1.29,"(18, 25)"
1.29,"(19, 25)"
1.29,"(25, 25)"
1.29,"(26, 25)"
1.29,"(27, 25)"
1.29,"(28, 25)"
1.29,"(29, 25)"
1.29,"(35, 25)"
1.33,"(5, 24)"
1.33,"(6, 24)"
1.33,"(7, 24)"
1.33,"(8, 24)"
1.33,"(9, 24)"
1.33,"(10, 24)"
1.33,"(11, 24)"
1.33,"(12, 24)"
1.33,"(13, 24)"
1.33,"(14, 24)"
1.33,"(15, 24)"
1.33,"(16, 24)"
1.33,"(17, 24)"
1.33,"(18, 24)"
1.33,"(19, 24)"
1.33,"(20, 24)"
1.33,"(21, 24)"
1.33,"(22, 24)"
1.33,"(23, 24)"
1.33,"(24, 24)"
1.33,"(25, 24)"
1.33,"(26, 24)"
1.33,"(27, 24)"
1.33,"(28, 24)"
1.33,"(29, 24)"
1.33,"(30, 24)"
1.33,"(31, 24)"
1.33,"(32, 24)"
1.33,"(33, 24)"
1.33,"(34, 24)"
1.33,"(35, 24)"
1.38,"(10, 23)"
1.38,"(11, 23)"
1.38,"(12, 23)"
1.38,"(13, 23)"
1.38,"(14, 23)"
1.38,"(20, 23)"
1.38,"(21, 23)"
1.38,"(22, 23)"
1.38,"(23, 23)"
1.38,"(24, 23)"
1.38,"(30, 23)"
1.38,"(31, 23)"
1.38,"(32, 23)"
1.38,"(33, 23)"
1.38,"(34, 23)"
1.38,"(35, 23)"
1.43,"(10, 22)"
1.43,"(11, 22)"
1.43,"(12, 22)"
1.43,"(13, 22)"
1.43,"(14, 22)"
1.43,"(20, 22)"
1.43,"(21, 22)"
1.43,"(22, 22)"
1.43,"(23, 22)"
1.43,"(24, 22)"
1.43,"(30, 22)"
1.43,"(31, 22)"
1.43,"(32, 22)"
1.43,"(33, 22)"
1.43,"(34, 22)"
1.43,"(35, 22)"
1.48,"(10, 21)"
1.48,"(11, 21)"
1.48,"(12, 21)"
1.48,"(13, 21)"
1.48,"(14, 21)"
1.48,"(20, 21)"
1.48,"(21, 21)"
1.48,"(22, 21)"
1.48,"(23, 21)"
1.48,"(24, 21)"
1.48,"(30, 21)"
1.48,"(31, 21)"
1.48,"(32, 21)"
1.48,"(33, 21)"
1.48,"(34, 21)"
1.48,"(35, 21)"
1.52,"(10, 20)"
1.52,"(11, 20)"
1.52,"(12, 20)"
1.52,"(13, 20)"
1.52,"(14, 20)"
1.52,"(20, 20)"
1.52,"(21, 20)"
1.52,"(22, 20)"
1.52,"(23, 20)"
1.52,"(24, 20)"
1.52,"(30, 20)"
1.52,"(31, 20)"
1.52,"(32, 20)"
1.52,"(33, 20)"
1.52,"(34, 20)"
1.52,"(35, 20)"
1.57,"(5, 19)"
