warehouse_id,source_id,destination_id,time=0,time=1,time=2,time=3,time=4,time=5,time=6,time=7,time=8,time=9,time=10,time=11,time=12,time=13,time=14,time=15,time=16,time=17,time=18,time=19,time=20,time=21,time=22,time=23,time=24,time=25,time=26,time=27,time=28,time=29,time=30,time=31,time=32,time=33,time=34,time=35,time=36,time=37,time=38,time=39,time=40,time=41,time=42,time=43,time=44,time=45,time=46,time=47,time=48,time=49,time=50,time=51,time=52,time=53,time=54,time=55,time=56,time=57,time=58,time=59,time=60,time=61,time=62,time=63,time=64,time=65
3,32,34,"(39, 32)","(38, 32)","(38, 31)","(38, 30)","(38, 29)","(38, 28)","(38, 27)","(38, 26)","(38, 25)","(37, 25)","(36, 25)","(35, 25)","(35, 26)","(35, 27)","(35, 28)","(35, 29)","(34, 29)","(33, 29)","(32, 29)","(32, 30)","(32, 31)","(32, 32)","(32, 33)","(32, 34)","(31, 34)","(30, 34)","(29, 34)","(28, 34)","(27, 34)","(26, 34)","(25, 34)","(24, 34)","(23, 34)","(22, 34)","(22, 33)","(21, 33)","(20, 33)","(20, 34)","(19, 34)","(18, 34)","(17, 34)","(16, 34)","(15, 34)","(15, 35)","(15, 34)","(14, 34)","(13, 34)","(12, 34)","(11, 34)","(10, 34)","(9, 34)","(8, 34)","(7, 34)","(6, 34)","(5, 34)","(4, 34)","(3, 34)","(2, 34)","(1, 34)","(0, 34)",,,,,,
3,32,34,"(39, 32)","(38, 32)","(37, 32)","(37, 33)","(37, 34)","(37, 35)","(37, 36)","(37, 37)","(37, 38)","(37, 39)","(36, 39)","(35, 39)","(35, 38)","(35, 37)","(35, 36)","(35, 35)","(35, 34)","(35, 33)","(35, 32)","(35, 31)","(35, 30)","(35, 31)","(34, 31)","(34, 32)","(34, 33)","(34, 34)","(33, 34)","(32, 34)","(31, 34)","(30, 34)","(29, 34)","(28, 34)","(27, 34)","(26, 34)","(25, 34)","(24, 34)","(23, 34)","(22, 34)","(21, 34)","(20, 34)","(19, 34)","(18, 34)","(17, 34)","(16, 34)","(15, 34)","(14, 34)","(13, 34)","(12, 34)","(11, 34)","(10, 34)","(9, 34)","(8, 34)","(7, 34)","(6, 34)","(5, 34)","(4, 34)","(3, 34)","(2, 34)","(1, 34)","(0, 34)",,,,,,
3,32,34,"(39, 32)","(38, 32)","(37, 32)","(37, 31)","(37, 30)","(37, 29)","(37, 28)","(37, 27)","(37, 26)","(37, 25)","(36, 25)","(36, 24)","(36, 23)","(35, 23)","(35, 24)","(34, 24)","(33, 24)","(32, 24)","(31, 24)","(30, 24)","(29, 24)","(28, 24)","(28, 25)","(27, 25)","(27, 26)","(27, 27)","(27, 28)","(26, 28)","(25, 28)","(25, 29)","(24, 29)","(23, 29)","(22, 29)","(21, 29)","(20, 29)","(19, 29)","(18, 29)","(17, 29)","(16, 29)","(15, 29)","(14, 29)","(13, 29)","(13, 30)","(12, 30)","(12, 31)","(11, 31)","(10, 31)","(10, 32)","(10, 33)","(10, 34)","(9, 34)","(8, 34)","(7, 34)","(6, 34)","(5, 34)","(4, 34)","(3, 34)","(2, 34)","(1, 34)","(0, 34)",,,,,,
3,32,34,"(39, 32)","(38, 32)","(38, 33)","(38, 34)","(38, 35)","(38, 36)","(38, 37)","(38, 38)","(38, 39)","(37, 39)","(36, 39)","(36, 38)","(36, 37)","(36, 36)","(36, 35)","(36, 34)","(36, 33)","(35, 33)","(34, 33)","(34, 32)","(34, 31)","(34, 30)","(34, 31)","(33, 31)","(32, 31)","(31, 31)","(30, 31)","(30, 32)","(30, 33)","(30, 34)","(29, 34)","(28, 34)","(27, 34)","(26, 34)","(25, 34)","(24, 34)","(23, 34)","(22, 34)","(21, 34)","(20, 34)","(19, 34)","(18, 34)","(17, 34)","(16, 34)","(15, 34)","(14, 34)","(13, 34)","(12, 34)","(11, 34)","(10, 34)","(9, 34)","(8, 34)","(7, 34)","(6, 34)","(5, 34)","(4, 34)","(3, 34)","(2, 34)","(1, 34)","(0, 34)",,,,,,
3,32,34,"(39, 32)","(38, 32)","(38, 33)","(38, 34)","(37, 34)","(37, 33)","(37, 32)","(37, 31)","(37, 30)","(37, 29)","(37, 28)","(36, 28)","(35, 28)","(35, 29)","(35, 30)","(35, 31)","(34, 31)","(33, 31)","(32, 31)","(31, 31)","(31, 30)","(31, 29)","(30, 29)","(29, 29)","(28, 29)","(28, 28)","(27, 28)","(27, 29)","(26, 29)","(25, 29)","(24, 29)","(23, 29)","(23, 30)","(22, 30)","(22, 31)","(22, 32)","(22, 33)","(22, 34)","(21, 34)","(20, 34)","(19, 34)","(18, 34)","(17, 34)","(16, 34)","(15, 34)","(14, 34)","(13, 34)","(12, 34)","(11, 34)","(10, 34)","(9, 34)","(8, 34)","(7, 34)","(6, 34)","(5, 34)","(4, 34)","(3, 34)","(2, 34)","(1, 34)","(0, 34)",,,,,,
3,32,34,"(39, 32)","(38, 32)","(38, 33)","(37, 33)","(36, 33)","(35, 33)","(35, 32)","(35, 31)","(35, 30)","(35, 29)","(35, 28)","(35, 27)","(35, 26)","(35, 25)","(35, 24)","(34, 24)","(33, 24)","(32, 24)","(31, 24)","(30, 24)","(29, 24)","(29, 25)","(28, 25)","(27, 25)","(27, 26)","(26, 26)","(26, 27)","(25, 27)","(25, 28)","(25, 29)","(24, 29)","(23, 29)","(23, 30)","(22, 30)","(21, 30)","(20, 30)","(20, 31)","(20, 32)","(20, 33)","(20, 34)","(19, 34)","(18, 34)","(17, 34)","(16, 34)","(15, 34)","(14, 34)","(13, 34)","(12, 34)","(11, 34)","(10, 34)","(9, 34)","(8, 34)","(7, 34)","(6, 34)","(5, 34)","(4, 34)","(3, 34)","(2, 34)","(1, 34)","(0, 34)",,,,,,
3,32,34,"(39, 32)","(38, 32)","(38, 33)","(38, 34)","(38, 35)","(38, 36)","(38, 37)","(38, 38)","(38, 39)","(37, 39)","(36, 39)","(35, 39)","(35, 38)","(35, 37)","(35, 36)","(35, 35)","(35, 34)","(35, 33)","(35, 32)","(35, 31)","(34, 31)","(34, 32)","(34, 33)","(33, 33)","(32, 33)","(31, 33)","(30, 33)","(30, 32)","(30, 33)","(30, 34)","(29, 34)","(28, 34)","(27, 34)","(26, 34)","(25, 34)","(24, 34)","(23, 34)","(22, 34)","(21, 34)","(20, 34)","(19, 34)","(18, 34)","(17, 34)","(16, 34)","(15, 34)","(14, 34)","(13, 34)","(12, 34)","(11, 34)","(10, 34)","(9, 34)","(8, 34)","(7, 34)","(6, 34)","(5, 34)","(4, 34)","(3, 34)","(2, 34)","(1, 34)","(0, 34)",,,,,,
3,32,34,"(39, 32)","(38, 32)","(37, 32)","(36, 32)","(36, 31)","(35, 31)","(34, 31)","(33, 31)","(32, 31)","(31, 31)","(30, 31)","(30, 30)","(30, 29)","(29, 29)","(28, 29)","(27, 29)","(26, 29)","(25, 29)","(24, 29)","(24, 30)","(24, 31)","(23, 31)","(22, 31)","(21, 31)","(20, 31)","(20, 30)","(20, 29)","(19, 29)","(19, 28)","(19, 27)","(18, 27)","(18, 28)","(18, 29)","(17, 29)","(16, 29)","(15, 29)","(15, 28)","(15, 27)","(15, 28)","(15, 29)","(14, 29)","(14, 30)","(13, 30)","(13, 31)","(13, 32)","(13, 33)","(12, 33)","(12, 34)","(11, 34)","(10, 34)","(9, 34)","(8, 34)","(7, 34)","(6, 34)","(5, 34)","(4, 34)","(3, 34)","(2, 34)","(1, 34)","(0, 34)",,,,,,
3,32,34,"(39, 32)","(38, 32)","(38, 31)","(38, 30)","(38, 29)","(38, 28)","(37, 28)","(36, 28)","(35, 28)","(35, 27)","(35, 26)","(35, 25)","(35, 24)","(34, 24)","(34, 23)","(33, 23)","(32, 23)","(32, 24)","(31, 24)","(30, 24)","(29, 24)","(29, 25)","(28, 25)","(28, 26)","(28, 27)","(27, 27)","(27, 28)","(26, 28)","(26, 29)","(25, 29)","(24, 29)","(24, 30)","(24, 31)","(24, 32)","(24, 33)","(23, 33)","(23, 34)","(22, 34)","(21, 34)","(20, 34)","(19, 34)","(18, 34)","(17, 34)","(16, 34)","(15, 34)","(14, 34)","(13, 34)","(12, 34)","(11, 34)","(10, 34)","(9, 34)","(8, 34)","(7, 34)","(6, 34)","(5, 34)","(4, 34)","(3, 34)","(2, 34)","(1, 34)","(0, 34)",,,,,,
3,32,34,"(39, 32)","(38, 32)","(38, 31)","(38, 30)","(38, 29)","(37, 29)","(36, 29)","(35, 29)","(34, 29)","(33, 29)","(32, 29)","(32, 30)","(32, 31)","(32, 32)","(32, 33)","(32, 34)","(31, 34)","(31, 33)","(31, 32)","(30, 32)","(30, 33)","(30, 34)","(29, 34)","(28, 34)","(27, 34)","(27, 35)","(27, 36)","(27, 37)","(27, 38)","(26, 38)","(26, 37)","(25, 37)","(25, 36)","(25, 35)","(25, 34)","(24, 34)","(23, 34)","(22, 34)","(21, 34)","(20, 34)","(19, 34)","(18, 34)","(17, 34)","(16, 34)","(15, 34)","(14, 34)","(13, 34)","(12, 34)","(11, 34)","(10, 34)","(9, 34)","(8, 34)","(7, 34)","(6, 34)","(5, 34)","(4, 34)","(3, 34)","(2, 34)","(1, 34)","(0, 34)",,,,,,
