warehouse_id,source_id,destination_id,time=0,time=1,time=2,time=3,time=4,time=5,time=6,time=7,time=8,time=9,time=10,time=11,time=12,time=13,time=14,time=15,time=16,time=17,time=18,time=19,time=20,time=21,time=22,time=23,time=24,time=25,time=26,time=27,time=28,time=29,time=30,time=31,time=32,time=33,time=34,time=35,time=36,time=37,time=38,time=39,time=40,time=41,time=42,time=43,time=44,time=45,time=46,time=47,time=48,time=49,time=50,time=51,time=52,time=53,time=54,time=55,time=56,time=57,time=58,time=59,time=60,time=61,time=62,time=63,time=64,time=65,time=66,time=67,time=68,time=69,time=70,time=71,time=72,time=73,time=74,time=75,time=76
3,21,12,"(39, 21)","(38, 21)","(38, 20)","(37, 20)","(37, 19)","(37, 18)","(36, 18)","(35, 18)","(35, 17)","(35, 16)","(35, 15)","(35, 14)","(34, 14)","(34, 13)","(33, 13)","(32, 13)","(31, 13)","(30, 13)","(30, 12)","(30, 11)","(30, 10)","(30, 9)","(29, 9)","(29, 8)","(29, 7)","(29, 6)","(29, 5)","(28, 5)","(27, 5)","(26, 5)","(26, 4)","(25, 4)","(24, 4)","(23, 4)","(22, 4)","(21, 4)","(20, 4)","(20, 3)","(20, 2)","(20, 1)","(20, 2)","(20, 3)","(20, 4)","(19, 4)","(18, 4)","(17, 4)","(17, 5)","(16, 5)","(15, 5)","(15, 6)","(15, 7)","(15, 8)","(15, 9)","(14, 9)","(13, 9)","(12, 9)","(11, 9)","(10, 9)","(9, 9)","(8, 9)","(7, 9)","(6, 9)","(5, 9)","(4, 9)","(4, 10)","(3, 10)","(2, 10)","(2, 11)","(2, 12)","(1, 12)","(0, 12)",,,,,,
3,21,12,"(39, 21)","(38, 21)","(38, 20)","(37, 20)","(37, 21)","(36, 21)","(35, 21)","(34, 21)","(34, 22)","(34, 23)","(34, 24)","(33, 24)","(32, 24)","(31, 24)","(30, 24)","(29, 24)","(28, 24)","(27, 24)","(26, 24)","(25, 24)","(25, 25)","(25, 26)","(25, 27)","(25, 28)","(25, 29)","(24, 29)","(23, 29)","(22, 29)","(21, 29)","(20, 29)","(20, 30)","(20, 31)","(20, 30)","(20, 29)","(19, 29)","(18, 29)","(18, 28)","(18, 27)","(18, 26)","(18, 25)","(17, 25)","(17, 24)","(16, 24)","(15, 24)","(14, 24)","(14, 23)","(13, 23)","(12, 23)","(12, 22)","(11, 22)","(10, 22)","(10, 21)","(10, 20)","(10, 19)","(9, 19)","(8, 19)","(8, 18)","(8, 17)","(7, 17)","(7, 16)","(7, 15)","(7, 14)","(6, 14)","(5, 14)","(4, 14)","(4, 13)","(4, 12)","(3, 12)","(2, 12)","(1, 12)","(0, 12)",,,,,,
3,21,12,"(39, 21)","(38, 21)","(37, 21)","(37, 20)","(36, 20)","(36, 19)","(36, 18)","(35, 18)","(35, 19)","(35, 20)","(35, 21)","(35, 22)","(35, 23)","(35, 24)","(35, 25)","(35, 26)","(35, 27)","(35, 28)","(35, 29)","(35, 28)","(35, 27)","(35, 26)","(35, 25)","(35, 24)","(34, 24)","(34, 23)","(33, 23)","(33, 22)","(33, 21)","(32, 21)","(31, 21)","(31, 20)","(31, 19)","(30, 19)","(29, 19)","(28, 19)","(27, 19)","(27, 18)","(27, 17)","(27, 16)","(27, 15)","(27, 14)","(26, 14)","(25, 14)","(24, 14)","(23, 14)","(22, 14)","(21, 14)","(20, 14)","(19, 14)","(18, 14)","(17, 14)","(16, 14)","(15, 14)","(14, 14)","(13, 14)","(12, 14)","(11, 14)","(10, 14)","(9, 14)","(8, 14)","(7, 14)","(6, 14)","(5, 14)","(4, 14)","(3, 14)","(2, 14)","(1, 14)","(1, 13)","(1, 12)","(0, 12)",,,,,,
3,21,12,"(39, 21)","(38, 21)","(37, 21)","(37, 22)","(36, 22)","(35, 22)","(35, 23)","(35, 24)","(35, 25)","(35, 26)","(35, 27)","(35, 28)","(35, 29)","(34, 29)","(33, 29)","(33, 30)","(33, 31)","(33, 32)","(32, 32)","(31, 32)","(30, 32)","(30, 31)","(30, 30)","(30, 29)","(29, 29)","(28, 29)","(27, 29)","(27, 28)","(26, 28)","(25, 28)","(25, 27)","(25, 26)","(25, 25)","(25, 24)","(24, 24)","(23, 24)","(22, 24)","(22, 23)","(21, 23)","(21, 22)","(20, 22)","(20, 21)","(20, 20)","(20, 19)","(19, 19)","(19, 18)","(18, 18)","(17, 18)","(16, 18)","(16, 17)","(15, 17)","(15, 16)","(15, 15)","(15, 14)","(14, 14)","(13, 14)","(12, 14)","(11, 14)","(10, 14)","(9, 14)","(8, 14)","(7, 14)","(6, 14)","(5, 14)","(4, 14)","(4, 13)","(4, 12)","(3, 12)","(2, 12)","(1, 12)","(0, 12)",,,,,,
3,21,12,"(39, 21)","(38, 21)","(38, 20)","(38, 19)","(38, 18)","(38, 17)","(38, 16)","(37, 16)","(37, 15)","(37, 14)","(37, 13)","(37, 12)","(37, 11)","(37, 10)","(36, 10)","(35, 10)","(34, 10)","(33, 10)","(33, 9)","(32, 9)","(31, 9)","(30, 9)","(29, 9)","(28, 9)","(27, 9)","(27, 8)","(26, 8)","(25, 8)","(25, 9)","(24, 9)","(23, 9)","(22, 9)","(21, 9)","(20, 9)","(19, 9)","(18, 9)","(17, 9)","(16, 9)","(15, 9)","(14, 9)","(13, 9)","(13, 10)","(13, 11)","(13, 12)","(12, 12)","(11, 12)","(11, 11)","(11, 10)","(11, 9)","(10, 9)","(9, 9)","(8, 9)","(8, 8)","(8, 7)","(8, 6)","(8, 5)","(7, 5)","(6, 5)","(5, 5)","(5, 6)","(5, 7)","(4, 7)","(4, 8)","(4, 9)","(3, 9)","(3, 10)","(3, 11)","(3, 12)","(2, 12)","(1, 12)","(0, 12)",,,,,,
3,21,12,"(39, 21)","(38, 21)","(38, 20)","(37, 20)","(37, 19)","(37, 18)","(36, 18)","(36, 19)","(36, 20)","(36, 21)","(36, 22)","(36, 23)","(36, 24)","(36, 25)","(36, 26)","(36, 27)","(36, 28)","(36, 29)","(35, 29)","(34, 29)","(33, 29)","(32, 29)","(31, 29)","(30, 29)","(29, 29)","(29, 28)","(28, 28)","(27, 28)","(27, 27)","(27, 26)","(27, 25)","(26, 25)","(26, 24)","(25, 24)","(24, 24)","(24, 23)","(23, 23)","(23, 22)","(23, 21)","(23, 20)","(23, 19)","(22, 19)","(21, 19)","(20, 19)","(19, 19)","(18, 19)","(17, 19)","(17, 18)","(17, 17)","(17, 16)","(17, 15)","(17, 14)","(16, 14)","(15, 14)","(14, 14)","(13, 14)","(12, 14)","(11, 14)","(10, 14)","(9, 14)","(8, 14)","(7, 14)","(6, 14)","(5, 14)","(4, 14)","(4, 13)","(3, 13)","(2, 13)","(2, 12)","(1, 12)","(0, 12)",,,,,,
3,21,12,"(39, 21)","(38, 21)","(37, 21)","(37, 22)","(37, 23)","(37, 24)","(37, 25)","(36, 25)","(35, 25)","(35, 26)","(35, 27)","(35, 28)","(35, 29)","(35, 30)","(35, 31)","(35, 32)","(34, 32)","(34, 31)","(33, 31)","(33, 30)","(33, 29)","(32, 29)","(31, 29)","(30, 29)","(29, 29)","(29, 28)","(28, 28)","(27, 28)","(26, 28)","(25, 28)","(25, 27)","(25, 26)","(25, 25)","(25, 24)","(24, 24)","(23, 24)","(22, 24)","(21, 24)","(21, 23)","(21, 22)","(21, 21)","(21, 20)","(20, 20)","(20, 19)","(19, 19)","(18, 19)","(18, 18)","(17, 18)","(16, 18)","(15, 18)","(15, 17)","(15, 16)","(15, 15)","(15, 14)","(14, 14)","(13, 14)","(12, 14)","(11, 14)","(10, 14)","(9, 14)","(8, 14)","(7, 14)","(6, 14)","(5, 14)","(4, 14)","(4, 13)","(3, 13)","(3, 12)","(2, 12)","(1, 12)","(0, 12)",,,,,,
3,21,12,"(39, 21)","(38, 21)","(37, 21)","(36, 21)","(36, 22)","(35, 22)","(34, 22)","(34, 23)","(34, 24)","(33, 24)","(32, 24)","(31, 24)","(30, 24)","(29, 24)","(29, 25)","(29, 26)","(28, 26)","(27, 26)","(26, 26)","(25, 26)","(25, 25)","(25, 24)","(24, 24)","(24, 23)","(24, 22)","(24, 21)","(23, 21)","(22, 21)","(22, 22)","(21, 22)","(20, 22)","(20, 21)","(20, 20)","(20, 19)","(19, 19)","(19, 18)","(19, 17)","(18, 17)","(17, 17)","(17, 18)","(17, 19)","(16, 19)","(15, 19)","(14, 19)","(13, 19)","(12, 19)","(11, 19)","(10, 19)","(9, 19)","(8, 19)","(8, 18)","(8, 17)","(8, 16)","(7, 16)","(7, 17)","(7, 18)","(7, 19)","(7, 18)","(6, 18)","(5, 18)","(4, 18)","(3, 18)","(2, 18)","(1, 18)","(1, 17)","(1, 16)","(1, 15)","(1, 14)","(1, 13)","(1, 12)","(0, 12)",,,,,,
3,21,12,"(39, 21)","(38, 21)","(38, 22)","(38, 23)","(38, 24)","(38, 25)","(38, 26)","(38, 27)","(37, 27)","(36, 27)","(35, 27)","(35, 26)","(35, 25)","(35, 24)","(35, 23)","(35, 22)","(35, 21)","(35, 20)","(35, 19)","(34, 19)","(33, 19)","(32, 19)","(32, 20)","(32, 21)","(32, 22)","(32, 23)","(32, 24)","(32, 23)","(31, 23)","(30, 23)","(30, 22)","(30, 21)","(30, 20)","(30, 19)","(29, 19)","(29, 18)","(29, 17)","(29, 16)","(29, 15)","(29, 14)","(28, 14)","(27, 14)","(26, 14)","(25, 14)","(24, 14)","(23, 14)","(22, 14)","(21, 14)","(20, 14)","(19, 14)","(18, 14)","(17, 14)","(16, 14)","(15, 14)","(14, 14)","(13, 14)","(12, 14)","(11, 14)","(10, 14)","(9, 14)","(8, 14)","(7, 14)","(6, 14)","(5, 14)","(4, 14)","(3, 14)","(2, 14)","(2, 13)","(1, 13)","(1, 12)","(0, 12)",,,,,,
3,21,12,"(39, 21)","(38, 21)","(37, 21)","(37, 20)","(37, 19)","(37, 18)","(37, 17)","(37, 16)","(37, 15)","(36, 15)","(36, 16)","(36, 17)","(36, 18)","(36, 19)","(36, 20)","(36, 21)","(35, 21)","(34, 21)","(33, 21)","(32, 21)","(32, 22)","(32, 23)","(32, 24)","(31, 24)","(30, 24)","(29, 24)","(28, 24)","(28, 25)","(28, 26)","(27, 26)","(27, 25)","(27, 24)","(26, 24)","(25, 24)","(24, 24)","(23, 24)","(23, 23)","(23, 22)","(22, 22)","(22, 21)","(22, 20)","(21, 20)","(21, 19)","(20, 19)","(19, 19)","(19, 18)","(18, 18)","(18, 17)","(17, 17)","(16, 17)","(16, 16)","(15, 16)","(15, 15)","(15, 14)","(14, 14)","(13, 14)","(12, 14)","(11, 14)","(10, 14)","(9, 14)","(8, 14)","(7, 14)","(6, 14)","(5, 14)","(4, 14)","(4, 13)","(4, 12)","(3, 12)","(2, 12)","(1, 12)","(0, 12)",,,,,,
