warehouse_id,source_id,destination_id,time=0,time=1,time=2,time=3,time=4,time=5,time=6,time=7,time=8,time=9,time=10,time=11,time=12,time=13,time=14,time=15,time=16,time=17,time=18,time=19,time=20,time=21,time=22,time=23,time=24,time=25,time=26,time=27,time=28,time=29,time=30,time=31,time=32,time=33,time=34,time=35,time=36,time=37,time=38,time=39,time=40,time=41,time=42,time=43,time=44,time=45,time=46,time=47,time=48,time=49,time=50,time=51,time=52,time=53,time=54,time=55,time=56,time=57,time=58,time=59,time=60,time=61,time=62,time=63,time=64,time=65,time=66,time=67,time=68,time=69,time=70,time=71,time=72,time=73,time=74,time=75,time=76,time=77,time=78,time=79,time=80,time=81,time=82,time=83,time=84,time=85,time=86,time=87,time=88,time=89,time=90,time=91,time=92
3,19,0,"(39, 19)","(38, 19)","(38, 18)","(37, 18)","(37, 19)","(37, 20)","(37, 21)","(36, 21)","(35, 21)","(34, 21)","(34, 22)","(34, 23)","(34, 24)","(33, 24)","(32, 24)","(31, 24)","(30, 24)","(30, 23)","(30, 22)","(30, 21)","(30, 20)","(30, 19)","(29, 19)","(28, 19)","(27, 19)","(26, 19)","(25, 19)","(25, 18)","(25, 17)","(25, 16)","(25, 15)","(25, 14)","(24, 14)","(23, 14)","(22, 14)","(22, 13)","(22, 12)","(22, 11)","(22, 10)","(21, 10)","(20, 10)","(20, 11)","(20, 12)","(20, 13)","(20, 14)","(19, 14)","(18, 14)","(17, 14)","(16, 14)","(15, 14)","(14, 14)","(13, 14)","(13, 13)","(13, 12)","(13, 11)","(13, 10)","(13, 9)","(12, 9)","(11, 9)","(10, 9)","(10, 10)","(10, 11)","(10, 12)","(10, 13)","(10, 12)","(10, 11)","(10, 10)","(10, 9)","(9, 9)","(9, 8)","(8, 8)","(7, 8)","(6, 8)","(6, 7)","(6, 6)","(6, 5)","(5, 5)","(5, 4)","(4, 4)","(4, 3)","(3, 3)","(3, 2)","(2, 2)","(2, 1)","(2, 0)","(1, 0)","(0, 0)",,,,,,
3,19,0,"(39, 19)","(38, 19)","(38, 20)","(38, 21)","(38, 22)","(38, 23)","(38, 24)","(37, 24)","(36, 24)","(36, 23)","(36, 22)","(36, 21)","(36, 20)","(36, 19)","(36, 18)","(36, 17)","(36, 16)","(36, 15)","(36, 14)","(35, 14)","(34, 14)","(33, 14)","(32, 14)","(31, 14)","(31, 13)","(31, 12)","(31, 11)","(31, 10)","(31, 9)","(30, 9)","(29, 9)","(29, 8)","(29, 7)","(29, 6)","(29, 5)","(29, 4)","(28, 4)","(27, 4)","(27, 5)","(27, 6)","(27, 7)","(27, 8)","(27, 9)","(26, 9)","(26, 8)","(26, 7)","(25, 7)","(25, 8)","(25, 9)","(24, 9)","(23, 9)","(22, 9)","(21, 9)","(20, 9)","(19, 9)","(18, 9)","(18, 8)","(18, 7)","(18, 6)","(17, 6)","(16, 6)","(16, 5)","(15, 5)","(15, 6)","(15, 7)","(15, 6)","(15, 5)","(15, 4)","(14, 4)","(13, 4)","(12, 4)","(11, 4)","(10, 4)","(9, 4)","(8, 4)","(7, 4)","(6, 4)","(5, 4)","(4, 4)","(4, 3)","(3, 3)","(3, 2)","(2, 2)","(2, 1)","(2, 0)","(1, 0)","(0, 0)",,,,,,
3,19,0,"(39, 19)","(38, 19)","(38, 18)","(37, 18)","(37, 19)","(37, 20)","(37, 21)","(37, 22)","(37, 23)","(37, 24)","(37, 25)","(36, 25)","(35, 25)","(35, 24)","(35, 23)","(35, 22)","(35, 21)","(35, 20)","(35, 19)","(34, 19)","(33, 19)","(32, 19)","(31, 19)","(31, 20)","(31, 21)","(31, 22)","(30, 22)","(30, 21)","(30, 20)","(30, 19)","(29, 19)","(28, 19)","(27, 19)","(27, 18)","(26, 18)","(25, 18)","(25, 17)","(25, 16)","(25, 15)","(25, 14)","(24, 14)","(24, 13)","(24, 12)","(24, 11)","(24, 10)","(24, 9)","(23, 9)","(22, 9)","(21, 9)","(20, 9)","(19, 9)","(18, 9)","(17, 9)","(16, 9)","(16, 8)","(16, 7)","(16, 6)","(16, 5)","(16, 4)","(15, 4)","(15, 5)","(15, 6)","(15, 7)","(15, 8)","(15, 7)","(15, 6)","(15, 5)","(15, 4)","(14, 4)","(13, 4)","(12, 4)","(11, 4)","(10, 4)","(9, 4)","(8, 4)","(7, 4)","(6, 4)","(5, 4)","(4, 4)","(4, 3)","(4, 2)","(3, 2)","(3, 1)","(3, 0)","(2, 0)","(1, 0)","(0, 0)",,,,,,
3,19,0,"(39, 19)","(38, 19)","(38, 20)","(38, 21)","(38, 22)","(38, 23)","(38, 24)","(38, 25)","(37, 25)","(36, 25)","(35, 25)","(35, 24)","(35, 23)","(35, 22)","(34, 22)","(33, 22)","(32, 22)","(32, 21)","(31, 21)","(30, 21)","(30, 20)","(30, 19)","(29, 19)","(28, 19)","(27, 19)","(27, 18)","(26, 18)","(25, 18)","(25, 19)","(24, 19)","(24, 20)","(24, 21)","(24, 22)","(24, 23)","(24, 24)","(23, 24)","(22, 24)","(21, 24)","(21, 23)","(21, 22)","(21, 21)","(21, 20)","(21, 19)","(20, 19)","(19, 19)","(18, 19)","(17, 19)","(17, 18)","(16, 18)","(15, 18)","(15, 19)","(14, 19)","(13, 19)","(12, 19)","(12, 20)","(12, 19)","(11, 19)","(10, 19)","(9, 19)","(8, 19)","(7, 19)","(7, 18)","(7, 17)","(7, 16)","(7, 15)","(7, 14)","(6, 14)","(5, 14)","(4, 14)","(4, 13)","(4, 12)","(3, 12)","(2, 12)","(1, 12)","(1, 11)","(1, 10)","(1, 9)","(1, 8)","(1, 7)","(1, 6)","(1, 5)","(1, 4)","(1, 3)","(1, 2)","(1, 1)","(1, 0)","(0, 0)",,,,,,
3,19,0,"(39, 19)","(38, 19)","(38, 20)","(38, 21)","(38, 22)","(38, 23)","(38, 24)","(38, 25)","(38, 26)","(38, 27)","(38, 28)","(38, 29)","(38, 30)","(37, 30)","(36, 30)","(36, 31)","(35, 31)","(34, 31)","(33, 31)","(33, 30)","(32, 30)","(31, 30)","(31, 29)","(30, 29)","(29, 29)","(28, 29)","(28, 28)","(28, 27)","(28, 26)","(28, 25)","(28, 24)","(27, 24)","(26, 24)","(25, 24)","(24, 24)","(23, 24)","(22, 24)","(21, 24)","(20, 24)","(20, 23)","(20, 22)","(20, 21)","(20, 20)","(20, 19)","(19, 19)","(19, 18)","(19, 17)","(19, 16)","(19, 15)","(18, 15)","(17, 15)","(16, 15)","(16, 16)","(16, 17)","(16, 16)","(15, 16)","(15, 15)","(15, 14)","(14, 14)","(14, 13)","(13, 13)","(13, 12)","(13, 11)","(12, 11)","(12, 10)","(11, 10)","(10, 10)","(10, 9)","(9, 9)","(9, 8)","(9, 7)","(8, 7)","(8, 6)","(7, 6)","(6, 6)","(6, 5)","(6, 4)","(5, 4)","(4, 4)","(3, 4)","(2, 4)","(1, 4)","(1, 3)","(1, 2)","(1, 1)","(1, 0)","(0, 0)",,,,,,
3,19,0,"(39, 19)","(38, 19)","(38, 18)","(38, 17)","(37, 17)","(36, 17)","(36, 16)","(36, 15)","(35, 15)","(35, 16)","(35, 17)","(35, 18)","(35, 19)","(35, 20)","(35, 21)","(35, 22)","(34, 22)","(33, 22)","(32, 22)","(31, 22)","(31, 23)","(30, 23)","(30, 24)","(29, 24)","(28, 24)","(27, 24)","(26, 24)","(25, 24)","(25, 25)","(25, 26)","(25, 27)","(25, 28)","(25, 29)","(25, 28)","(25, 27)","(25, 26)","(25, 25)","(25, 24)","(24, 24)","(24, 23)","(24, 22)","(24, 21)","(24, 20)","(24, 19)","(23, 19)","(22, 19)","(21, 19)","(20, 19)","(19, 19)","(18, 19)","(17, 19)","(16, 19)","(16, 18)","(15, 18)","(15, 17)","(15, 16)","(15, 15)","(15, 14)","(14, 14)","(13, 14)","(13, 13)","(12, 13)","(11, 13)","(10, 13)","(10, 12)","(10, 11)","(10, 10)","(10, 9)","(9, 9)","(8, 9)","(7, 9)","(6, 9)","(5, 9)","(4, 9)","(4, 8)","(4, 7)","(3, 7)","(3, 6)","(2, 6)","(1, 6)","(1, 5)","(1, 4)","(1, 3)","(1, 2)","(1, 1)","(1, 0)","(0, 0)",,,,,,
3,19,0,"(39, 19)","(38, 19)","(38, 18)","(37, 18)","(37, 17)","(37, 16)","(37, 15)","(37, 14)","(36, 14)","(35, 14)","(35, 13)","(35, 12)","(34, 12)","(34, 13)","(34, 14)","(33, 14)","(33, 13)","(33, 12)","(33, 11)","(33, 10)","(33, 9)","(32, 9)","(31, 9)","(30, 9)","(30, 10)","(30, 11)","(30, 12)","(30, 13)","(30, 14)","(29, 14)","(28, 14)","(27, 14)","(26, 14)","(25, 14)","(24, 14)","(23, 14)","(22, 14)","(21, 14)","(20, 14)","(20, 13)","(20, 12)","(20, 11)","(20, 10)","(20, 9)","(19, 9)","(18, 9)","(17, 9)","(16, 9)","(15, 9)","(14, 9)","(13, 9)","(12, 9)","(11, 9)","(11, 10)","(11, 11)","(11, 12)","(11, 13)","(11, 14)","(10, 14)","(9, 14)","(8, 14)","(7, 14)","(7, 15)","(7, 16)","(7, 15)","(7, 14)","(6, 14)","(5, 14)","(4, 14)","(3, 14)","(2, 14)","(2, 13)","(2, 12)","(1, 12)","(1, 11)","(1, 10)","(1, 9)","(1, 8)","(1, 7)","(1, 6)","(1, 5)","(1, 4)","(1, 3)","(1, 2)","(1, 1)","(1, 0)","(0, 0)",,,,,,
3,19,0,"(39, 19)","(38, 19)","(38, 18)","(38, 17)","(37, 17)","(37, 16)","(37, 15)","(37, 14)","(36, 14)","(35, 14)","(35, 13)","(34, 13)","(34, 14)","(33, 14)","(32, 14)","(31, 14)","(30, 14)","(29, 14)","(28, 14)","(27, 14)","(26, 14)","(25, 14)","(25, 15)","(25, 16)","(25, 17)","(25, 18)","(25, 19)","(24, 19)","(23, 19)","(22, 19)","(21, 19)","(20, 19)","(19, 19)","(18, 19)","(18, 18)","(18, 17)","(18, 16)","(18, 15)","(18, 14)","(17, 14)","(16, 14)","(15, 14)","(14, 14)","(13, 14)","(12, 14)","(12, 13)","(12, 12)","(12, 11)","(11, 11)","(11, 10)","(11, 9)","(10, 9)","(9, 9)","(8, 9)","(7, 9)","(6, 9)","(5, 9)","(4, 9)","(4, 10)","(4, 11)","(4, 12)","(4, 13)","(4, 14)","(4, 15)","(4, 16)","(4, 17)","(3, 17)","(3, 16)","(3, 15)","(2, 15)","(2, 14)","(2, 13)","(2, 12)","(2, 11)","(1, 11)","(1, 10)","(1, 9)","(1, 8)","(1, 7)","(1, 6)","(1, 5)","(1, 4)","(1, 3)","(1, 2)","(1, 1)","(1, 0)","(0, 0)",,,,,,
3,19,0,"(39, 19)","(38, 19)","(38, 18)","(37, 18)","(37, 17)","(37, 16)","(37, 15)","(36, 15)","(36, 16)","(35, 16)","(35, 17)","(35, 18)","(35, 19)","(35, 20)","(34, 20)","(33, 20)","(32, 20)","(32, 19)","(31, 19)","(30, 19)","(30, 20)","(30, 21)","(30, 22)","(30, 23)","(30, 24)","(29, 24)","(29, 25)","(29, 26)","(28, 26)","(27, 26)","(27, 25)","(27, 24)","(26, 24)","(25, 24)","(24, 24)","(23, 24)","(22, 24)","(22, 23)","(22, 22)","(21, 22)","(20, 22)","(20, 23)","(20, 24)","(19, 24)","(18, 24)","(17, 24)","(16, 24)","(15, 24)","(14, 24)","(14, 23)","(14, 22)","(14, 21)","(14, 20)","(13, 20)","(13, 19)","(12, 19)","(11, 19)","(10, 19)","(9, 19)","(8, 19)","(8, 18)","(8, 17)","(8, 16)","(7, 16)","(7, 15)","(6, 15)","(5, 15)","(5, 14)","(4, 14)","(3, 14)","(3, 13)","(3, 12)","(2, 12)","(2, 11)","(2, 10)","(1, 10)","(1, 9)","(1, 8)","(1, 7)","(1, 6)","(1, 5)","(1, 4)","(1, 3)","(1, 2)","(1, 1)","(1, 0)","(0, 0)",,,,,,
3,19,0,"(39, 19)","(38, 19)","(37, 19)","(36, 19)","(35, 19)","(34, 19)","(33, 19)","(32, 19)","(32, 20)","(32, 21)","(32, 22)","(31, 22)","(30, 22)","(30, 23)","(30, 24)","(29, 24)","(28, 24)","(27, 24)","(26, 24)","(25, 24)","(24, 24)","(23, 24)","(22, 24)","(21, 24)","(20, 24)","(19, 24)","(18, 24)","(17, 24)","(17, 25)","(17, 26)","(17, 27)","(17, 28)","(16, 28)","(15, 28)","(15, 29)","(14, 29)","(13, 29)","(12, 29)","(11, 29)","(11, 30)","(11, 31)","(11, 32)","(11, 33)","(10, 33)","(10, 32)","(10, 31)","(10, 30)","(10, 29)","(9, 29)","(8, 29)","(7, 29)","(7, 28)","(7, 27)","(7, 26)","(6, 26)","(5, 26)","(5, 25)","(4, 25)","(4, 24)","(4, 23)","(4, 22)","(3, 22)","(2, 22)","(1, 22)","(1, 21)","(1, 20)","(1, 19)","(1, 18)","(1, 17)","(1, 16)","(1, 15)","(1, 14)","(1, 13)","(1, 12)","(1, 11)","(1, 10)","(1, 9)","(1, 8)","(1, 7)","(1, 6)","(1, 5)","(1, 4)","(1, 3)","(1, 2)","(1, 1)","(1, 0)","(0, 0)",,,,,,
