warehouse_id,source_id,destination_id,time=0,time=1,time=2,time=3,time=4,time=5,time=6,time=7,time=8,time=9,time=10,time=11,time=12,time=13,time=14,time=15,time=16,time=17,time=18,time=19,time=20,time=21,time=22,time=23,time=24,time=25,time=26,time=27,time=28,time=29,time=30,time=31,time=32,time=33,time=34,time=35,time=36,time=37,time=38,time=39,time=40,time=41,time=42,time=43,time=44,time=45,time=46,time=47,time=48,time=49,time=50,time=51,time=52,time=53,time=54,time=55,time=56,time=57,time=58,time=59,time=60,time=61,time=62,time=63,time=64,time=65,time=66,time=67,time=68,time=69,time=70,time=71,time=72,time=73,time=74,time=75,time=76,time=77,time=78,time=79,time=80,time=81,time=82,time=83,time=84,time=85,time=86,time=87,time=88,time=89,time=90,time=91,time=92,time=93,time=94,time=95,time=96,time=97,time=98,time=99,time=100
3,7,31,"(39, 7)","(38, 7)","(38, 8)","(37, 8)","(36, 8)","(36, 7)","(35, 7)","(35, 8)","(35, 9)","(34, 9)","(33, 9)","(32, 9)","(32, 10)","(32, 11)","(32, 12)","(32, 13)","(31, 13)","(30, 13)","(30, 12)","(30, 11)","(30, 10)","(30, 9)","(29, 9)","(28, 9)","(27, 9)","(27, 8)","(27, 7)","(27, 6)","(27, 5)","(27, 4)","(26, 4)","(25, 4)","(24, 4)","(23, 4)","(22, 4)","(21, 4)","(20, 4)","(19, 4)","(18, 4)","(17, 4)","(16, 4)","(15, 4)","(14, 4)","(14, 3)","(14, 2)","(14, 1)","(14, 0)","(13, 0)","(13, 1)","(13, 2)","(12, 2)","(11, 2)","(11, 1)","(11, 2)","(10, 2)","(10, 3)","(10, 4)","(9, 4)","(9, 5)","(9, 6)","(8, 6)","(7, 6)","(7, 7)","(7, 8)","(7, 9)","(6, 9)","(5, 9)","(4, 9)","(3, 9)","(2, 9)","(2, 10)","(1, 10)","(1, 11)","(1, 12)","(1, 13)","(1, 14)","(1, 15)","(1, 16)","(1, 17)","(1, 18)","(1, 19)","(1, 20)","(1, 21)","(1, 22)","(1, 23)","(1, 24)","(1, 25)","(1, 26)","(1, 27)","(1, 28)","(1, 29)","(1, 30)","(1, 31)","(0, 31)",,,,,,,
3,7,31,"(39, 7)","(38, 7)","(38, 6)","(38, 5)","(38, 4)","(38, 3)","(38, 2)","(38, 1)","(38, 0)","(37, 0)","(37, 1)","(37, 2)","(37, 3)","(37, 4)","(37, 5)","(37, 6)","(36, 6)","(35, 6)","(35, 5)","(35, 4)","(35, 3)","(35, 2)","(35, 1)","(34, 1)","(33, 1)","(32, 1)","(31, 1)","(30, 1)","(30, 2)","(30, 3)","(30, 4)","(29, 4)","(28, 4)","(27, 4)","(27, 5)","(27, 6)","(27, 7)","(26, 7)","(25, 7)","(25, 6)","(25, 5)","(25, 4)","(25, 5)","(25, 6)","(25, 7)","(25, 8)","(25, 9)","(24, 9)","(24, 10)","(24, 11)","(24, 12)","(23, 12)","(22, 12)","(22, 13)","(22, 14)","(21, 14)","(20, 14)","(19, 14)","(19, 15)","(18, 15)","(18, 16)","(18, 17)","(17, 17)","(16, 17)","(16, 18)","(15, 18)","(15, 19)","(14, 19)","(13, 19)","(13, 20)","(12, 20)","(11, 20)","(10, 20)","(10, 21)","(10, 22)","(10, 23)","(10, 24)","(9, 24)","(8, 24)","(8, 25)","(8, 26)","(7, 26)","(6, 26)","(6, 27)","(6, 28)","(5, 28)","(4, 28)","(4, 29)","(3, 29)","(3, 30)","(2, 30)","(2, 31)","(1, 31)","(0, 31)",,,,,,,
3,7,31,"(39, 7)","(38, 7)","(38, 6)","(38, 5)","(38, 4)","(38, 3)","(38, 2)","(37, 2)","(36, 2)","(36, 3)","(36, 4)","(36, 5)","(35, 5)","(35, 6)","(35, 7)","(35, 8)","(35, 9)","(35, 10)","(34, 10)","(33, 10)","(32, 10)","(31, 10)","(30, 10)","(30, 11)","(30, 12)","(30, 13)","(30, 14)","(29, 14)","(28, 14)","(27, 14)","(26, 14)","(25, 14)","(24, 14)","(23, 14)","(22, 14)","(22, 13)","(22, 12)","(22, 11)","(22, 10)","(22, 9)","(21, 9)","(20, 9)","(19, 9)","(18, 9)","(17, 9)","(17, 8)","(17, 7)","(17, 6)","(17, 5)","(17, 4)","(16, 4)","(15, 4)","(15, 5)","(15, 6)","(15, 7)","(15, 8)","(15, 9)","(14, 9)","(14, 10)","(13, 10)","(13, 11)","(13, 12)","(13, 13)","(12, 13)","(11, 13)","(10, 13)","(10, 14)","(9, 14)","(9, 15)","(8, 15)","(7, 15)","(7, 16)","(6, 16)","(6, 17)","(6, 18)","(6, 19)","(5, 19)","(4, 19)","(4, 20)","(3, 20)","(3, 21)","(3, 22)","(2, 22)","(2, 23)","(1, 23)","(1, 24)","(1, 25)","(1, 26)","(1, 27)","(1, 28)","(1, 29)","(1, 30)","(1, 31)","(0, 31)",,,,,,,
3,7,31,"(39, 7)","(38, 7)","(38, 8)","(37, 8)","(37, 9)","(36, 9)","(36, 10)","(35, 10)","(34, 10)","(34, 11)","(33, 11)","(32, 11)","(32, 12)","(31, 12)","(30, 12)","(30, 11)","(30, 10)","(30, 9)","(29, 9)","(28, 9)","(27, 9)","(26, 9)","(25, 9)","(24, 9)","(23, 9)","(22, 9)","(21, 9)","(20, 9)","(19, 9)","(18, 9)","(18, 8)","(18, 7)","(18, 6)","(18, 5)","(18, 4)","(17, 4)","(16, 4)","(15, 4)","(14, 4)","(13, 4)","(12, 4)","(11, 4)","(11, 3)","(11, 2)","(11, 1)","(11, 0)","(10, 0)","(10, 1)","(10, 2)","(10, 3)","(10, 4)","(9, 4)","(8, 4)","(7, 4)","(6, 4)","(5, 4)","(4, 4)","(4, 3)","(4, 2)","(4, 1)","(3, 1)","(3, 2)","(2, 2)","(1, 2)","(1, 3)","(1, 4)","(1, 5)","(1, 6)","(1, 7)","(1, 8)","(1, 9)","(1, 10)","(1, 11)","(1, 12)","(1, 13)","(1, 14)","(1, 15)","(1, 16)","(1, 17)","(1, 18)","(1, 19)","(1, 20)","(1, 21)","(1, 22)","(1, 23)","(1, 24)","(1, 25)","(1, 26)","(1, 27)","(1, 28)","(1, 29)","(1, 30)","(1, 31)","(0, 31)",,,,,,,
3,7,31,"(39, 7)","(38, 7)","(37, 7)","(37, 6)","(37, 5)","(37, 4)","(37, 3)","(37, 2)","(37, 1)","(37, 0)","(36, 0)","(35, 0)","(34, 0)","(33, 0)","(32, 0)","(31, 0)","(31, 1)","(31, 2)","(31, 3)","(31, 4)","(30, 4)","(29, 4)","(29, 5)","(29, 6)","(29, 7)","(29, 8)","(29, 9)","(28, 9)","(27, 9)","(26, 9)","(25, 9)","(25, 8)","(25, 7)","(25, 6)","(25, 5)","(25, 4)","(24, 4)","(23, 4)","(22, 4)","(21, 4)","(20, 4)","(19, 4)","(19, 5)","(19, 6)","(19, 7)","(19, 8)","(19, 9)","(18, 9)","(17, 9)","(17, 8)","(17, 7)","(16, 7)","(15, 7)","(15, 6)","(15, 7)","(15, 8)","(15, 9)","(14, 9)","(14, 10)","(14, 11)","(14, 12)","(14, 13)","(13, 13)","(12, 13)","(12, 14)","(11, 14)","(10, 14)","(9, 14)","(9, 15)","(9, 16)","(9, 17)","(9, 18)","(9, 19)","(8, 19)","(7, 19)","(6, 19)","(5, 19)","(4, 19)","(3, 19)","(2, 19)","(2, 20)","(2, 21)","(1, 21)","(1, 22)","(1, 23)","(1, 24)","(1, 25)","(1, 26)","(1, 27)","(1, 28)","(1, 29)","(1, 30)","(1, 31)","(0, 31)",,,,,,,
3,7,31,"(39, 7)","(38, 7)","(38, 6)","(38, 5)","(38, 4)","(38, 3)","(38, 2)","(38, 1)","(38, 0)","(37, 0)","(36, 0)","(35, 0)","(34, 0)","(33, 0)","(32, 0)","(31, 0)","(30, 0)","(30, 1)","(30, 2)","(30, 3)","(30, 4)","(29, 4)","(28, 4)","(27, 4)","(26, 4)","(25, 4)","(24, 4)","(23, 4)","(23, 3)","(22, 3)","(22, 2)","(22, 1)","(22, 0)","(21, 0)","(21, 1)","(20, 1)","(20, 2)","(20, 3)","(20, 4)","(19, 4)","(18, 4)","(17, 4)","(16, 4)","(15, 4)","(14, 4)","(13, 4)","(12, 4)","(12, 3)","(12, 2)","(12, 1)","(12, 0)","(12, 1)","(11, 1)","(11, 2)","(11, 3)","(11, 4)","(10, 4)","(9, 4)","(9, 5)","(9, 6)","(9, 7)","(9, 8)","(9, 9)","(8, 9)","(7, 9)","(6, 9)","(5, 9)","(4, 9)","(3, 9)","(3, 10)","(3, 11)","(3, 12)","(2, 12)","(1, 12)","(1, 13)","(1, 14)","(1, 15)","(1, 16)","(1, 17)","(1, 18)","(1, 19)","(1, 20)","(1, 21)","(1, 22)","(1, 23)","(1, 24)","(1, 25)","(1, 26)","(1, 27)","(1, 28)","(1, 29)","(1, 30)","(1, 31)","(0, 31)",,,,,,,
3,7,31,"(39, 7)","(38, 7)","(38, 6)","(38, 5)","(38, 4)","(38, 3)","(38, 2)","(38, 1)","(38, 0)","(37, 0)","(36, 0)","(36, 1)","(36, 2)","(36, 3)","(36, 4)","(36, 5)","(36, 6)","(36, 7)","(36, 8)","(36, 9)","(36, 10)","(36, 11)","(36, 12)","(35, 12)","(34, 12)","(34, 11)","(34, 10)","(34, 9)","(33, 9)","(32, 9)","(31, 9)","(31, 10)","(30, 10)","(30, 9)","(29, 9)","(28, 9)","(27, 9)","(26, 9)","(25, 9)","(24, 9)","(23, 9)","(22, 9)","(21, 9)","(20, 9)","(19, 9)","(18, 9)","(17, 9)","(16, 9)","(15, 9)","(15, 8)","(15, 7)","(15, 6)","(15, 5)","(15, 6)","(15, 7)","(15, 8)","(15, 9)","(14, 9)","(14, 10)","(14, 11)","(14, 12)","(14, 13)","(14, 14)","(13, 14)","(12, 14)","(11, 14)","(10, 14)","(9, 14)","(9, 15)","(8, 15)","(7, 15)","(6, 15)","(6, 16)","(6, 17)","(6, 18)","(6, 19)","(5, 19)","(4, 19)","(4, 20)","(3, 20)","(2, 20)","(2, 21)","(1, 21)","(1, 22)","(1, 23)","(1, 24)","(1, 25)","(1, 26)","(1, 27)","(1, 28)","(1, 29)","(1, 30)","(1, 31)","(0, 31)",,,,,,,
3,7,31,"(39, 7)","(38, 7)","(38, 8)","(37, 8)","(37, 7)","(37, 6)","(37, 5)","(37, 4)","(36, 4)","(36, 3)","(36, 2)","(36, 1)","(36, 0)","(35, 0)","(35, 1)","(34, 1)","(33, 1)","(33, 2)","(33, 3)","(33, 4)","(32, 4)","(31, 4)","(30, 4)","(29, 4)","(28, 4)","(27, 4)","(27, 5)","(27, 6)","(27, 7)","(27, 8)","(27, 9)","(26, 9)","(25, 9)","(24, 9)","(24, 10)","(24, 11)","(24, 12)","(24, 13)","(23, 13)","(22, 13)","(21, 13)","(20, 13)","(20, 12)","(20, 11)","(20, 10)","(20, 9)","(19, 9)","(18, 9)","(18, 8)","(18, 7)","(17, 7)","(17, 6)","(17, 7)","(16, 7)","(15, 7)","(15, 8)","(15, 9)","(14, 9)","(14, 10)","(14, 11)","(14, 12)","(13, 12)","(12, 12)","(12, 13)","(11, 13)","(11, 14)","(10, 14)","(9, 14)","(9, 15)","(9, 16)","(8, 16)","(8, 17)","(8, 18)","(8, 19)","(7, 19)","(6, 19)","(5, 19)","(4, 19)","(3, 19)","(2, 19)","(2, 20)","(2, 21)","(2, 22)","(1, 22)","(1, 23)","(1, 24)","(1, 25)","(1, 26)","(1, 27)","(1, 28)","(1, 29)","(1, 30)","(1, 31)","(0, 31)",,,,,,,
3,7,31,"(39, 7)","(38, 7)","(38, 8)","(37, 8)","(36, 8)","(36, 9)","(36, 10)","(36, 11)","(36, 12)","(35, 12)","(34, 12)","(34, 13)","(34, 14)","(33, 14)","(32, 14)","(31, 14)","(30, 14)","(30, 13)","(30, 12)","(30, 11)","(30, 10)","(30, 9)","(29, 9)","(28, 9)","(27, 9)","(26, 9)","(25, 9)","(24, 9)","(23, 9)","(22, 9)","(21, 9)","(20, 9)","(19, 9)","(19, 8)","(19, 7)","(18, 7)","(17, 7)","(17, 8)","(17, 9)","(16, 9)","(16, 8)","(16, 7)","(16, 6)","(16, 5)","(16, 4)","(15, 4)","(14, 4)","(13, 4)","(12, 4)","(11, 4)","(10, 4)","(10, 3)","(10, 2)","(10, 1)","(10, 2)","(10, 3)","(10, 4)","(9, 4)","(8, 4)","(8, 5)","(7, 5)","(7, 6)","(6, 6)","(5, 6)","(4, 6)","(3, 6)","(2, 6)","(2, 7)","(2, 8)","(1, 8)","(1, 9)","(1, 10)","(1, 11)","(1, 12)","(1, 13)","(1, 14)","(1, 15)","(1, 16)","(1, 17)","(1, 18)","(1, 19)","(1, 20)","(1, 21)","(1, 22)","(1, 23)","(1, 24)","(1, 25)","(1, 26)","(1, 27)","(1, 28)","(1, 29)","(1, 30)","(1, 31)","(0, 31)",,,,,,,
3,7,31,"(39, 7)","(38, 7)","(38, 8)","(37, 8)","(37, 7)","(37, 6)","(37, 5)","(37, 4)","(37, 3)","(37, 2)","(37, 1)","(36, 1)","(35, 1)","(34, 1)","(34, 0)","(33, 0)","(32, 0)","(31, 0)","(30, 0)","(30, 1)","(30, 2)","(30, 3)","(30, 4)","(29, 4)","(28, 4)","(27, 4)","(26, 4)","(26, 5)","(26, 6)","(26, 7)","(25, 7)","(25, 6)","(25, 5)","(25, 4)","(24, 4)","(23, 4)","(22, 4)","(21, 4)","(21, 3)","(21, 2)","(21, 1)","(21, 0)","(20, 0)","(20, 1)","(20, 2)","(20, 3)","(20, 4)","(19, 4)","(18, 4)","(18, 5)","(17, 5)","(16, 5)","(15, 5)","(15, 6)","(15, 7)","(15, 8)","(15, 9)","(14, 9)","(13, 9)","(13, 10)","(12, 10)","(11, 10)","(11, 11)","(10, 11)","(10, 12)","(10, 13)","(10, 14)","(9, 14)","(8, 14)","(7, 14)","(6, 14)","(5, 14)","(4, 14)","(3, 14)","(3, 15)","(3, 16)","(2, 16)","(2, 17)","(1, 17)","(1, 18)","(1, 19)","(1, 20)","(1, 21)","(1, 22)","(1, 23)","(1, 24)","(1, 25)","(1, 26)","(1, 27)","(1, 28)","(1, 29)","(1, 30)","(1, 31)","(0, 31)",,,,,,,
