warehouse_id,source_id,destination_id,time=0,time=1,time=2,time=3,time=4,time=5,time=6,time=7,time=8,time=9,time=10,time=11,time=12,time=13,time=14,time=15,time=16,time=17,time=18,time=19,time=20,time=21,time=22,time=23,time=24,time=25,time=26,time=27,time=28,time=29,time=30,time=31,time=32,time=33,time=34,time=35,time=36,time=37,time=38,time=39,time=40,time=41,time=42,time=43,time=44,time=45,time=46,time=47,time=48,time=49,time=50,time=51,time=52,time=53,time=54,time=55,time=56,time=57,time=58,time=59,time=60,time=61,time=62,time=63,time=64,time=65,time=66,time=67,time=68,time=69,time=70,time=71,time=72,time=73,time=74,time=75,time=76,time=77,time=78,time=79,time=80,time=81
3,17,5,"(39, 17)","(38, 17)","(37, 17)","(37, 16)","(37, 15)","(37, 14)","(36, 14)","(36, 13)","(36, 12)","(36, 11)","(35, 11)","(34, 11)","(34, 12)","(33, 12)","(32, 12)","(31, 12)","(30, 12)","(30, 13)","(30, 14)","(29, 14)","(28, 14)","(28, 15)","(28, 16)","(28, 17)","(28, 18)","(27, 18)","(26, 18)","(25, 18)","(25, 19)","(24, 19)","(24, 20)","(23, 20)","(22, 20)","(21, 20)","(20, 20)","(20, 21)","(20, 22)","(20, 23)","(20, 22)","(20, 21)","(20, 20)","(20, 19)","(19, 19)","(19, 18)","(19, 17)","(19, 16)","(18, 16)","(17, 16)","(17, 15)","(17, 14)","(16, 14)","(15, 14)","(14, 14)","(13, 14)","(13, 13)","(13, 12)","(13, 11)","(12, 11)","(12, 10)","(11, 10)","(10, 10)","(10, 9)","(9, 9)","(9, 8)","(9, 7)","(8, 7)","(8, 6)","(8, 5)","(7, 5)","(6, 5)","(5, 5)","(4, 5)","(3, 5)","(2, 5)","(1, 5)","(0, 5)",,,,,,
3,17,5,"(39, 17)","(38, 17)","(38, 18)","(38, 19)","(38, 20)","(38, 21)","(38, 22)","(38, 23)","(38, 24)","(37, 24)","(36, 24)","(36, 23)","(35, 23)","(34, 23)","(33, 23)","(33, 22)","(33, 21)","(33, 20)","(33, 19)","(32, 19)","(31, 19)","(30, 19)","(30, 20)","(30, 21)","(30, 22)","(30, 23)","(30, 24)","(29, 24)","(28, 24)","(27, 24)","(26, 24)","(25, 24)","(24, 24)","(24, 23)","(24, 22)","(23, 22)","(22, 22)","(22, 21)","(22, 20)","(21, 20)","(20, 20)","(20, 19)","(19, 19)","(18, 19)","(18, 18)","(18, 17)","(18, 16)","(18, 15)","(17, 15)","(16, 15)","(16, 14)","(15, 14)","(14, 14)","(14, 13)","(14, 12)","(13, 12)","(13, 11)","(13, 10)","(12, 10)","(11, 10)","(11, 9)","(10, 9)","(9, 9)","(8, 9)","(8, 8)","(7, 8)","(7, 7)","(7, 6)","(7, 5)","(6, 5)","(5, 5)","(4, 5)","(3, 5)","(2, 5)","(1, 5)","(0, 5)",,,,,,
3,17,5,"(39, 17)","(38, 17)","(38, 18)","(38, 19)","(38, 20)","(38, 21)","(38, 22)","(38, 23)","(38, 24)","(37, 24)","(37, 23)","(37, 22)","(37, 21)","(37, 20)","(37, 19)","(37, 18)","(37, 17)","(36, 17)","(35, 17)","(35, 16)","(35, 15)","(35, 14)","(35, 13)","(35, 12)","(35, 11)","(34, 11)","(34, 10)","(34, 9)","(33, 9)","(33, 10)","(33, 11)","(33, 12)","(33, 13)","(33, 14)","(33, 13)","(33, 12)","(33, 11)","(32, 11)","(32, 10)","(31, 10)","(31, 9)","(30, 9)","(29, 9)","(28, 9)","(27, 9)","(26, 9)","(25, 9)","(24, 9)","(23, 9)","(22, 9)","(21, 9)","(20, 9)","(19, 9)","(18, 9)","(17, 9)","(16, 9)","(15, 9)","(14, 9)","(13, 9)","(12, 9)","(11, 9)","(10, 9)","(9, 9)","(9, 8)","(8, 8)","(8, 7)","(8, 6)","(7, 6)","(6, 6)","(5, 6)","(5, 5)","(4, 5)","(3, 5)","(2, 5)","(1, 5)","(0, 5)",,,,,,
3,17,5,"(39, 17)","(38, 17)","(38, 18)","(38, 19)","(37, 19)","(36, 19)","(35, 19)","(34, 19)","(33, 19)","(33, 20)","(33, 21)","(32, 21)","(31, 21)","(30, 21)","(30, 22)","(30, 23)","(30, 24)","(29, 24)","(28, 24)","(27, 24)","(26, 24)","(25, 24)","(25, 25)","(25, 26)","(25, 27)","(25, 28)","(25, 29)","(25, 28)","(25, 27)","(25, 26)","(25, 25)","(25, 24)","(24, 24)","(24, 23)","(23, 23)","(22, 23)","(22, 22)","(21, 22)","(20, 22)","(20, 21)","(20, 20)","(20, 19)","(19, 19)","(19, 18)","(18, 18)","(18, 17)","(17, 17)","(16, 17)","(16, 16)","(16, 15)","(16, 14)","(15, 14)","(14, 14)","(14, 13)","(13, 13)","(13, 12)","(13, 11)","(12, 11)","(12, 10)","(12, 9)","(11, 9)","(10, 9)","(9, 9)","(8, 9)","(8, 8)","(8, 7)","(8, 6)","(8, 5)","(7, 5)","(6, 5)","(5, 5)","(4, 5)","(3, 5)","(2, 5)","(1, 5)","(0, 5)",,,,,,
3,17,5,"(39, 17)","(38, 17)","(38, 18)","(38, 19)","(38, 20)","(37, 20)","(36, 20)","(35, 20)","(34, 20)","(34, 19)","(33, 19)","(32, 19)","(31, 19)","(30, 19)","(30, 20)","(30, 21)","(30, 22)","(30, 23)","(30, 24)","(29, 24)","(29, 25)","(29, 26)","(29, 27)","(29, 28)","(28, 28)","(27, 28)","(27, 27)","(26, 27)","(26, 26)","(25, 26)","(25, 25)","(25, 24)","(24, 24)","(23, 24)","(23, 23)","(23, 22)","(22, 22)","(22, 21)","(21, 21)","(20, 21)","(20, 20)","(20, 19)","(19, 19)","(19, 18)","(18, 18)","(18, 17)","(18, 16)","(17, 16)","(16, 16)","(15, 16)","(15, 15)","(15, 14)","(14, 14)","(13, 14)","(13, 13)","(13, 12)","(12, 12)","(11, 12)","(10, 12)","(10, 11)","(10, 10)","(10, 9)","(9, 9)","(9, 8)","(8, 8)","(8, 7)","(8, 6)","(7, 6)","(7, 5)","(6, 5)","(5, 5)","(4, 5)","(3, 5)","(2, 5)","(1, 5)","(0, 5)",,,,,,
3,17,5,"(39, 17)","(38, 17)","(38, 18)","(38, 19)","(38, 20)","(38, 21)","(37, 21)","(36, 21)","(35, 21)","(35, 22)","(35, 23)","(35, 24)","(35, 25)","(35, 26)","(35, 27)","(35, 28)","(35, 29)","(34, 29)","(33, 29)","(32, 29)","(31, 29)","(30, 29)","(29, 29)","(29, 28)","(28, 28)","(27, 28)","(27, 27)","(27, 26)","(27, 25)","(27, 24)","(26, 24)","(25, 24)","(24, 24)","(23, 24)","(22, 24)","(21, 24)","(20, 24)","(20, 23)","(20, 22)","(20, 21)","(20, 20)","(20, 19)","(19, 19)","(18, 19)","(17, 19)","(16, 19)","(16, 18)","(15, 18)","(15, 17)","(15, 16)","(15, 15)","(15, 14)","(14, 14)","(14, 13)","(13, 13)","(13, 12)","(13, 11)","(13, 10)","(12, 10)","(12, 9)","(11, 9)","(10, 9)","(9, 9)","(8, 9)","(7, 9)","(7, 8)","(7, 7)","(6, 7)","(5, 7)","(5, 6)","(4, 6)","(4, 5)","(3, 5)","(2, 5)","(1, 5)","(0, 5)",,,,,,
3,17,5,"(39, 17)","(38, 17)","(38, 18)","(38, 19)","(38, 20)","(38, 21)","(38, 22)","(38, 23)","(37, 23)","(37, 22)","(37, 21)","(37, 20)","(37, 19)","(37, 18)","(37, 17)","(37, 16)","(37, 15)","(37, 14)","(37, 13)","(36, 13)","(35, 13)","(34, 13)","(33, 13)","(32, 13)","(32, 14)","(31, 14)","(30, 14)","(29, 14)","(28, 14)","(27, 14)","(27, 15)","(26, 15)","(25, 15)","(25, 16)","(25, 17)","(25, 18)","(25, 19)","(25, 18)","(25, 17)","(25, 16)","(25, 15)","(25, 14)","(24, 14)","(24, 13)","(23, 13)","(22, 13)","(22, 12)","(22, 11)","(21, 11)","(20, 11)","(20, 10)","(20, 9)","(19, 9)","(18, 9)","(17, 9)","(16, 9)","(15, 9)","(14, 9)","(13, 9)","(12, 9)","(11, 9)","(10, 9)","(9, 9)","(9, 8)","(9, 7)","(9, 6)","(8, 6)","(7, 6)","(6, 6)","(6, 5)","(5, 5)","(4, 5)","(3, 5)","(2, 5)","(1, 5)","(0, 5)",,,,,,
3,17,5,"(39, 17)","(38, 17)","(37, 17)","(37, 18)","(37, 19)","(37, 20)","(37, 21)","(37, 22)","(37, 23)","(36, 23)","(36, 24)","(36, 25)","(36, 26)","(36, 27)","(36, 28)","(35, 28)","(35, 29)","(34, 29)","(33, 29)","(32, 29)","(31, 29)","(30, 29)","(29, 29)","(29, 28)","(29, 27)","(29, 26)","(28, 26)","(27, 26)","(26, 26)","(25, 26)","(25, 25)","(25, 24)","(24, 24)","(23, 24)","(23, 23)","(23, 22)","(22, 22)","(22, 21)","(22, 20)","(21, 20)","(20, 20)","(20, 19)","(19, 19)","(18, 19)","(18, 18)","(18, 17)","(17, 17)","(16, 17)","(15, 17)","(15, 16)","(15, 15)","(15, 14)","(14, 14)","(13, 14)","(13, 13)","(13, 12)","(12, 12)","(11, 12)","(10, 12)","(10, 11)","(10, 10)","(10, 9)","(9, 9)","(8, 9)","(8, 8)","(7, 8)","(7, 7)","(6, 7)","(5, 7)","(5, 6)","(5, 5)","(4, 5)","(3, 5)","(2, 5)","(1, 5)","(0, 5)",,,,,,
3,17,5,"(39, 17)","(38, 17)","(38, 16)","(37, 16)","(37, 15)","(36, 15)","(36, 16)","(35, 16)","(35, 15)","(35, 14)","(35, 13)","(35, 12)","(35, 11)","(35, 10)","(35, 9)","(34, 9)","(33, 9)","(32, 9)","(32, 10)","(32, 11)","(32, 12)","(32, 13)","(31, 13)","(30, 13)","(30, 14)","(29, 14)","(28, 14)","(27, 14)","(26, 14)","(26, 15)","(26, 16)","(26, 17)","(25, 17)","(25, 16)","(25, 15)","(25, 14)","(24, 14)","(23, 14)","(22, 14)","(21, 14)","(21, 13)","(21, 12)","(21, 11)","(20, 11)","(20, 12)","(20, 13)","(20, 14)","(20, 13)","(20, 12)","(20, 11)","(20, 10)","(20, 9)","(19, 9)","(18, 9)","(17, 9)","(16, 9)","(15, 9)","(14, 9)","(13, 9)","(12, 9)","(11, 9)","(10, 9)","(9, 9)","(8, 9)","(7, 9)","(6, 9)","(5, 9)","(4, 9)","(3, 9)","(3, 8)","(3, 7)","(3, 6)","(2, 6)","(2, 5)","(1, 5)","(0, 5)",,,,,,
3,17,5,"(39, 17)","(38, 17)","(38, 16)","(38, 15)","(37, 15)","(37, 14)","(36, 14)","(36, 15)","(36, 16)","(36, 17)","(36, 18)","(36, 19)","(36, 20)","(35, 20)","(34, 20)","(33, 20)","(32, 20)","(32, 19)","(31, 19)","(30, 19)","(29, 19)","(28, 19)","(28, 18)","(28, 17)","(28, 16)","(28, 15)","(28, 14)","(27, 14)","(26, 14)","(25, 14)","(24, 14)","(24, 13)","(24, 12)","(24, 11)","(24, 10)","(24, 9)","(23, 9)","(23, 10)","(23, 11)","(22, 11)","(21, 11)","(20, 11)","(20, 12)","(20, 13)","(20, 14)","(19, 14)","(18, 14)","(18, 15)","(17, 15)","(17, 14)","(16, 14)","(15, 14)","(14, 14)","(14, 13)","(14, 12)","(14, 11)","(13, 11)","(12, 11)","(11, 11)","(11, 10)","(11, 9)","(10, 9)","(9, 9)","(9, 8)","(9, 7)","(8, 7)","(7, 7)","(6, 7)","(6, 6)","(6, 5)","(5, 5)","(4, 5)","(3, 5)","(2, 5)","(1, 5)","(0, 5)",,,,,,
