warehouse_id,source_id,destination_id,time=0,time=1,time=2,time=3,time=4,time=5,time=6,time=7,time=8,time=9,time=10,time=11,time=12,time=13,time=14,time=15,time=16,time=17,time=18,time=19,time=20,time=21,time=22,time=23,time=24,time=25,time=26,time=27,time=28,time=29,time=30,time=31,time=32,time=33,time=34,time=35,time=36,time=37,time=38,time=39,time=40,time=41,time=42,time=43,time=44,time=45,time=46,time=47,time=48,time=49,time=50,time=51,time=52,time=53,time=54,time=55,time=56,time=57,time=58,time=59,time=60,time=61
3,39,39,"(39, 39)","(38, 39)","(38, 38)","(38, 37)","(38, 36)","(37, 36)","(36, 36)","(35, 36)","(35, 37)","(35, 38)","(35, 39)","(34, 39)","(33, 39)","(32, 39)","(31, 39)","(30, 39)","(29, 39)","(28, 39)","(27, 39)","(26, 39)","(25, 39)","(24, 39)","(23, 39)","(22, 39)","(21, 39)","(20, 39)","(19, 39)","(18, 39)","(17, 39)","(17, 38)","(17, 37)","(17, 36)","(17, 35)","(17, 34)","(16, 34)","(15, 34)","(14, 34)","(13, 34)","(12, 34)","(12, 33)","(12, 34)","(11, 34)","(10, 34)","(9, 34)","(9, 35)","(8, 35)","(7, 35)","(7, 36)","(6, 36)","(5, 36)","(4, 36)","(4, 37)","(4, 38)","(3, 38)","(2, 38)","(2, 39)","(1, 39)","(0, 39)",,,,
3,39,39,"(39, 39)","(38, 39)","(37, 39)","(36, 39)","(36, 38)","(36, 37)","(35, 37)","(35, 36)","(35, 35)","(35, 34)","(35, 33)","(35, 32)","(35, 31)","(34, 31)","(33, 31)","(33, 32)","(33, 33)","(33, 34)","(32, 34)","(31, 34)","(30, 34)","(29, 34)","(28, 34)","(27, 34)","(26, 34)","(25, 34)","(24, 34)","(24, 33)","(23, 33)","(22, 33)","(22, 34)","(21, 34)","(20, 34)","(19, 34)","(18, 34)","(17, 34)","(17, 35)","(16, 35)","(16, 36)","(16, 37)","(15, 37)","(15, 38)","(15, 39)","(14, 39)","(13, 39)","(12, 39)","(11, 39)","(10, 39)","(9, 39)","(8, 39)","(7, 39)","(6, 39)","(5, 39)","(4, 39)","(3, 39)","(2, 39)","(1, 39)","(0, 39)",,,,
3,39,39,"(39, 39)","(38, 39)","(37, 39)","(37, 38)","(37, 37)","(37, 36)","(37, 35)","(36, 35)","(35, 35)","(35, 36)","(35, 37)","(35, 38)","(35, 39)","(34, 39)","(33, 39)","(32, 39)","(31, 39)","(30, 39)","(29, 39)","(29, 38)","(29, 37)","(29, 36)","(29, 35)","(29, 34)","(29, 35)","(29, 36)","(29, 37)","(28, 37)","(28, 38)","(28, 39)","(27, 39)","(26, 39)","(25, 39)","(24, 39)","(23, 39)","(22, 39)","(21, 39)","(20, 39)","(19, 39)","(18, 39)","(17, 39)","(16, 39)","(15, 39)","(14, 39)","(13, 39)","(12, 39)","(11, 39)","(10, 39)","(9, 39)","(8, 39)","(7, 39)","(6, 39)","(5, 39)","(4, 39)","(3, 39)","(2, 39)","(1, 39)","(0, 39)",,,,
3,39,39,"(39, 39)","(38, 39)","(38, 38)","(38, 37)","(38, 36)","(38, 35)","(38, 34)","(38, 33)","(38, 32)","(38, 31)","(38, 30)","(37, 30)","(37, 31)","(36, 31)","(36, 32)","(36, 33)","(35, 33)","(35, 34)","(34, 34)","(33, 34)","(32, 34)","(31, 34)","(30, 34)","(29, 34)","(28, 34)","(28, 35)","(28, 36)","(27, 36)","(26, 36)","(26, 37)","(26, 38)","(26, 39)","(25, 39)","(24, 39)","(23, 39)","(22, 39)","(21, 39)","(20, 39)","(19, 39)","(18, 39)","(17, 39)","(16, 39)","(15, 39)","(14, 39)","(13, 39)","(12, 39)","(11, 39)","(10, 39)","(9, 39)","(8, 39)","(7, 39)","(6, 39)","(5, 39)","(4, 39)","(3, 39)","(2, 39)","(1, 39)","(0, 39)",,,,
3,39,39,"(39, 39)","(38, 39)","(38, 38)","(38, 37)","(38, 36)","(37, 36)","(36, 36)","(35, 36)","(35, 37)","(35, 38)","(35, 39)","(34, 39)","(33, 39)","(32, 39)","(31, 39)","(30, 39)","(29, 39)","(28, 39)","(28, 38)","(28, 37)","(27, 37)","(26, 37)","(25, 37)","(25, 36)","(25, 35)","(25, 34)","(24, 34)","(23, 34)","(22, 34)","(21, 34)","(20, 34)","(20, 33)","(20, 34)","(19, 34)","(18, 34)","(18, 35)","(17, 35)","(16, 35)","(16, 36)","(16, 37)","(15, 37)","(15, 38)","(15, 39)","(14, 39)","(13, 39)","(12, 39)","(11, 39)","(10, 39)","(9, 39)","(8, 39)","(7, 39)","(6, 39)","(5, 39)","(4, 39)","(3, 39)","(2, 39)","(1, 39)","(0, 39)",,,,
3,39,39,"(39, 39)","(38, 39)","(38, 38)","(38, 37)","(38, 36)","(38, 35)","(38, 34)","(38, 33)","(37, 33)","(36, 33)","(36, 34)","(36, 35)","(36, 36)","(36, 37)","(35, 37)","(35, 36)","(35, 35)","(35, 34)","(35, 35)","(35, 36)","(35, 37)","(35, 38)","(35, 39)","(34, 39)","(33, 39)","(32, 39)","(31, 39)","(30, 39)","(29, 39)","(28, 39)","(27, 39)","(26, 39)","(25, 39)","(24, 39)","(23, 39)","(22, 39)","(21, 39)","(20, 39)","(19, 39)","(18, 39)","(17, 39)","(16, 39)","(15, 39)","(14, 39)","(13, 39)","(12, 39)","(11, 39)","(10, 39)","(9, 39)","(8, 39)","(7, 39)","(6, 39)","(5, 39)","(4, 39)","(3, 39)","(2, 39)","(1, 39)","(0, 39)",,,,
3,39,39,"(39, 39)","(38, 39)","(37, 39)","(36, 39)","(35, 39)","(35, 38)","(35, 37)","(35, 36)","(35, 35)","(35, 34)","(35, 33)","(34, 33)","(33, 33)","(33, 32)","(33, 31)","(33, 30)","(33, 31)","(32, 31)","(31, 31)","(30, 31)","(30, 32)","(30, 33)","(30, 34)","(29, 34)","(28, 34)","(28, 35)","(27, 35)","(26, 35)","(26, 36)","(25, 36)","(25, 37)","(25, 38)","(25, 39)","(24, 39)","(23, 39)","(22, 39)","(21, 39)","(20, 39)","(19, 39)","(18, 39)","(17, 39)","(16, 39)","(15, 39)","(14, 39)","(13, 39)","(12, 39)","(11, 39)","(10, 39)","(9, 39)","(8, 39)","(7, 39)","(6, 39)","(5, 39)","(4, 39)","(3, 39)","(2, 39)","(1, 39)","(0, 39)",,,,
3,39,39,"(39, 39)","(38, 39)","(37, 39)","(36, 39)","(36, 38)","(36, 37)","(36, 36)","(36, 35)","(35, 35)","(35, 34)","(35, 33)","(35, 32)","(34, 32)","(33, 32)","(32, 32)","(31, 32)","(30, 32)","(30, 31)","(30, 30)","(30, 31)","(30, 32)","(30, 33)","(30, 34)","(29, 34)","(28, 34)","(28, 35)","(28, 36)","(28, 37)","(27, 37)","(27, 38)","(26, 38)","(25, 38)","(25, 39)","(24, 39)","(23, 39)","(22, 39)","(21, 39)","(20, 39)","(19, 39)","(18, 39)","(17, 39)","(16, 39)","(15, 39)","(14, 39)","(13, 39)","(12, 39)","(11, 39)","(10, 39)","(9, 39)","(8, 39)","(7, 39)","(6, 39)","(5, 39)","(4, 39)","(3, 39)","(2, 39)","(1, 39)","(0, 39)",,,,
3,39,39,"(39, 39)","(38, 39)","(38, 38)","(38, 37)","(38, 36)","(38, 35)","(37, 35)","(36, 35)","(35, 35)","(35, 34)","(35, 33)","(35, 32)","(34, 32)","(33, 32)","(32, 32)","(31, 32)","(30, 32)","(30, 31)","(30, 30)","(30, 31)","(30, 32)","(30, 33)","(30, 34)","(29, 34)","(29, 35)","(28, 35)","(27, 35)","(27, 36)","(26, 36)","(26, 37)","(25, 37)","(25, 38)","(25, 39)","(24, 39)","(23, 39)","(22, 39)","(21, 39)","(20, 39)","(19, 39)","(18, 39)","(17, 39)","(16, 39)","(15, 39)","(14, 39)","(13, 39)","(12, 39)","(11, 39)","(10, 39)","(9, 39)","(8, 39)","(7, 39)","(6, 39)","(5, 39)","(4, 39)","(3, 39)","(2, 39)","(1, 39)","(0, 39)",,,,
3,39,39,"(39, 39)","(38, 39)","(37, 39)","(36, 39)","(36, 38)","(35, 38)","(35, 39)","(34, 39)","(33, 39)","(32, 39)","(31, 39)","(30, 39)","(29, 39)","(28, 39)","(27, 39)","(26, 39)","(25, 39)","(24, 39)","(23, 39)","(22, 39)","(21, 39)","(20, 39)","(19, 39)","(18, 39)","(17, 39)","(16, 39)","(15, 39)","(15, 38)","(15, 37)","(15, 36)","(15, 35)","(15, 34)","(14, 34)","(14, 33)","(14, 32)","(14, 31)","(14, 32)","(14, 33)","(14, 34)","(13, 34)","(12, 34)","(11, 34)","(10, 34)","(9, 34)","(8, 34)","(7, 34)","(6, 34)","(6, 35)","(6, 36)","(5, 36)","(4, 36)","(4, 37)","(3, 37)","(2, 37)","(2, 38)","(1, 38)","(1, 39)","(0, 39)",,,,
