warehouse_id,source_id,destination_id,time=0,time=1,time=2,time=3,time=4,time=5,time=6,time=7,time=8,time=9,time=10,time=11,time=12,time=13,time=14,time=15,time=16,time=17,time=18,time=19,time=20,time=21,time=22,time=23,time=24,time=25,time=26,time=27,time=28,time=29,time=30,time=31,time=32,time=33,time=34,time=35,time=36,time=37,time=38,time=39,time=40,time=41,time=42,time=43,time=44,time=45,time=46,time=47,time=48,time=49,time=50,time=51,time=52,time=53,time=54,time=55,time=56,time=57,time=58,time=59,time=60,time=61,time=62,time=63,time=64,time=65,time=66,time=67,time=68,time=69,time=70,time=71,time=72,time=73,time=74,time=75,time=76,time=77,time=78,time=79,time=80,time=81,time=82,time=83,time=84,time=85,time=86,time=87,time=88,time=89,time=90,time=91,time=92,time=93,time=94,time=95,time=96,time=97,time=98,time=99,time=100
3,36,12,"(39, 36)","(38, 36)","(38, 37)","(38, 38)","(38, 39)","(37, 39)","(37, 38)","(37, 37)","(36, 37)","(35, 37)","(35, 38)","(35, 39)","(34, 39)","(33, 39)","(32, 39)","(31, 39)","(30, 39)","(29, 39)","(28, 39)","(27, 39)","(26, 39)","(25, 39)","(25, 38)","(25, 37)","(25, 36)","(25, 35)","(25, 34)","(24, 34)","(23, 34)","(22, 34)","(22, 33)","(22, 32)","(22, 31)","(22, 30)","(22, 29)","(21, 29)","(20, 29)","(19, 29)","(18, 29)","(18, 28)","(18, 27)","(18, 26)","(18, 25)","(18, 24)","(17, 24)","(16, 24)","(15, 24)","(14, 24)","(13, 24)","(12, 24)","(12, 23)","(12, 22)","(12, 21)","(11, 21)","(10, 21)","(10, 22)","(10, 23)","(10, 24)","(9, 24)","(9, 25)","(9, 26)","(9, 27)","(8, 27)","(8, 26)","(7, 26)","(6, 26)","(6, 27)","(6, 28)","(6, 29)","(5, 29)","(4, 29)","(4, 30)","(4, 29)","(4, 28)","(3, 28)","(2, 28)","(2, 27)","(1, 27)","(1, 26)","(1, 25)","(1, 24)","(1, 23)","(1, 22)","(1, 21)","(1, 20)","(1, 19)","(1, 18)","(1, 17)","(1, 16)","(1, 15)","(1, 14)","(1, 13)","(1, 12)","(0, 12)",,,,,,,
3,36,12,"(39, 36)","(38, 36)","(38, 37)","(38, 38)","(38, 39)","(37, 39)","(37, 38)","(37, 37)","(37, 36)","(37, 35)","(37, 34)","(37, 33)","(37, 32)","(37, 31)","(37, 30)","(37, 29)","(37, 28)","(37, 27)","(37, 26)","(37, 25)","(37, 24)","(36, 24)","(35, 24)","(35, 23)","(35, 22)","(35, 21)","(35, 20)","(34, 20)","(33, 20)","(32, 20)","(32, 21)","(32, 22)","(32, 23)","(32, 24)","(31, 24)","(30, 24)","(30, 23)","(30, 22)","(30, 21)","(30, 20)","(30, 19)","(29, 19)","(29, 18)","(29, 17)","(29, 16)","(29, 15)","(29, 14)","(28, 14)","(27, 14)","(27, 15)","(27, 16)","(27, 17)","(27, 18)","(27, 19)","(26, 19)","(25, 19)","(24, 19)","(23, 19)","(22, 19)","(22, 20)","(22, 21)","(22, 22)","(22, 21)","(21, 21)","(21, 20)","(20, 20)","(20, 19)","(19, 19)","(19, 18)","(19, 17)","(19, 16)","(19, 15)","(19, 14)","(18, 14)","(17, 14)","(16, 14)","(15, 14)","(14, 14)","(13, 14)","(12, 14)","(11, 14)","(10, 14)","(9, 14)","(8, 14)","(7, 14)","(6, 14)","(5, 14)","(4, 14)","(4, 13)","(4, 12)","(3, 12)","(2, 12)","(1, 12)","(0, 12)",,,,,,,
3,36,12,"(39, 36)","(38, 36)","(37, 36)","(36, 36)","(36, 35)","(36, 34)","(35, 34)","(34, 34)","(33, 34)","(33, 33)","(33, 32)","(32, 32)","(32, 33)","(32, 34)","(31, 34)","(31, 33)","(31, 32)","(31, 31)","(31, 30)","(31, 29)","(30, 29)","(30, 30)","(30, 31)","(30, 32)","(30, 33)","(30, 34)","(29, 34)","(28, 34)","(27, 34)","(26, 34)","(25, 34)","(24, 34)","(23, 34)","(22, 34)","(22, 33)","(22, 32)","(22, 31)","(22, 30)","(22, 29)","(21, 29)","(20, 29)","(19, 29)","(19, 28)","(19, 27)","(19, 26)","(19, 25)","(19, 24)","(18, 24)","(17, 24)","(16, 24)","(15, 24)","(14, 24)","(13, 24)","(12, 24)","(12, 23)","(12, 22)","(12, 21)","(12, 20)","(11, 20)","(11, 21)","(11, 22)","(11, 23)","(11, 24)","(10, 24)","(9, 24)","(8, 24)","(8, 25)","(8, 26)","(7, 26)","(6, 26)","(5, 26)","(4, 26)","(4, 25)","(4, 24)","(4, 23)","(4, 22)","(4, 21)","(4, 20)","(4, 19)","(4, 18)","(3, 18)","(2, 18)","(2, 17)","(2, 16)","(2, 15)","(2, 14)","(2, 13)","(2, 12)","(2, 11)","(2, 10)","(1, 10)","(1, 11)","(1, 12)","(0, 12)",,,,,,,
3,36,12,"(39, 36)","(38, 36)","(38, 35)","(37, 35)","(37, 34)","(37, 33)","(37, 32)","(37, 31)","(37, 30)","(36, 30)","(36, 29)","(36, 28)","(36, 27)","(36, 26)","(35, 26)","(35, 27)","(35, 28)","(35, 29)","(35, 30)","(35, 31)","(35, 32)","(35, 33)","(35, 34)","(34, 34)","(33, 34)","(32, 34)","(31, 34)","(30, 34)","(29, 34)","(28, 34)","(28, 35)","(28, 36)","(28, 37)","(28, 38)","(28, 39)","(27, 39)","(27, 38)","(27, 37)","(26, 37)","(25, 37)","(25, 36)","(25, 35)","(25, 34)","(24, 34)","(23, 34)","(22, 34)","(21, 34)","(20, 34)","(19, 34)","(18, 34)","(17, 34)","(16, 34)","(15, 34)","(14, 34)","(13, 34)","(13, 33)","(13, 32)","(13, 31)","(13, 30)","(13, 29)","(12, 29)","(11, 29)","(10, 29)","(9, 29)","(8, 29)","(7, 29)","(6, 29)","(5, 29)","(5, 28)","(5, 27)","(5, 26)","(5, 25)","(4, 25)","(4, 24)","(4, 23)","(4, 22)","(4, 21)","(4, 20)","(4, 19)","(4, 18)","(3, 18)","(3, 19)","(3, 20)","(3, 19)","(3, 18)","(3, 17)","(2, 17)","(1, 17)","(1, 16)","(1, 15)","(1, 14)","(1, 13)","(1, 12)","(0, 12)",,,,,,,
3,36,12,"(39, 36)","(38, 36)","(38, 35)","(38, 34)","(37, 34)","(37, 33)","(37, 32)","(36, 32)","(35, 32)","(34, 32)","(33, 32)","(33, 31)","(33, 30)","(33, 29)","(32, 29)","(32, 30)","(32, 31)","(32, 32)","(32, 33)","(32, 34)","(31, 34)","(31, 33)","(31, 32)","(31, 31)","(31, 30)","(30, 30)","(30, 31)","(30, 32)","(30, 33)","(30, 34)","(29, 34)","(28, 34)","(27, 34)","(26, 34)","(25, 34)","(24, 34)","(23, 34)","(22, 34)","(21, 34)","(20, 34)","(19, 34)","(19, 35)","(19, 36)","(19, 37)","(19, 38)","(19, 39)","(18, 39)","(17, 39)","(16, 39)","(15, 39)","(15, 38)","(15, 37)","(15, 36)","(15, 35)","(15, 34)","(14, 34)","(13, 34)","(12, 34)","(11, 34)","(10, 34)","(9, 34)","(8, 34)","(7, 34)","(6, 34)","(6, 35)","(6, 34)","(5, 34)","(4, 34)","(3, 34)","(3, 33)","(3, 32)","(2, 32)","(2, 31)","(2, 30)","(1, 30)","(1, 29)","(1, 28)","(1, 27)","(1, 26)","(1, 25)","(1, 24)","(1, 23)","(1, 22)","(1, 21)","(1, 20)","(1, 19)","(1, 18)","(1, 17)","(1, 16)","(1, 15)","(1, 14)","(1, 13)","(1, 12)","(0, 12)",,,,,,,
3,36,12,"(39, 36)","(38, 36)","(38, 37)","(38, 38)","(38, 39)","(37, 39)","(36, 39)","(35, 39)","(34, 39)","(33, 39)","(32, 39)","(31, 39)","(30, 39)","(29, 39)","(28, 39)","(27, 39)","(26, 39)","(26, 38)","(26, 37)","(26, 36)","(26, 35)","(26, 34)","(25, 34)","(24, 34)","(23, 34)","(22, 34)","(21, 34)","(20, 34)","(20, 33)","(20, 32)","(20, 31)","(20, 30)","(20, 29)","(19, 29)","(18, 29)","(18, 28)","(18, 27)","(18, 26)","(18, 25)","(18, 24)","(17, 24)","(16, 24)","(15, 24)","(15, 25)","(15, 26)","(15, 27)","(15, 28)","(15, 29)","(14, 29)","(13, 29)","(12, 29)","(11, 29)","(11, 30)","(11, 31)","(11, 32)","(11, 33)","(11, 34)","(10, 34)","(9, 34)","(8, 34)","(7, 34)","(7, 35)","(7, 36)","(7, 35)","(7, 34)","(6, 34)","(5, 34)","(4, 34)","(3, 34)","(2, 34)","(2, 33)","(2, 32)","(2, 31)","(1, 31)","(1, 30)","(1, 29)","(1, 28)","(1, 27)","(1, 26)","(1, 25)","(1, 24)","(1, 23)","(1, 22)","(1, 21)","(1, 20)","(1, 19)","(1, 18)","(1, 17)","(1, 16)","(1, 15)","(1, 14)","(1, 13)","(1, 12)","(0, 12)",,,,,,,
3,36,12,"(39, 36)","(38, 36)","(38, 35)","(38, 34)","(37, 34)","(37, 33)","(37, 32)","(37, 31)","(37, 30)","(37, 29)","(37, 28)","(37, 27)","(36, 27)","(36, 28)","(36, 29)","(35, 29)","(34, 29)","(33, 29)","(33, 30)","(33, 31)","(33, 32)","(33, 33)","(32, 33)","(31, 33)","(30, 33)","(30, 34)","(29, 34)","(28, 34)","(28, 35)","(27, 35)","(27, 36)","(27, 37)","(26, 37)","(25, 37)","(25, 36)","(25, 35)","(25, 34)","(24, 34)","(23, 34)","(22, 34)","(22, 33)","(22, 32)","(21, 32)","(20, 32)","(20, 31)","(20, 30)","(20, 29)","(19, 29)","(18, 29)","(17, 29)","(16, 29)","(15, 29)","(14, 29)","(13, 29)","(12, 29)","(11, 29)","(10, 29)","(9, 29)","(8, 29)","(7, 29)","(6, 29)","(5, 29)","(4, 29)","(4, 28)","(4, 27)","(4, 26)","(4, 25)","(4, 24)","(4, 23)","(3, 23)","(2, 23)","(2, 24)","(2, 25)","(2, 26)","(2, 27)","(2, 28)","(2, 27)","(1, 27)","(1, 26)","(1, 25)","(1, 24)","(1, 23)","(1, 22)","(1, 21)","(1, 20)","(1, 19)","(1, 18)","(1, 17)","(1, 16)","(1, 15)","(1, 14)","(1, 13)","(1, 12)","(0, 12)",,,,,,,
3,36,12,"(39, 36)","(38, 36)","(38, 37)","(38, 38)","(38, 39)","(37, 39)","(36, 39)","(35, 39)","(35, 38)","(35, 37)","(35, 36)","(35, 35)","(35, 34)","(35, 33)","(35, 32)","(34, 32)","(34, 33)","(34, 34)","(33, 34)","(33, 33)","(33, 32)","(33, 31)","(33, 30)","(33, 29)","(32, 29)","(31, 29)","(30, 29)","(29, 29)","(28, 29)","(27, 29)","(26, 29)","(25, 29)","(24, 29)","(23, 29)","(22, 29)","(21, 29)","(20, 29)","(20, 30)","(20, 31)","(20, 32)","(20, 33)","(20, 34)","(19, 34)","(19, 35)","(19, 36)","(19, 37)","(19, 38)","(19, 39)","(19, 38)","(19, 37)","(18, 37)","(17, 37)","(17, 36)","(17, 35)","(17, 34)","(16, 34)","(15, 34)","(14, 34)","(13, 34)","(13, 33)","(12, 33)","(12, 32)","(12, 31)","(11, 31)","(11, 30)","(11, 29)","(10, 29)","(9, 29)","(8, 29)","(8, 28)","(7, 28)","(7, 27)","(7, 26)","(7, 25)","(6, 25)","(5, 25)","(4, 25)","(4, 24)","(3, 24)","(2, 24)","(2, 23)","(2, 22)","(2, 21)","(1, 21)","(1, 20)","(1, 19)","(1, 18)","(1, 17)","(1, 16)","(1, 15)","(1, 14)","(1, 13)","(1, 12)","(0, 12)",,,,,,,
3,36,12,"(39, 36)","(38, 36)","(38, 37)","(38, 38)","(37, 38)","(36, 38)","(36, 39)","(35, 39)","(34, 39)","(33, 39)","(32, 39)","(31, 39)","(30, 39)","(29, 39)","(28, 39)","(27, 39)","(26, 39)","(26, 38)","(26, 37)","(25, 37)","(25, 38)","(25, 39)","(24, 39)","(23, 39)","(22, 39)","(21, 39)","(20, 39)","(19, 39)","(18, 39)","(18, 38)","(18, 37)","(18, 36)","(18, 35)","(17, 35)","(16, 35)","(16, 36)","(16, 37)","(15, 37)","(15, 38)","(15, 39)","(14, 39)","(13, 39)","(12, 39)","(11, 39)","(10, 39)","(9, 39)","(9, 38)","(9, 37)","(9, 36)","(9, 35)","(9, 34)","(8, 34)","(8, 35)","(8, 36)","(8, 37)","(7, 37)","(6, 37)","(6, 36)","(6, 35)","(6, 34)","(5, 34)","(4, 34)","(4, 35)","(3, 35)","(3, 36)","(3, 37)","(2, 37)","(1, 37)","(1, 36)","(1, 35)","(1, 34)","(1, 33)","(1, 32)","(1, 31)","(1, 30)","(1, 29)","(1, 28)","(1, 27)","(1, 26)","(1, 25)","(1, 24)","(1, 23)","(1, 22)","(1, 21)","(1, 20)","(1, 19)","(1, 18)","(1, 17)","(1, 16)","(1, 15)","(1, 14)","(1, 13)","(1, 12)","(0, 12)",,,,,,,
3,36,12,"(39, 36)","(38, 36)","(38, 35)","(37, 35)","(37, 34)","(36, 34)","(36, 33)","(36, 32)","(35, 32)","(35, 33)","(35, 34)","(35, 35)","(35, 36)","(35, 37)","(35, 38)","(35, 39)","(34, 39)","(33, 39)","(32, 39)","(31, 39)","(30, 39)","(29, 39)","(28, 39)","(28, 38)","(28, 37)","(28, 36)","(28, 35)","(27, 35)","(26, 35)","(25, 35)","(25, 34)","(24, 34)","(24, 33)","(24, 32)","(24, 31)","(24, 30)","(24, 29)","(23, 29)","(23, 30)","(23, 31)","(22, 31)","(21, 31)","(20, 31)","(20, 32)","(20, 33)","(20, 34)","(19, 34)","(18, 34)","(17, 34)","(16, 34)","(15, 34)","(14, 34)","(13, 34)","(12, 34)","(11, 34)","(11, 33)","(11, 32)","(11, 31)","(11, 30)","(11, 29)","(10, 29)","(9, 29)","(9, 28)","(9, 27)","(8, 27)","(8, 26)","(8, 25)","(8, 24)","(7, 24)","(6, 24)","(5, 24)","(4, 24)","(4, 25)","(4, 26)","(4, 27)","(3, 27)","(3, 26)","(2, 26)","(2, 25)","(1, 25)","(1, 24)","(1, 23)","(1, 22)","(1, 21)","(1, 20)","(1, 19)","(1, 18)","(1, 17)","(1, 16)","(1, 15)","(1, 14)","(1, 13)","(1, 12)","(0, 12)",,,,,,,
