warehouse_id,source_id,destination_id,time=0,time=1,time=2,time=3,time=4,time=5,time=6,time=7,time=8,time=9,time=10,time=11,time=12,time=13,time=14,time=15,time=16,time=17,time=18,time=19,time=20,time=21,time=22,time=23,time=24,time=25,time=26,time=27,time=28,time=29,time=30,time=31,time=32,time=33,time=34,time=35,time=36,time=37,time=38,time=39,time=40,time=41,time=42,time=43,time=44,time=45,time=46,time=47,time=48,time=49,time=50,time=51,time=52,time=53,time=54,time=55,time=56,time=57,time=58,time=59,time=60,time=61,time=62,time=63,time=64,time=65,time=66
3,2,3,"(39, 2)","(38, 2)","(38, 3)","(38, 4)","(38, 5)","(38, 6)","(38, 7)","(38, 8)","(38, 9)","(37, 9)","(36, 9)","(35, 9)","(35, 8)","(35, 7)","(35, 6)","(35, 5)","(35, 4)","(35, 3)","(35, 2)","(34, 2)","(34, 3)","(34, 4)","(33, 4)","(32, 4)","(31, 4)","(30, 4)","(29, 4)","(28, 4)","(27, 4)","(26, 4)","(25, 4)","(24, 4)","(23, 4)","(22, 4)","(21, 4)","(20, 4)","(20, 3)","(20, 2)","(20, 1)","(20, 2)","(20, 3)","(20, 4)","(19, 4)","(18, 4)","(17, 4)","(16, 4)","(15, 4)","(14, 4)","(13, 4)","(12, 4)","(11, 4)","(10, 4)","(9, 4)","(8, 4)","(7, 4)","(6, 4)","(5, 4)","(4, 4)","(4, 3)","(3, 3)","(2, 3)","(1, 3)","(0, 3)",,,,
3,2,3,"(39, 2)","(38, 2)","(38, 1)","(38, 0)","(37, 0)","(36, 0)","(35, 0)","(34, 0)","(33, 0)","(32, 0)","(32, 1)","(32, 2)","(32, 3)","(32, 4)","(31, 4)","(30, 4)","(29, 4)","(29, 5)","(29, 6)","(29, 7)","(29, 8)","(29, 9)","(28, 9)","(27, 9)","(26, 9)","(26, 8)","(26, 7)","(26, 6)","(25, 6)","(25, 5)","(25, 4)","(24, 4)","(23, 4)","(22, 4)","(22, 3)","(22, 2)","(22, 1)","(22, 2)","(22, 3)","(22, 4)","(21, 4)","(20, 4)","(19, 4)","(18, 4)","(17, 4)","(16, 4)","(15, 4)","(14, 4)","(13, 4)","(12, 4)","(11, 4)","(10, 4)","(9, 4)","(8, 4)","(7, 4)","(6, 4)","(5, 4)","(4, 4)","(4, 3)","(3, 3)","(2, 3)","(1, 3)","(0, 3)",,,,
3,2,3,"(39, 2)","(38, 2)","(37, 2)","(37, 1)","(37, 0)","(36, 0)","(36, 1)","(36, 2)","(36, 3)","(36, 4)","(36, 5)","(35, 5)","(35, 6)","(35, 7)","(35, 8)","(35, 9)","(35, 10)","(35, 11)","(35, 12)","(34, 12)","(33, 12)","(32, 12)","(32, 11)","(31, 11)","(30, 11)","(30, 10)","(30, 9)","(29, 9)","(29, 8)","(28, 8)","(27, 8)","(27, 7)","(26, 7)","(25, 7)","(25, 6)","(25, 5)","(25, 4)","(24, 4)","(23, 4)","(22, 4)","(21, 4)","(20, 4)","(19, 4)","(18, 4)","(17, 4)","(16, 4)","(15, 4)","(14, 4)","(13, 4)","(12, 4)","(11, 4)","(10, 4)","(9, 4)","(8, 4)","(7, 4)","(6, 4)","(5, 4)","(4, 4)","(4, 3)","(3, 3)","(2, 3)","(1, 3)","(0, 3)",,,,
3,2,3,"(39, 2)","(38, 2)","(38, 3)","(38, 4)","(38, 5)","(38, 6)","(38, 7)","(37, 7)","(36, 7)","(35, 7)","(35, 6)","(35, 5)","(35, 4)","(35, 3)","(35, 2)","(35, 1)","(35, 0)","(34, 0)","(33, 0)","(32, 0)","(31, 0)","(30, 0)","(30, 1)","(30, 2)","(30, 3)","(30, 4)","(29, 4)","(28, 4)","(28, 5)","(28, 6)","(28, 7)","(27, 7)","(27, 6)","(26, 6)","(26, 5)","(25, 5)","(25, 4)","(24, 4)","(23, 4)","(22, 4)","(21, 4)","(20, 4)","(19, 4)","(18, 4)","(17, 4)","(16, 4)","(15, 4)","(14, 4)","(13, 4)","(12, 4)","(11, 4)","(10, 4)","(9, 4)","(8, 4)","(7, 4)","(6, 4)","(5, 4)","(4, 4)","(4, 3)","(3, 3)","(2, 3)","(1, 3)","(0, 3)",,,,
3,2,3,"(39, 2)","(38, 2)","(38, 3)","(38, 4)","(38, 5)","(38, 6)","(38, 7)","(38, 8)","(38, 9)","(38, 10)","(38, 11)","(38, 12)","(38, 13)","(37, 13)","(36, 13)","(36, 12)","(35, 12)","(35, 11)","(35, 10)","(35, 9)","(35, 8)","(35, 7)","(35, 6)","(35, 5)","(35, 4)","(35, 3)","(34, 3)","(34, 4)","(33, 4)","(32, 4)","(31, 4)","(30, 4)","(29, 4)","(28, 4)","(27, 4)","(26, 4)","(25, 4)","(24, 4)","(23, 4)","(22, 4)","(21, 4)","(20, 4)","(19, 4)","(18, 4)","(17, 4)","(16, 4)","(15, 4)","(14, 4)","(13, 4)","(12, 4)","(11, 4)","(10, 4)","(9, 4)","(8, 4)","(7, 4)","(6, 4)","(5, 4)","(4, 4)","(3, 4)","(2, 4)","(2, 3)","(1, 3)","(0, 3)",,,,
3,2,3,"(39, 2)","(38, 2)","(38, 1)","(38, 0)","(37, 0)","(36, 0)","(35, 0)","(35, 1)","(35, 2)","(35, 3)","(35, 4)","(35, 5)","(35, 6)","(35, 7)","(35, 8)","(35, 9)","(34, 9)","(33, 9)","(32, 9)","(32, 10)","(32, 11)","(31, 11)","(30, 11)","(30, 10)","(30, 9)","(29, 9)","(28, 9)","(27, 9)","(26, 9)","(25, 9)","(24, 9)","(23, 9)","(22, 9)","(21, 9)","(20, 9)","(19, 9)","(18, 9)","(17, 9)","(16, 9)","(15, 9)","(14, 9)","(14, 10)","(14, 9)","(13, 9)","(12, 9)","(11, 9)","(10, 9)","(9, 9)","(8, 9)","(7, 9)","(7, 8)","(6, 8)","(5, 8)","(5, 7)","(5, 6)","(5, 5)","(4, 5)","(4, 4)","(4, 3)","(3, 3)","(2, 3)","(1, 3)","(0, 3)",,,,
3,2,3,"(39, 2)","(38, 2)","(38, 3)","(38, 4)","(37, 4)","(37, 3)","(37, 2)","(37, 1)","(37, 0)","(36, 0)","(35, 0)","(35, 1)","(35, 2)","(35, 3)","(35, 4)","(35, 5)","(35, 6)","(35, 7)","(35, 8)","(35, 9)","(35, 10)","(34, 10)","(34, 9)","(33, 9)","(32, 9)","(31, 9)","(30, 9)","(29, 9)","(29, 8)","(28, 8)","(27, 8)","(27, 7)","(27, 6)","(26, 6)","(25, 6)","(25, 5)","(25, 4)","(24, 4)","(23, 4)","(22, 4)","(21, 4)","(20, 4)","(19, 4)","(18, 4)","(17, 4)","(16, 4)","(15, 4)","(14, 4)","(13, 4)","(12, 4)","(11, 4)","(10, 4)","(9, 4)","(8, 4)","(7, 4)","(6, 4)","(5, 4)","(4, 4)","(3, 4)","(2, 4)","(1, 4)","(1, 3)","(0, 3)",,,,
3,2,3,"(39, 2)","(38, 2)","(38, 3)","(37, 3)","(36, 3)","(35, 3)","(35, 2)","(35, 1)","(35, 0)","(34, 0)","(33, 0)","(32, 0)","(32, 1)","(32, 2)","(32, 3)","(32, 4)","(31, 4)","(31, 3)","(31, 2)","(31, 1)","(31, 0)","(30, 0)","(30, 1)","(30, 2)","(30, 3)","(30, 4)","(29, 4)","(29, 5)","(29, 6)","(29, 7)","(29, 6)","(29, 5)","(28, 5)","(27, 5)","(27, 4)","(26, 4)","(25, 4)","(24, 4)","(23, 4)","(22, 4)","(21, 4)","(20, 4)","(19, 4)","(18, 4)","(17, 4)","(16, 4)","(15, 4)","(14, 4)","(13, 4)","(12, 4)","(11, 4)","(10, 4)","(9, 4)","(8, 4)","(7, 4)","(6, 4)","(5, 4)","(4, 4)","(3, 4)","(2, 4)","(2, 3)","(1, 3)","(0, 3)",,,,
3,2,3,"(39, 2)","(38, 2)","(38, 3)","(38, 4)","(38, 5)","(38, 6)","(38, 7)","(38, 8)","(38, 9)","(38, 10)","(38, 11)","(38, 12)","(38, 13)","(38, 14)","(38, 13)","(37, 13)","(37, 12)","(36, 12)","(36, 11)","(35, 11)","(35, 10)","(34, 10)","(34, 9)","(33, 9)","(32, 9)","(31, 9)","(30, 9)","(29, 9)","(28, 9)","(28, 8)","(27, 8)","(26, 8)","(25, 8)","(25, 7)","(25, 6)","(25, 5)","(25, 4)","(24, 4)","(23, 4)","(22, 4)","(21, 4)","(20, 4)","(19, 4)","(18, 4)","(17, 4)","(16, 4)","(15, 4)","(14, 4)","(13, 4)","(12, 4)","(11, 4)","(10, 4)","(9, 4)","(8, 4)","(7, 4)","(6, 4)","(5, 4)","(4, 4)","(4, 3)","(3, 3)","(2, 3)","(1, 3)","(0, 3)",,,,
3,2,3,"(39, 2)","(38, 2)","(37, 2)","(36, 2)","(35, 2)","(35, 3)","(34, 3)","(33, 3)","(32, 3)","(32, 4)","(31, 4)","(31, 3)","(31, 2)","(31, 1)","(31, 0)","(30, 0)","(30, 1)","(30, 2)","(30, 3)","(30, 4)","(29, 4)","(29, 5)","(29, 6)","(29, 7)","(29, 8)","(29, 9)","(28, 9)","(27, 9)","(26, 9)","(26, 8)","(25, 8)","(25, 7)","(25, 6)","(25, 5)","(25, 4)","(24, 4)","(24, 3)","(24, 4)","(23, 4)","(22, 4)","(21, 4)","(20, 4)","(19, 4)","(18, 4)","(17, 4)","(16, 4)","(15, 4)","(14, 4)","(13, 4)","(12, 4)","(11, 4)","(10, 4)","(9, 4)","(8, 4)","(7, 4)","(6, 4)","(5, 4)","(4, 4)","(4, 3)","(3, 3)","(2, 3)","(1, 3)","(0, 3)",,,,
