warehouse_id,source_id,destination_id,time=0,time=1,time=2,time=3,time=4,time=5,time=6,time=7,time=8,time=9,time=10,time=11,time=12,time=13,time=14,time=15,time=16,time=17,time=18,time=19,time=20,time=21,time=22,time=23,time=24,time=25,time=26,time=27,time=28,time=29,time=30,time=31,time=32,time=33,time=34,time=35,time=36,time=37,time=38,time=39,time=40,time=41,time=42,time=43,time=44,time=45,time=46,time=47,time=48,time=49,time=50,time=51,time=52,time=53,time=54,time=55,time=56,time=57,time=58,time=59,time=60,time=61,time=62,time=63,time=64,time=65,time=66,time=67,time=68,time=69
3,15,18,"(39, 15)","(38, 15)","(37, 15)","(37, 14)","(36, 14)","(36, 13)","(36, 12)","(36, 11)","(36, 10)","(35, 10)","(34, 10)","(33, 10)","(33, 9)","(32, 9)","(31, 9)","(31, 10)","(31, 11)","(31, 12)","(31, 13)","(31, 14)","(30, 14)","(29, 14)","(28, 14)","(27, 14)","(26, 14)","(25, 14)","(24, 14)","(24, 13)","(23, 13)","(22, 13)","(22, 12)","(22, 11)","(21, 11)","(20, 11)","(20, 12)","(20, 13)","(20, 14)","(19, 14)","(19, 15)","(19, 16)","(18, 16)","(17, 16)","(17, 15)","(17, 14)","(16, 14)","(15, 14)","(14, 14)","(13, 14)","(12, 14)","(11, 14)","(10, 14)","(9, 14)","(9, 15)","(8, 15)","(8, 16)","(8, 17)","(7, 17)","(7, 18)","(6, 18)","(5, 18)","(4, 18)","(3, 18)","(2, 18)","(1, 18)","(0, 18)",,,,,
3,15,18,"(39, 15)","(38, 15)","(38, 14)","(37, 14)","(37, 15)","(37, 16)","(37, 17)","(37, 18)","(37, 19)","(37, 20)","(36, 20)","(36, 19)","(36, 18)","(36, 17)","(36, 16)","(35, 16)","(35, 17)","(35, 18)","(35, 19)","(35, 20)","(35, 21)","(35, 22)","(35, 23)","(34, 23)","(33, 23)","(33, 22)","(33, 21)","(33, 20)","(32, 20)","(31, 20)","(30, 20)","(30, 21)","(30, 20)","(30, 19)","(29, 19)","(28, 19)","(27, 19)","(26, 19)","(25, 19)","(24, 19)","(23, 19)","(22, 19)","(21, 19)","(20, 19)","(19, 19)","(18, 19)","(17, 19)","(16, 19)","(15, 19)","(14, 19)","(13, 19)","(12, 19)","(11, 19)","(10, 19)","(9, 19)","(9, 18)","(8, 18)","(7, 18)","(6, 18)","(5, 18)","(4, 18)","(3, 18)","(2, 18)","(1, 18)","(0, 18)",,,,,
3,15,18,"(39, 15)","(38, 15)","(38, 16)","(38, 17)","(37, 17)","(37, 16)","(37, 15)","(37, 14)","(37, 13)","(37, 12)","(37, 11)","(37, 10)","(37, 9)","(37, 8)","(36, 8)","(35, 8)","(35, 7)","(35, 6)","(35, 7)","(35, 8)","(35, 9)","(34, 9)","(34, 10)","(34, 11)","(34, 12)","(34, 13)","(34, 14)","(33, 14)","(32, 14)","(31, 14)","(30, 14)","(29, 14)","(28, 14)","(27, 14)","(26, 14)","(25, 14)","(24, 14)","(23, 14)","(22, 14)","(21, 14)","(20, 14)","(19, 14)","(18, 14)","(17, 14)","(16, 14)","(15, 14)","(14, 14)","(13, 14)","(12, 14)","(11, 14)","(10, 14)","(9, 14)","(8, 14)","(8, 15)","(7, 15)","(6, 15)","(6, 16)","(5, 16)","(5, 17)","(5, 18)","(4, 18)","(3, 18)","(2, 18)","(1, 18)","(0, 18)",,,,,
3,15,18,"(39, 15)","(38, 15)","(38, 16)","(37, 16)","(37, 17)","(36, 17)","(36, 18)","(36, 19)","(36, 20)","(36, 21)","(36, 22)","(36, 23)","(36, 24)","(36, 25)","(36, 26)","(36, 27)","(35, 27)","(35, 26)","(35, 25)","(35, 24)","(35, 23)","(35, 22)","(35, 21)","(35, 20)","(34, 20)","(33, 20)","(32, 20)","(31, 20)","(30, 20)","(30, 19)","(29, 19)","(28, 19)","(28, 18)","(28, 17)","(28, 18)","(27, 18)","(26, 18)","(26, 19)","(25, 19)","(24, 19)","(23, 19)","(22, 19)","(21, 19)","(20, 19)","(19, 19)","(18, 19)","(17, 19)","(16, 19)","(15, 19)","(14, 19)","(13, 19)","(12, 19)","(11, 19)","(10, 19)","(9, 19)","(8, 19)","(7, 19)","(6, 19)","(5, 19)","(5, 18)","(4, 18)","(3, 18)","(2, 18)","(1, 18)","(0, 18)",,,,,
3,15,18,"(39, 15)","(38, 15)","(37, 15)","(37, 14)","(37, 13)","(36, 13)","(35, 13)","(34, 13)","(33, 13)","(32, 13)","(31, 13)","(30, 13)","(30, 12)","(30, 11)","(30, 10)","(30, 9)","(29, 9)","(28, 9)","(27, 9)","(27, 8)","(27, 7)","(27, 6)","(27, 5)","(27, 4)","(26, 4)","(26, 5)","(26, 6)","(26, 7)","(25, 7)","(25, 8)","(25, 9)","(24, 9)","(23, 9)","(22, 9)","(22, 10)","(21, 10)","(21, 11)","(20, 11)","(20, 12)","(20, 13)","(20, 14)","(19, 14)","(18, 14)","(17, 14)","(16, 14)","(15, 14)","(14, 14)","(13, 14)","(12, 14)","(11, 14)","(10, 14)","(9, 14)","(9, 15)","(8, 15)","(8, 16)","(8, 17)","(8, 18)","(7, 18)","(6, 18)","(5, 18)","(4, 18)","(3, 18)","(2, 18)","(1, 18)","(0, 18)",,,,,
3,15,18,"(39, 15)","(38, 15)","(38, 14)","(37, 14)","(37, 15)","(36, 15)","(35, 15)","(35, 14)","(35, 13)","(35, 12)","(35, 11)","(35, 10)","(35, 9)","(34, 9)","(34, 10)","(34, 11)","(34, 12)","(34, 13)","(34, 14)","(33, 14)","(32, 14)","(32, 13)","(31, 13)","(30, 13)","(30, 14)","(29, 14)","(28, 14)","(27, 14)","(26, 14)","(25, 14)","(24, 14)","(23, 14)","(22, 14)","(21, 14)","(20, 14)","(19, 14)","(18, 14)","(17, 14)","(16, 14)","(15, 14)","(14, 14)","(14, 13)","(14, 12)","(14, 11)","(14, 12)","(14, 13)","(13, 13)","(12, 13)","(11, 13)","(11, 14)","(10, 14)","(9, 14)","(8, 14)","(7, 14)","(7, 15)","(6, 15)","(5, 15)","(4, 15)","(4, 16)","(4, 17)","(3, 17)","(2, 17)","(2, 18)","(1, 18)","(0, 18)",,,,,
3,15,18,"(39, 15)","(38, 15)","(38, 14)","(37, 14)","(37, 15)","(36, 15)","(35, 15)","(35, 16)","(35, 17)","(35, 18)","(35, 19)","(35, 20)","(34, 20)","(34, 19)","(33, 19)","(32, 19)","(31, 19)","(31, 20)","(31, 21)","(31, 22)","(30, 22)","(30, 23)","(30, 24)","(29, 24)","(28, 24)","(27, 24)","(26, 24)","(26, 25)","(26, 26)","(26, 27)","(26, 26)","(25, 26)","(25, 25)","(25, 24)","(24, 24)","(24, 23)","(23, 23)","(23, 22)","(23, 21)","(22, 21)","(22, 20)","(22, 19)","(21, 19)","(20, 19)","(19, 19)","(18, 19)","(17, 19)","(16, 19)","(15, 19)","(14, 19)","(13, 19)","(12, 19)","(11, 19)","(10, 19)","(9, 19)","(9, 18)","(8, 18)","(7, 18)","(6, 18)","(5, 18)","(4, 18)","(3, 18)","(2, 18)","(1, 18)","(0, 18)",,,,,
3,15,18,"(39, 15)","(38, 15)","(37, 15)","(36, 15)","(35, 15)","(35, 14)","(34, 14)","(33, 14)","(33, 13)","(33, 12)","(33, 11)","(33, 10)","(33, 9)","(32, 9)","(31, 9)","(31, 10)","(31, 11)","(31, 12)","(31, 13)","(30, 13)","(30, 14)","(29, 14)","(29, 15)","(29, 16)","(29, 17)","(29, 18)","(28, 18)","(27, 18)","(27, 19)","(26, 19)","(25, 19)","(24, 19)","(23, 19)","(22, 19)","(22, 20)","(22, 21)","(21, 21)","(21, 22)","(21, 23)","(21, 22)","(21, 21)","(20, 21)","(20, 20)","(20, 19)","(19, 19)","(18, 19)","(17, 19)","(16, 19)","(15, 19)","(14, 19)","(13, 19)","(12, 19)","(11, 19)","(10, 19)","(9, 19)","(8, 19)","(8, 18)","(7, 18)","(6, 18)","(5, 18)","(4, 18)","(3, 18)","(2, 18)","(1, 18)","(0, 18)",,,,,
3,15,18,"(39, 15)","(38, 15)","(38, 14)","(37, 14)","(37, 13)","(37, 12)","(37, 11)","(37, 10)","(36, 10)","(35, 10)","(34, 10)","(33, 10)","(32, 10)","(31, 10)","(30, 10)","(30, 11)","(30, 12)","(30, 13)","(30, 14)","(29, 14)","(28, 14)","(27, 14)","(26, 14)","(26, 15)","(26, 16)","(25, 16)","(25, 15)","(25, 14)","(24, 14)","(23, 14)","(23, 13)","(23, 12)","(23, 11)","(23, 10)","(23, 11)","(22, 11)","(21, 11)","(20, 11)","(20, 12)","(20, 13)","(20, 14)","(19, 14)","(18, 14)","(17, 14)","(16, 14)","(15, 14)","(14, 14)","(13, 14)","(12, 14)","(11, 14)","(10, 14)","(9, 14)","(8, 14)","(7, 14)","(6, 14)","(6, 15)","(6, 16)","(6, 17)","(5, 17)","(5, 18)","(4, 18)","(3, 18)","(2, 18)","(1, 18)","(0, 18)",,,,,
3,15,18,"(39, 15)","(38, 15)","(38, 14)","(37, 14)","(37, 13)","(37, 12)","(37, 11)","(37, 10)","(37, 9)","(37, 8)","(37, 7)","(37, 6)","(37, 5)","(37, 4)","(37, 5)","(37, 6)","(37, 7)","(36, 7)","(36, 8)","(35, 8)","(35, 9)","(35, 10)","(34, 10)","(33, 10)","(33, 11)","(32, 11)","(32, 12)","(32, 13)","(31, 13)","(30, 13)","(30, 14)","(29, 14)","(28, 14)","(27, 14)","(26, 14)","(25, 14)","(24, 14)","(23, 14)","(22, 14)","(21, 14)","(20, 14)","(19, 14)","(18, 14)","(17, 14)","(16, 14)","(15, 14)","(14, 14)","(13, 14)","(12, 14)","(11, 14)","(10, 14)","(9, 14)","(9, 15)","(8, 15)","(7, 15)","(6, 15)","(5, 15)","(5, 16)","(4, 16)","(3, 16)","(2, 16)","(1, 16)","(1, 17)","(1, 18)","(0, 18)",,,,,
