warehouse_id,source_id,destination_id,time=0,time=1,time=2,time=3,time=4,time=5,time=6,time=7,time=8,time=9,time=10,time=11,time=12,time=13,time=14,time=15,time=16,time=17,time=18,time=19,time=20,time=21,time=22,time=23,time=24,time=25,time=26,time=27,time=28,time=29,time=30,time=31,time=32,time=33,time=34,time=35,time=36,time=37,time=38,time=39,time=40,time=41,time=42,time=43,time=44,time=45,time=46,time=47,time=48,time=49,time=50,time=51,time=52,time=53,time=54,time=55,time=56,time=57,time=58,time=59,time=60,time=61,time=62,time=63,time=64,time=65,time=66,time=67,time=68,time=69,time=70,time=71,time=72,time=73,time=74,time=75,time=76,time=77,time=78,time=79
3,21,32,"(39, 21)","(38, 21)","(37, 21)","(37, 22)","(36, 22)","(36, 23)","(36, 24)","(35, 24)","(35, 23)","(35, 22)","(35, 21)","(35, 20)","(34, 20)","(33, 20)","(32, 20)","(32, 19)","(31, 19)","(31, 20)","(31, 21)","(31, 22)","(31, 23)","(31, 24)","(30, 24)","(29, 24)","(28, 24)","(28, 25)","(28, 26)","(28, 27)","(28, 28)","(28, 29)","(27, 29)","(26, 29)","(25, 29)","(24, 29)","(24, 30)","(23, 30)","(22, 30)","(21, 30)","(20, 30)","(20, 31)","(20, 32)","(20, 33)","(20, 34)","(19, 34)","(19, 35)","(19, 36)","(18, 36)","(17, 36)","(16, 36)","(16, 35)","(16, 34)","(15, 34)","(14, 34)","(13, 34)","(13, 33)","(13, 32)","(13, 31)","(13, 32)","(12, 32)","(12, 33)","(12, 34)","(11, 34)","(10, 34)","(9, 34)","(8, 34)","(7, 34)","(6, 34)","(5, 34)","(4, 34)","(3, 34)","(3, 33)","(2, 33)","(2, 32)","(1, 32)","(0, 32)",,,,,
3,21,32,"(39, 21)","(38, 21)","(38, 22)","(38, 23)","(37, 23)","(37, 24)","(36, 24)","(36, 23)","(36, 22)","(36, 21)","(36, 20)","(36, 19)","(36, 18)","(36, 17)","(36, 16)","(36, 15)","(35, 15)","(35, 16)","(35, 17)","(35, 18)","(35, 19)","(35, 20)","(35, 21)","(35, 22)","(34, 22)","(33, 22)","(32, 22)","(31, 22)","(30, 22)","(30, 21)","(30, 20)","(30, 19)","(30, 20)","(30, 21)","(30, 22)","(30, 23)","(30, 24)","(29, 24)","(28, 24)","(27, 24)","(26, 24)","(26, 25)","(26, 26)","(26, 27)","(26, 28)","(25, 28)","(25, 29)","(24, 29)","(23, 29)","(22, 29)","(21, 29)","(20, 29)","(19, 29)","(18, 29)","(17, 29)","(16, 29)","(15, 29)","(14, 29)","(13, 29)","(12, 29)","(11, 29)","(10, 29)","(9, 29)","(8, 29)","(7, 29)","(6, 29)","(5, 29)","(4, 29)","(3, 29)","(3, 30)","(3, 31)","(2, 31)","(2, 32)","(1, 32)","(0, 32)",,,,,
3,21,32,"(39, 21)","(38, 21)","(37, 21)","(37, 20)","(37, 19)","(37, 18)","(37, 17)","(37, 16)","(37, 15)","(37, 14)","(37, 13)","(37, 12)","(36, 12)","(36, 13)","(36, 14)","(35, 14)","(34, 14)","(33, 14)","(32, 14)","(31, 14)","(30, 14)","(29, 14)","(29, 15)","(29, 16)","(29, 17)","(29, 18)","(29, 19)","(28, 19)","(27, 19)","(27, 18)","(27, 17)","(27, 16)","(26, 16)","(25, 16)","(25, 17)","(25, 18)","(25, 19)","(24, 19)","(23, 19)","(23, 20)","(22, 20)","(21, 20)","(20, 20)","(20, 21)","(20, 22)","(20, 23)","(20, 24)","(19, 24)","(18, 24)","(18, 25)","(18, 26)","(17, 26)","(16, 26)","(15, 26)","(15, 27)","(15, 28)","(15, 29)","(14, 29)","(13, 29)","(12, 29)","(11, 29)","(10, 29)","(9, 29)","(8, 29)","(7, 29)","(6, 29)","(5, 29)","(4, 29)","(4, 30)","(3, 30)","(3, 31)","(3, 32)","(2, 32)","(1, 32)","(0, 32)",,,,,
3,21,32,"(39, 21)","(38, 21)","(38, 20)","(38, 19)","(38, 18)","(38, 17)","(38, 16)","(38, 15)","(38, 14)","(37, 14)","(37, 13)","(37, 12)","(37, 11)","(37, 10)","(37, 9)","(37, 10)","(37, 11)","(37, 12)","(36, 12)","(35, 12)","(34, 12)","(34, 13)","(33, 13)","(32, 13)","(32, 14)","(31, 14)","(30, 14)","(29, 14)","(29, 15)","(28, 15)","(28, 16)","(27, 16)","(27, 17)","(27, 18)","(26, 18)","(25, 18)","(25, 19)","(24, 19)","(23, 19)","(23, 20)","(22, 20)","(21, 20)","(20, 20)","(20, 21)","(20, 22)","(20, 23)","(20, 24)","(19, 24)","(18, 24)","(18, 25)","(17, 25)","(16, 25)","(16, 26)","(15, 26)","(15, 27)","(15, 28)","(15, 29)","(14, 29)","(13, 29)","(12, 29)","(11, 29)","(10, 29)","(9, 29)","(8, 29)","(7, 29)","(6, 29)","(5, 29)","(4, 29)","(4, 30)","(4, 31)","(3, 31)","(3, 32)","(2, 32)","(1, 32)","(0, 32)",,,,,
3,21,32,"(39, 21)","(38, 21)","(37, 21)","(37, 20)","(37, 19)","(37, 18)","(37, 17)","(37, 16)","(37, 15)","(36, 15)","(35, 15)","(35, 16)","(35, 17)","(35, 18)","(35, 19)","(34, 19)","(33, 19)","(33, 20)","(32, 20)","(31, 20)","(30, 20)","(30, 19)","(29, 19)","(28, 19)","(27, 19)","(26, 19)","(26, 18)","(26, 17)","(26, 16)","(26, 15)","(26, 14)","(26, 15)","(26, 16)","(26, 17)","(26, 18)","(25, 18)","(25, 19)","(24, 19)","(23, 19)","(22, 19)","(21, 19)","(21, 20)","(20, 20)","(20, 21)","(20, 22)","(20, 23)","(20, 24)","(19, 24)","(18, 24)","(17, 24)","(16, 24)","(15, 24)","(15, 25)","(15, 26)","(15, 27)","(15, 28)","(15, 29)","(14, 29)","(13, 29)","(12, 29)","(11, 29)","(10, 29)","(9, 29)","(8, 29)","(7, 29)","(6, 29)","(5, 29)","(4, 29)","(3, 29)","(2, 29)","(2, 30)","(1, 30)","(1, 31)","(1, 32)","(0, 32)",,,,,
3,21,32,"(39, 21)","(38, 21)","(38, 22)","(37, 22)","(36, 22)","(36, 21)","(36, 20)","(36, 19)","(36, 18)","(35, 18)","(35, 17)","(35, 16)","(35, 15)","(35, 14)","(34, 14)","(33, 14)","(32, 14)","(31, 14)","(30, 14)","(29, 14)","(28, 14)","(27, 14)","(27, 15)","(27, 16)","(27, 17)","(27, 18)","(27, 19)","(26, 19)","(25, 19)","(25, 18)","(25, 17)","(25, 16)","(25, 15)","(25, 16)","(25, 17)","(25, 18)","(25, 19)","(24, 19)","(23, 19)","(22, 19)","(22, 20)","(21, 20)","(21, 21)","(20, 21)","(20, 22)","(20, 23)","(20, 24)","(19, 24)","(18, 24)","(18, 25)","(17, 25)","(16, 25)","(15, 25)","(15, 26)","(15, 27)","(15, 28)","(15, 29)","(14, 29)","(13, 29)","(12, 29)","(11, 29)","(10, 29)","(9, 29)","(8, 29)","(7, 29)","(6, 29)","(5, 29)","(4, 29)","(4, 30)","(4, 31)","(4, 32)","(3, 32)","(2, 32)","(1, 32)","(0, 32)",,,,,
3,21,32,"(39, 21)","(38, 21)","(37, 21)","(36, 21)","(36, 20)","(36, 19)","(36, 18)","(36, 17)","(36, 16)","(36, 15)","(35, 15)","(35, 14)","(34, 14)","(33, 14)","(33, 13)","(33, 12)","(33, 11)","(32, 11)","(31, 11)","(30, 11)","(30, 12)","(30, 13)","(30, 14)","(29, 14)","(29, 15)","(28, 15)","(27, 15)","(27, 16)","(27, 17)","(27, 18)","(27, 19)","(26, 19)","(25, 19)","(24, 19)","(24, 20)","(24, 21)","(23, 21)","(22, 21)","(21, 21)","(21, 20)","(21, 19)","(20, 19)","(20, 20)","(20, 21)","(20, 22)","(20, 23)","(20, 24)","(19, 24)","(19, 25)","(18, 25)","(18, 26)","(17, 26)","(17, 27)","(17, 28)","(16, 28)","(16, 29)","(15, 29)","(14, 29)","(13, 29)","(12, 29)","(11, 29)","(10, 29)","(9, 29)","(8, 29)","(7, 29)","(6, 29)","(5, 29)","(4, 29)","(4, 30)","(3, 30)","(3, 31)","(3, 32)","(2, 32)","(1, 32)","(0, 32)",,,,,
3,21,32,"(39, 21)","(38, 21)","(37, 21)","(37, 20)","(37, 19)","(37, 18)","(37, 17)","(37, 16)","(37, 15)","(37, 14)","(36, 14)","(36, 13)","(35, 13)","(34, 13)","(33, 13)","(33, 12)","(33, 11)","(33, 10)","(33, 9)","(33, 10)","(32, 10)","(31, 10)","(31, 11)","(30, 11)","(30, 12)","(30, 13)","(30, 14)","(29, 14)","(28, 14)","(28, 15)","(28, 16)","(27, 16)","(26, 16)","(25, 16)","(25, 17)","(25, 18)","(25, 19)","(24, 19)","(23, 19)","(22, 19)","(21, 19)","(20, 19)","(20, 20)","(20, 21)","(20, 22)","(20, 23)","(20, 24)","(19, 24)","(18, 24)","(18, 25)","(18, 26)","(18, 27)","(18, 28)","(17, 28)","(17, 29)","(16, 29)","(15, 29)","(14, 29)","(13, 29)","(12, 29)","(11, 29)","(10, 29)","(9, 29)","(8, 29)","(7, 29)","(6, 29)","(5, 29)","(4, 29)","(3, 29)","(2, 29)","(1, 29)","(1, 30)","(1, 31)","(1, 32)","(0, 32)",,,,,
3,21,32,"(39, 21)","(38, 21)","(38, 20)","(38, 19)","(38, 18)","(38, 17)","(38, 16)","(38, 15)","(37, 15)","(36, 15)","(36, 14)","(36, 13)","(36, 12)","(35, 12)","(34, 12)","(33, 12)","(32, 12)","(32, 11)","(32, 10)","(32, 9)","(31, 9)","(31, 10)","(31, 11)","(31, 12)","(30, 12)","(30, 13)","(30, 14)","(29, 14)","(29, 15)","(29, 16)","(28, 16)","(27, 16)","(27, 17)","(27, 18)","(26, 18)","(26, 19)","(25, 19)","(24, 19)","(23, 19)","(22, 19)","(22, 20)","(22, 21)","(22, 22)","(21, 22)","(21, 23)","(20, 23)","(20, 24)","(19, 24)","(18, 24)","(17, 24)","(17, 25)","(17, 26)","(17, 27)","(16, 27)","(15, 27)","(15, 28)","(15, 29)","(14, 29)","(13, 29)","(12, 29)","(11, 29)","(10, 29)","(9, 29)","(8, 29)","(7, 29)","(6, 29)","(5, 29)","(4, 29)","(4, 30)","(4, 31)","(4, 32)","(3, 32)","(2, 32)","(1, 32)","(0, 32)",,,,,
3,21,32,"(39, 21)","(38, 21)","(38, 20)","(37, 20)","(36, 20)","(35, 20)","(34, 20)","(34, 21)","(34, 22)","(34, 23)","(34, 24)","(33, 24)","(32, 24)","(32, 23)","(32, 22)","(32, 21)","(32, 20)","(32, 19)","(31, 19)","(30, 19)","(29, 19)","(28, 19)","(27, 19)","(27, 18)","(27, 17)","(27, 16)","(27, 15)","(27, 14)","(26, 14)","(25, 14)","(24, 14)","(23, 14)","(22, 14)","(21, 14)","(20, 14)","(20, 13)","(20, 14)","(19, 14)","(19, 15)","(18, 15)","(17, 15)","(17, 16)","(16, 16)","(15, 16)","(15, 17)","(15, 18)","(15, 19)","(14, 19)","(14, 20)","(14, 21)","(13, 21)","(13, 22)","(13, 23)","(12, 23)","(11, 23)","(11, 24)","(10, 24)","(9, 24)","(9, 25)","(9, 26)","(8, 26)","(7, 26)","(6, 26)","(6, 27)","(6, 28)","(5, 28)","(5, 29)","(4, 29)","(3, 29)","(3, 30)","(3, 31)","(3, 32)","(2, 32)","(1, 32)","(0, 32)",,,,,
