warehouse_id,source_id,destination_id,time=0,time=1,time=2,time=3,time=4,time=5,time=6,time=7,time=8,time=9,time=10,time=11,time=12,time=13,time=14,time=15,time=16,time=17,time=18,time=19,time=20,time=21,time=22,time=23,time=24,time=25,time=26,time=27,time=28,time=29,time=30,time=31,time=32,time=33,time=34,time=35,time=36,time=37,time=38,time=39,time=40,time=41,time=42,time=43,time=44,time=45,time=46,time=47,time=48,time=49,time=50,time=51,time=52,time=53,time=54,time=55,time=56,time=57,time=58,time=59,time=60,time=61,time=62,time=63,time=64,time=65,time=66,time=67,time=68
3,32,28,"(39, 32)","(38, 32)","(38, 33)","(38, 34)","(38, 35)","(38, 36)","(38, 37)","(37, 37)","(36, 37)","(35, 37)","(35, 36)","(35, 35)","(35, 34)","(35, 33)","(35, 32)","(35, 31)","(35, 30)","(35, 29)","(35, 28)","(35, 27)","(35, 26)","(35, 25)","(35, 24)","(34, 24)","(33, 24)","(32, 24)","(31, 24)","(31, 23)","(31, 24)","(30, 24)","(29, 24)","(28, 24)","(27, 24)","(26, 24)","(25, 24)","(24, 24)","(23, 24)","(22, 24)","(21, 24)","(20, 24)","(19, 24)","(18, 24)","(17, 24)","(16, 24)","(15, 24)","(14, 24)","(13, 24)","(12, 24)","(11, 24)","(10, 24)","(9, 24)","(8, 24)","(7, 24)","(7, 25)","(7, 26)","(6, 26)","(5, 26)","(5, 27)","(5, 28)","(4, 28)","(3, 28)","(2, 28)","(1, 28)","(0, 28)",,,,,
3,32,28,"(39, 32)","(38, 32)","(37, 32)","(37, 31)","(36, 31)","(35, 31)","(34, 31)","(34, 30)","(34, 29)","(33, 29)","(32, 29)","(32, 30)","(32, 31)","(32, 32)","(31, 32)","(31, 31)","(30, 31)","(30, 32)","(30, 33)","(30, 34)","(29, 34)","(28, 34)","(27, 34)","(26, 34)","(25, 34)","(24, 34)","(23, 34)","(22, 34)","(22, 33)","(22, 32)","(22, 31)","(21, 31)","(20, 31)","(20, 32)","(20, 33)","(20, 34)","(19, 34)","(18, 34)","(17, 34)","(16, 34)","(15, 34)","(14, 34)","(13, 34)","(12, 34)","(11, 34)","(11, 33)","(10, 33)","(10, 34)","(10, 33)","(10, 32)","(10, 31)","(10, 30)","(10, 29)","(9, 29)","(9, 28)","(8, 28)","(7, 28)","(6, 28)","(5, 28)","(4, 28)","(3, 28)","(2, 28)","(1, 28)","(0, 28)",,,,,
3,32,28,"(39, 32)","(38, 32)","(38, 33)","(38, 34)","(38, 35)","(37, 35)","(36, 35)","(35, 35)","(35, 34)","(35, 33)","(35, 32)","(35, 31)","(35, 30)","(35, 29)","(34, 29)","(33, 29)","(32, 29)","(31, 29)","(30, 29)","(29, 29)","(28, 29)","(27, 29)","(26, 29)","(25, 29)","(24, 29)","(23, 29)","(22, 29)","(21, 29)","(20, 29)","(19, 29)","(19, 28)","(19, 27)","(19, 26)","(19, 25)","(18, 25)","(17, 25)","(17, 24)","(16, 24)","(15, 24)","(14, 24)","(13, 24)","(12, 24)","(11, 24)","(11, 23)","(11, 22)","(11, 21)","(10, 21)","(10, 22)","(10, 23)","(10, 24)","(9, 24)","(9, 25)","(9, 26)","(9, 27)","(9, 28)","(8, 28)","(7, 28)","(6, 28)","(5, 28)","(4, 28)","(3, 28)","(2, 28)","(1, 28)","(0, 28)",,,,,
3,32,28,"(39, 32)","(38, 32)","(38, 31)","(37, 31)","(36, 31)","(36, 30)","(36, 29)","(36, 28)","(36, 27)","(36, 26)","(35, 26)","(35, 27)","(35, 28)","(35, 29)","(35, 30)","(35, 31)","(34, 31)","(33, 31)","(32, 31)","(32, 32)","(31, 32)","(30, 32)","(30, 33)","(30, 34)","(29, 34)","(28, 34)","(27, 34)","(26, 34)","(25, 34)","(24, 34)","(23, 34)","(23, 33)","(23, 32)","(23, 31)","(22, 31)","(21, 31)","(20, 31)","(20, 30)","(20, 29)","(19, 29)","(18, 29)","(17, 29)","(16, 29)","(15, 29)","(15, 28)","(15, 27)","(15, 28)","(15, 29)","(14, 29)","(13, 29)","(12, 29)","(11, 29)","(10, 29)","(9, 29)","(9, 28)","(8, 28)","(7, 28)","(6, 28)","(5, 28)","(4, 28)","(3, 28)","(2, 28)","(1, 28)","(0, 28)",,,,,
3,32,28,"(39, 32)","(38, 32)","(38, 31)","(37, 31)","(37, 32)","(37, 33)","(36, 33)","(36, 34)","(36, 35)","(36, 36)","(36, 37)","(36, 38)","(35, 38)","(35, 39)","(34, 39)","(33, 39)","(32, 39)","(31, 39)","(30, 39)","(29, 39)","(29, 38)","(29, 37)","(29, 36)","(29, 35)","(29, 34)","(28, 34)","(27, 34)","(26, 34)","(25, 34)","(24, 34)","(23, 34)","(23, 33)","(23, 32)","(23, 31)","(23, 30)","(23, 29)","(22, 29)","(21, 29)","(20, 29)","(19, 29)","(18, 29)","(17, 29)","(16, 29)","(15, 29)","(14, 29)","(14, 30)","(14, 31)","(13, 31)","(13, 30)","(13, 29)","(12, 29)","(11, 29)","(10, 29)","(9, 29)","(8, 29)","(8, 28)","(7, 28)","(6, 28)","(5, 28)","(4, 28)","(3, 28)","(2, 28)","(1, 28)","(0, 28)",,,,,
3,32,28,"(39, 32)","(38, 32)","(38, 33)","(38, 34)","(38, 35)","(38, 36)","(38, 37)","(38, 38)","(38, 39)","(37, 39)","(36, 39)","(35, 39)","(34, 39)","(33, 39)","(32, 39)","(31, 39)","(30, 39)","(29, 39)","(28, 39)","(28, 38)","(28, 37)","(27, 37)","(26, 37)","(25, 37)","(25, 36)","(25, 35)","(25, 34)","(24, 34)","(23, 34)","(22, 34)","(22, 33)","(21, 33)","(20, 33)","(20, 34)","(19, 34)","(18, 34)","(17, 34)","(16, 34)","(15, 34)","(14, 34)","(13, 34)","(12, 34)","(12, 33)","(12, 32)","(11, 32)","(10, 32)","(10, 31)","(10, 30)","(10, 29)","(9, 29)","(9, 28)","(9, 27)","(9, 26)","(8, 26)","(8, 27)","(8, 28)","(7, 28)","(6, 28)","(5, 28)","(4, 28)","(3, 28)","(2, 28)","(1, 28)","(0, 28)",,,,,
3,32,28,"(39, 32)","(38, 32)","(37, 32)","(37, 31)","(37, 30)","(37, 29)","(36, 29)","(36, 28)","(36, 27)","(36, 26)","(36, 25)","(36, 24)","(36, 23)","(35, 23)","(34, 23)","(33, 23)","(32, 23)","(31, 23)","(30, 23)","(30, 24)","(29, 24)","(29, 25)","(29, 26)","(29, 27)","(29, 28)","(28, 28)","(28, 29)","(27, 29)","(26, 29)","(25, 29)","(24, 29)","(23, 29)","(22, 29)","(21, 29)","(20, 29)","(19, 29)","(18, 29)","(17, 29)","(16, 29)","(16, 28)","(16, 27)","(16, 26)","(16, 25)","(15, 25)","(15, 24)","(14, 24)","(13, 24)","(12, 24)","(11, 24)","(10, 24)","(9, 24)","(9, 25)","(8, 25)","(7, 25)","(6, 25)","(5, 25)","(4, 25)","(4, 26)","(4, 27)","(3, 27)","(2, 27)","(2, 28)","(1, 28)","(0, 28)",,,,,
3,32,28,"(39, 32)","(38, 32)","(37, 32)","(37, 31)","(37, 30)","(37, 29)","(37, 28)","(37, 27)","(37, 26)","(36, 26)","(36, 25)","(36, 24)","(35, 24)","(35, 23)","(35, 22)","(35, 21)","(35, 20)","(35, 19)","(35, 18)","(35, 19)","(34, 19)","(33, 19)","(32, 19)","(31, 19)","(31, 20)","(31, 21)","(31, 22)","(30, 22)","(30, 23)","(30, 24)","(29, 24)","(28, 24)","(27, 24)","(26, 24)","(25, 24)","(24, 24)","(23, 24)","(22, 24)","(21, 24)","(20, 24)","(19, 24)","(18, 24)","(17, 24)","(16, 24)","(15, 24)","(14, 24)","(13, 24)","(12, 24)","(11, 24)","(10, 24)","(9, 24)","(9, 25)","(9, 26)","(8, 26)","(8, 27)","(7, 27)","(7, 28)","(6, 28)","(5, 28)","(4, 28)","(3, 28)","(2, 28)","(1, 28)","(0, 28)",,,,,
3,32,28,"(39, 32)","(38, 32)","(38, 33)","(38, 34)","(38, 35)","(38, 36)","(38, 37)","(38, 38)","(37, 38)","(36, 38)","(35, 38)","(35, 39)","(34, 39)","(33, 39)","(32, 39)","(31, 39)","(30, 39)","(29, 39)","(28, 39)","(27, 39)","(27, 38)","(27, 37)","(27, 36)","(27, 35)","(27, 34)","(26, 34)","(25, 34)","(24, 34)","(23, 34)","(23, 33)","(23, 32)","(22, 32)","(21, 32)","(20, 32)","(20, 31)","(20, 30)","(20, 29)","(19, 29)","(18, 29)","(17, 29)","(16, 29)","(15, 29)","(14, 29)","(14, 30)","(14, 31)","(13, 31)","(12, 31)","(11, 31)","(11, 32)","(11, 31)","(10, 31)","(10, 30)","(10, 29)","(9, 29)","(9, 28)","(8, 28)","(7, 28)","(6, 28)","(5, 28)","(4, 28)","(3, 28)","(2, 28)","(1, 28)","(0, 28)",,,,,
3,32,28,"(39, 32)","(38, 32)","(38, 31)","(38, 30)","(38, 29)","(38, 28)","(38, 27)","(38, 26)","(38, 25)","(38, 24)","(38, 23)","(38, 22)","(38, 21)","(38, 20)","(38, 19)","(37, 19)","(37, 20)","(37, 21)","(37, 22)","(37, 23)","(37, 24)","(37, 25)","(37, 24)","(36, 24)","(35, 24)","(34, 24)","(33, 24)","(32, 24)","(31, 24)","(30, 24)","(29, 24)","(28, 24)","(27, 24)","(26, 24)","(25, 24)","(24, 24)","(23, 24)","(22, 24)","(21, 24)","(20, 24)","(19, 24)","(18, 24)","(17, 24)","(16, 24)","(15, 24)","(14, 24)","(13, 24)","(12, 24)","(11, 24)","(10, 24)","(9, 24)","(8, 24)","(8, 25)","(8, 26)","(7, 26)","(6, 26)","(6, 27)","(5, 27)","(5, 28)","(4, 28)","(3, 28)","(2, 28)","(1, 28)","(0, 28)",,,,,
